t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,-1.7946,6.0646,62.122,-2.0477,5.6111,63.298,-0.5192,0.0117,0.5194,1.176,-2.1149,5.4981,2.642,0.0672,0.1267,62.122,-0.005,-0.0001,0.143,0.0000,0.0111,0.2540,22.8353
0.050,0.000,-1.7947,6.0644,62.117,-2.0499,5.6217,63.974,-0.5106,0.0185,0.5110,1.857,-2.1149,5.4981,2.642,0.0672,0.1267,62.117,-0.004,-0.0001,0.143,0.0002,0.0112,0.2403,21.4138
0.100,0.000,-1.7948,6.0642,62.117,-2.0504,5.6247,64.163,-0.5080,0.0204,0.5084,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.117,-0.003,-0.0001,0.143,0.0004,0.0112,0.2359,21.0234
0.150,0.001,-1.7948,6.0641,62.115,-2.0504,5.6247,64.160,-0.5079,0.0204,0.5083,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.115,-0.002,0.0000,0.143,0.0005,0.0113,0.2356,20.9070
0.200,0.001,-1.7949,6.0640,62.113,-2.0504,5.6247,64.159,-0.5078,0.0204,0.5082,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.113,-0.002,0.0000,0.143,0.0007,0.0115,0.2353,20.5263
0.250,0.001,-1.7949,6.0640,62.112,-2.0504,5.6247,64.157,-0.5078,0.0204,0.5082,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.112,-0.001,0.0000,0.143,0.0007,0.0116,0.2351,20.3160
0.300,0.001,-1.7949,6.0640,62.112,-2.0504,5.6247,64.157,-0.5078,0.0204,0.5082,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.112,-0.001,0.0000,0.143,0.0007,0.0116,0.2351,20.3160
0.350,0.001,-1.7949,6.0639,62.111,-2.0504,5.6247,64.157,-0.5077,0.0204,0.5081,2.046,-2.1149,5.4981,2.642,0.0672,0.1267,62.111,-0.001,0.0000,0.143,0.0008,0.0115,0.2351,20.4009
0.400,0.001,-1.7950,6.0639,62.110,-2.0511,5.6253,64.279,-0.5074,0.0212,0.5079,2.169,-2.1140,5.5007,3.214,0.0672,0.1267,62.110,-0.001,0.0000,0.143,0.0008,0.0117,0.2328,19.9505
0.450,0.001,-1.7950,6.0639,62.110,-2.0536,5.6277,64.752,-0.5065,0.0245,0.5071,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.110,-0.001,0.0000,0.143,0.0008,0.0117,0.2241,19.2050
0.500,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0117,0.2239,19.0828
0.550,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0118,0.2238,18.9985
0.600,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0117,0.2238,19.0780
0.650,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0117,0.2238,19.1577
0.700,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0117,0.2238,19.1577
0.750,0.001,-1.7950,6.0638,62.124,-2.0536,5.6277,64.766,-0.5064,0.0247,0.5070,2.642,-2.1140,5.5007,3.214,0.0672,0.1267,62.124,-0.000,0.0000,0.143,0.0009,0.0117,0.2238,19.1577
