t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,0.8004,3.1583,-89.997,0.7978,3.1556,-90.147,0.0027,-0.0026,0.0037,-0.151,0.7966,3.1570,-0.087,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.6013
0.050,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6863
0.100,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6863
0.150,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6863
0.200,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6863
0.250,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6863
0.300,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6753
0.350,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7942,3.1584,-0.065,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6753
0.400,0.000,0.8004,3.1583,-89.997,0.7966,3.1570,-90.084,0.0013,-0.0038,0.0040,-0.087,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6753
0.450,0.000,0.8004,3.1583,-89.997,0.7957,3.1575,-90.076,0.0008,-0.0047,0.0047,-0.079,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0131,1.7532
0.500,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.550,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.600,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.650,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.700,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.750,0.000,0.8004,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0062,0.0062,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0140,1.8766
0.800,0.000,0.8005,3.1583,-89.997,0.7942,3.1584,-90.062,-0.0001,-0.0063,0.0063,-0.065,0.7939,3.1569,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0140,1.9267
0.850,0.000,0.8005,3.1583,-89.997,0.7940,3.1575,-90.040,0.0008,-0.0065,0.0065,-0.043,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0138,1.8874
0.900,0.000,0.8005,3.1583,-89.997,0.7939,3.1569,-90.026,0.0014,-0.0066,0.0068,-0.029,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0136,1.8609
0.950,0.000,0.8005,3.1583,-89.997,0.7939,3.1569,-90.026,0.0014,-0.0066,0.0068,-0.029,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0136,1.8609
1.000,0.000,0.8005,3.1583,-89.997,0.7939,3.1569,-90.026,0.0014,-0.0066,0.0068,-0.029,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0136,1.8609
1.050,0.000,0.8005,3.1583,-89.997,0.7939,3.1569,-90.026,0.0014,-0.0066,0.0068,-0.029,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0136,1.8609
1.100,0.000,0.8005,3.1583,-89.997,0.7939,3.1569,-90.026,0.0014,-0.0066,0.0068,-0.029,0.7951,3.1586,-0.030,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0136,1.8609
