t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,-2.8022,4.5940,104.314,-2.7534,4.3608,105.002,-0.2380,0.0104,0.2382,0.688,-2.6832,4.0661,3.088,-0.0810,0.3206,104.314,-0.004,-0.0001,0.125,0.0000,0.0076,0.0681,8.9026
0.050,0.000,-2.8022,4.5938,104.324,-2.7589,4.3595,105.570,-0.2377,0.0160,0.2382,1.246,-2.6832,4.0661,3.088,-0.0810,0.3206,104.314,-0.003,-0.0001,0.125,0.0002,0.0077,0.0584,7.6007
0.100,0.000,-2.8022,4.5938,104.324,-2.7626,4.3624,105.816,-0.2340,0.0189,0.2348,1.492,-2.6832,4.0661,3.088,-0.0810,0.3206,104.324,-0.003,-0.0001,0.125,0.0002,0.0078,0.0525,6.7569
0.150,0.000,-2.8021,4.5937,104.322,-2.7626,4.3624,105.814,-0.2339,0.0190,0.2347,1.492,-2.6832,4.0661,3.088,-0.0810,0.3206,104.322,-0.002,-0.0001,0.125,0.0003,0.0079,0.0524,6.6226
0.200,0.000,-2.8021,4.5936,104.320,-2.7648,4.3639,106.016,-0.2318,0.0206,0.2328,1.696,-2.6832,4.0661,3.088,-0.0810,0.3206,104.320,-0.002,-0.0001,0.125,0.0004,0.0079,0.0487,6.1668
0.250,0.000,-2.8021,4.5936,104.319,-2.7736,4.3701,106.869,-0.2236,0.0277,0.2253,2.550,-2.6832,4.0661,3.088,-0.0810,0.3206,104.319,-0.001,0.0000,0.125,0.0004,0.0080,0.0324,4.0288
0.300,0.001,-2.8021,4.5935,104.318,-2.7736,4.3701,106.868,-0.2235,0.0277,0.2252,2.550,-2.6832,4.0661,3.088,-0.0810,0.3206,104.318,-0.001,0.0000,0.125,0.0005,0.0080,0.0324,4.0741
0.350,0.001,-2.8021,4.5935,104.317,-2.7736,4.3701,106.867,-0.2235,0.0277,0.2252,2.550,-2.6832,4.0661,3.088,-0.0810,0.3206,104.317,-0.001,0.0000,0.125,0.0005,0.0080,0.0324,4.0501
0.400,0.001,-2.8021,4.5934,104.317,-2.7736,4.3701,106.866,-0.2234,0.0276,0.2252,2.550,-2.6832,4.0661,3.088,-0.0810,0.3206,104.317,-0.001,0.0000,0.125,0.0006,0.0080,0.0323,4.0420
0.450,0.001,-2.8021,4.5934,104.316,-2.7780,4.3767,107.168,-0.2159,0.0302,0.2180,2.852,-2.6855,4.0743,3.715,-0.0810,0.3206,104.316,-0.000,0.0000,0.125,0.0006,0.0080,0.0251,3.1353
0.500,0.001,-2.8021,4.5934,104.316,-2.7814,4.3819,107.404,-0.2100,0.0322,0.2125,3.088,-2.6855,4.0743,3.715,-0.0810,0.3206,104.316,-0.000,0.0000,0.125,0.0006,0.0080,0.0201,2.4990
0.550,0.001,-2.8021,4.5934,104.316,-2.7814,4.3819,107.404,-0.2100,0.0322,0.2125,3.088,-2.6855,4.0743,3.715,-0.0810,0.3206,104.316,-0.000,0.0000,0.125,0.0006,0.0080,0.0201,2.4990
0.600,0.001,-2.8021,4.5934,104.316,-2.7814,4.3819,107.404,-0.2100,0.0322,0.2125,3.088,-2.6855,4.0743,3.715,-0.0810,0.3206,104.316,-0.000,0.0000,0.125,0.0006,0.0080,0.0201,2.4990
0.650,0.001,-2.8021,4.5934,104.315,-2.7814,4.3819,107.404,-0.2100,0.0322,0.2125,3.088,-2.6855,4.0743,3.715,-0.0810,0.3206,104.315,-0.000,0.0000,0.125,0.0006,0.0080,0.0201,2.4990
0.700,0.001,-2.8021,4.5934,104.315,-2.7814,4.3819,107.404,-0.2100,0.0322,0.2125,3.088,-2.6855,4.0743,3.715,-0.0810,0.3206,104.315,-0.000,0.0000,0.125,0.0006,0.0081,0.0201,2.4700
