t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.050,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.100,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.150,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.200,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.250,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.300,0.000,0.3090,5.3519,-45.010,0.7100,0.0200,-91.616,4.0544,-3.4860,5.3470,-46.606,0.7100,0.0200,-46.606,0.0000,0.0000,-45.010,0.000,0.0000,0.000,0.0000,0.0066,0.2626,39.6147
0.350,0.002,0.3101,5.3508,-45.020,0.7091,-0.0115,-91.626,4.0751,-3.5082,5.3772,-46.606,0.7100,0.0200,-46.606,0.0223,-0.0223,-45.020,0.010,0.0003,0.040,0.0300,0.0064,0.2607,40.4285
0.400,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0200,-46.606,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
0.450,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0200,-46.606,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
0.500,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0197,-46.580,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
0.550,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0197,-46.580,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
0.600,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0197,-46.580,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
0.650,0.002,0.3102,5.3508,-45.020,0.7091,-0.0120,-91.627,4.0754,-3.5086,5.3777,-46.606,0.7100,0.0197,-46.580,0.0227,-0.0227,-45.020,0.000,0.0000,0.040,0.0304,0.0067,0.2604,38.9687
