t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate
0.000,0.000,0.8068,3.1583,-89.997,0.6490,-0.0502,-87.217,3.2085,-0.1580,3.2124,2.780,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.050,0.000,0.8068,3.1583,-89.997,0.6490,-0.0502,-87.217,3.2085,-0.1580,3.2124,2.780,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.100,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.150,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.200,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.250,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.300,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.350,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.400,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.450,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.500,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.550,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.600,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.650,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.700,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.750,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.800,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.850,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.900,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
0.950,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
1.000,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
1.050,0.000,0.8068,3.1583,-89.997,0.8068,3.1283,-90.000,0.0300,-0.0000,0.0300,-0.003,0.8068,3.1283,-0.003,0.0000,0.0000,-89.997,0.000,0.0000
