lap,t,lap_time,collisions
1,18.17,57.8,0
2,27.7,9.54,0
3,37.36,9.66,0
4,47.01,9.62,0
5,56.6,9.61,0
6,66.21,9.62,0
7,75.89,9.69,0
8,85.45,9.55,0
9,95.08,9.63,0
10,104.7,9.62,0
11,114.32,9.63,0
12,123.84,9.52,0
13,133.52,9.67,0
14,143.06,9.54,0
15,152.67,9.62,0
16,162.19,9.53,0
17,171.76,9.57,0
18,181.28,9.5,0
19,190.95,9.68,0
20,200.54,9.59,0
21,210.17,9.64,0
22,219.85,9.68,0
23,229.41,9.56,0
24,239.12,9.71,0
25,248.63,9.49,0
26,258.31,9.71,0
27,268.01,9.69,0
28,277.61,9.6,0
29,287.26,9.65,0
30,296.78,9.52,0
31,306.29,9.51,0
32,315.8,9.51,0
33,325.35,9.55,0
34,334.96,9.62,0
35,344.42,9.45,0
36,354.02,9.6,0
37,363.53,9.51,0
38,373.11,9.58,0
39,382.7,9.59,0
