t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8015,3.1583,-89.997,0.8079,3.1635,-89.722,-0.0052,0.0064,0.0082,0.275,0.8079,3.1635,0.275,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7397,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.000,0.8015,3.1583,-89.997,0.8079,3.1635,-89.722,-0.0052,0.0064,0.0082,0.275,0.8079,3.1635,0.275,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7397,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099,0.000,0.8015,3.1583,-89.997,0.8079,3.1635,-89.722,-0.0052,0.0064,0.0082,0.275,0.8079,3.1635,0.275,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7407,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8015,3.1583,-89.997,0.8079,3.1635,-89.722,-0.0052,0.0064,0.0082,0.275,0.8079,3.1635,0.275,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7407,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8015,3.1583,-89.997,0.8079,3.1635,-89.722,-0.0052,0.0064,0.0082,0.275,0.8079,3.1635,0.275,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7407,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.249,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.349,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.399,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.449,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.549,0.000,0.8015,3.1583,-89.997,0.8124,3.1642,-89.784,-0.0059,0.0109,0.0124,0.213,0.8124,3.1642,0.213,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0081,0.3481,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
