t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0204,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.149,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.199,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.249,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8001,3.1583,-89.997,0.8075,3.1626,-89.561,-0.0043,0.0074,0.0086,0.435,0.8075,3.1626,0.435,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5800,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.349,0.000,0.8001,3.1583,-89.997,0.8102,3.1606,-89.641,-0.0023,0.0101,0.0103,0.355,0.8102,3.1606,0.355,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0094,0.4005,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8001,3.1583,-89.997,0.8102,3.1606,-89.641,-0.0023,0.0101,0.0103,0.355,0.8102,3.1606,0.355,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0094,0.4005,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.449,0.000,0.8001,3.1583,-89.997,0.8102,3.1606,-89.641,-0.0023,0.0101,0.0103,0.355,0.8102,3.1606,0.355,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0094,0.4005,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
