t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0204,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8001,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0204,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7293,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7299,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.199,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7299,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.249,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7299,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7299,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.349,0.000,0.8001,3.1583,-89.997,0.8062,3.1609,-89.673,-0.0026,0.0061,0.0066,0.324,0.8062,3.1609,0.324,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0170,0.7299,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.399,0.000,0.8001,3.1583,-89.997,0.8100,3.1594,-89.830,-0.0011,0.0099,0.0099,0.167,0.8100,3.1594,0.167,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0110,0.4714,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8001,3.1583,-89.997,0.8100,3.1594,-89.830,-0.0011,0.0099,0.0099,0.167,0.8100,3.1594,0.167,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0110,0.4714,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
