lap,t,lap_time,collisions
1,16.01,39.7,0
2,25.21,9.2,0
3,34.52,9.32,0
4,43.96,9.43,0
5,53.26,9.29,0
6,62.48,9.21,0
7,71.82,9.34,0
8,81.1,9.31,0
9,90.51,9.39,0
10,99.83,9.33,0
11,109.12,9.28,0
12,118.46,9.36,0
13,127.67,9.21,0
14,136.92,9.24,0
15,146.13,9.2,0
16,155.44,9.31,0
17,164.72,9.28,0
18,173.99,9.3,0
19,183.33,9.33,0
20,192.66,9.31,0
21,201.94,9.29,0
22,211.26,9.32,0
23,220.46,9.21,0
24,229.76,9.29,0
25,239.14,9.37,0
26,248.42,9.28,0
27,257.8,9.39,0
28,267.35,9.55,0
29,276.64,9.28,0
30,285.95,9.31,0
31,295.34,9.38,0
32,304.65,9.32,0
33,313.93,9.28,0
34,323.31,9.38,0
35,332.75,9.46,0
36,342.11,9.36,0
37,351.37,9.23,0
38,360.66,9.3,0
39,369.92,9.25,0
40,379.32,9.42,0
41,388.55,9.23,0
42,397.88,9.32,0
43,397.99,0.12,1
