t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8008,3.1583,-89.997,0.8070,3.1616,-89.940,-0.0033,0.0062,0.0070,0.057,0.8070,3.1616,0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0224,0.9601,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8008,3.1583,-89.997,0.8070,3.1616,-89.940,-0.0033,0.0062,0.0070,0.057,0.8070,3.1616,0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0224,0.9601,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8008,3.1583,-89.997,0.8070,3.1616,-89.940,-0.0033,0.0062,0.0070,0.057,0.8070,3.1616,0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0224,0.9601,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0194,0.8323,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0194,0.8323,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0194,0.8323,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8333,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8333,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8344,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.649,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8344,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.701,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8354,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.749,0.000,0.8008,3.1583,-89.997,0.8079,3.1608,-89.866,-0.0025,0.0071,0.0076,0.131,0.8079,3.1608,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0195,0.8354,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8008,3.1583,-89.997,0.8074,3.1609,-89.715,-0.0026,0.0066,0.0071,0.282,0.8074,3.1609,0.282,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0169,0.7243,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
