t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8005,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0175,0.0175,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8005,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0175,0.0175,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.101,0.000,0.8005,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0175,0.0175,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8005,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0175,0.0175,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.201,0.000,0.8005,3.1583,-89.997,0.8078,3.1631,-89.777,-0.0048,0.0073,0.0087,0.220,0.8078,3.1631,0.220,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0171,0.7325,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8005,3.1583,-89.997,0.8078,3.1631,-89.777,-0.0048,0.0073,0.0087,0.220,0.8078,3.1631,0.220,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0171,0.7325,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8005,3.1583,-89.997,0.8078,3.1631,-89.777,-0.0048,0.0073,0.0087,0.220,0.8078,3.1631,0.220,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0171,0.7336,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0190,0.8139,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0190,0.8139,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0190,0.8149,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0190,0.8149,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0191,0.8160,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0191,0.8160,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.651,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0191,0.8160,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.701,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0191,0.8160,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8006,3.1583,-89.997,0.8076,3.1637,-89.844,-0.0054,0.0070,0.0089,0.153,0.8076,3.1637,0.153,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0191,0.8160,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8006,3.1583,-89.997,0.8089,3.1641,-89.866,-0.0058,0.0083,0.0101,0.131,0.8089,3.1641,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0163,0.6963,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8006,3.1583,-89.997,0.8089,3.1641,-89.866,-0.0058,0.0083,0.0101,0.131,0.8089,3.1641,0.131,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0163,0.6963,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
