t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8007,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0173,0.0173,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8007,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0173,0.0173,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8007,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0173,0.0173,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8007,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0173,0.0173,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8007,3.1583,-89.997,0.8072,3.1627,-89.830,-0.0044,0.0065,0.0079,0.167,0.8072,3.1627,0.167,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0197,0.8446,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8007,3.1583,-89.997,0.8072,3.1627,-89.830,-0.0044,0.0065,0.0079,0.167,0.8072,3.1627,0.167,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0197,0.8446,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8007,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0097,0.0105,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4898,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8007,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0097,0.0105,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0115,0.4908,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8007,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0097,0.0105,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0115,0.4908,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8007,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0097,0.0105,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0115,0.4918,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8008,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0096,0.0104,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0115,0.4918,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8008,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0096,0.0104,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0115,0.4928,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8008,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0096,0.0104,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0115,0.4939,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8008,3.1583,-89.997,0.8104,3.1624,-89.926,-0.0041,0.0096,0.0104,0.071,0.8104,3.1624,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0115,0.4939,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.701,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4448,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8008,3.1583,-89.997,0.8120,3.1642,-89.897,-0.0059,0.0112,0.0126,0.100,0.8120,3.1642,0.100,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0104,0.4438,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0106,0.4560,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8008,3.1583,-89.997,0.8136,3.1670,-89.968,-0.0087,0.0128,0.0155,0.028,0.8136,3.1670,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0107,0.4571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
