t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8008,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0172,0.0172,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8008,3.1583,-89.997,0.8086,3.1622,-89.847,-0.0039,0.0078,0.0087,0.150,0.8086,3.1622,0.150,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0176,0.7546,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.251,0.000,0.8008,3.1583,-89.997,0.8086,3.1622,-89.847,-0.0039,0.0078,0.0087,0.150,0.8086,3.1622,0.150,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0176,0.7546,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.351,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.451,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.501,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.651,0.000,0.8008,3.1583,-89.997,0.8105,3.1653,-89.918,-0.0070,0.0097,0.0120,0.079,0.8105,3.1653,0.079,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.701,0.000,0.8008,3.1583,-89.997,0.8113,3.1625,-89.910,-0.0042,0.0105,0.0113,0.087,0.8113,3.1625,0.087,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8008,3.1583,-89.997,0.8113,3.1625,-89.910,-0.0042,0.0105,0.0113,0.087,0.8113,3.1625,0.087,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8009,3.1583,-89.997,0.8113,3.1625,-89.910,-0.0042,0.0104,0.0112,0.087,0.8113,3.1625,0.087,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0114,0.4888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
