lap,t,lap_time,collisions
1,16.1,61.18,0
2,25.41,9.3,0
3,34.85,9.45,0
4,44.3,9.43,0
5,53.72,9.44,0
6,63.19,9.47,0
7,72.58,9.4,0
8,82.06,9.48,0
9,91.48,9.41,0
10,100.96,9.47,0
11,110.49,9.55,0
12,119.96,9.45,0
13,129.37,9.43,0
14,138.93,9.56,0
15,148.37,9.43,0
16,157.73,9.37,0
17,167.2,9.45,0
18,176.62,9.43,0
19,186.17,9.56,0
20,195.6,9.42,0
21,204.97,9.36,0
22,214.41,9.46,0
23,223.79,9.38,0
24,233.28,9.49,0
25,242.71,9.44,0
26,252.09,9.38,0
27,261.4,9.31,0
28,270.84,9.44,0
29,280.35,9.51,0
30,289.68,9.33,0
31,299.11,9.42,0
32,308.61,9.51,0
33,318.09,9.48,0
34,327.64,9.55,0
35,337.03,9.4,0
36,346.44,9.41,0
37,355.69,9.25,0
38,365.07,9.37,0
39,374.56,9.5,0
40,383.97,9.41,0
41,393.42,9.45,0
42,402.91,9.48,0
43,412.34,9.44,0
44,421.82,9.46,0
45,436.81,15.02,1
