t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0204,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.000,0.8001,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0204,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.149,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8001,3.1583,-89.997,0.8061,3.1613,-89.645,-0.0030,0.0060,0.0067,0.351,0.8061,3.1613,0.351,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0168,0.7201,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8001,3.1583,-89.997,0.8081,3.1606,-89.704,-0.0023,0.0080,0.0083,0.293,0.8081,3.1606,0.293,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0140,0.5990,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.449,0.000,0.8001,3.1583,-89.997,0.8081,3.1606,-89.704,-0.0023,0.0080,0.0083,0.293,0.8081,3.1606,0.293,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0140,0.5990,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
