t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-90.013,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.019,0.8180,3.1580,0.019,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8001,3.1583,-90.013,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.019,0.8180,3.1580,0.019,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.251,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8001,3.1583,-90.013,0.8057,3.1601,-89.651,-0.0018,0.0056,0.0059,0.362,0.8057,3.1601,0.362,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0172,0.7364,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8001,3.1583,-90.013,0.8056,3.1622,-89.563,-0.0039,0.0055,0.0067,0.450,0.8056,3.1622,0.450,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0164,0.7027,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
