t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-90.013,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.019,0.8180,3.1580,0.019,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8001,3.1583,-90.013,0.8180,3.1580,-89.994,0.0003,0.0179,0.0179,0.019,0.8180,3.1580,0.019,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.101,0.000,0.8001,3.1583,-90.013,0.8050,3.1621,-89.573,-0.0038,0.0049,0.0062,0.440,0.8050,3.1621,0.440,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7418,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8001,3.1583,-90.013,0.8050,3.1621,-89.573,-0.0038,0.0049,0.0062,0.440,0.8050,3.1621,0.440,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7405,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8001,3.1583,-89.997,0.8050,3.1621,-89.573,-0.0038,0.0049,0.0062,0.424,0.8050,3.1621,0.440,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0173,0.7399,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8001,3.1583,-89.997,0.8050,3.1621,-89.557,-0.0038,0.0049,0.0062,0.440,0.8050,3.1621,0.440,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0171,0.7328,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8001,3.1583,-90.013,0.8050,3.1621,-89.557,-0.0038,0.0049,0.0062,0.456,0.8050,3.1621,0.440,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0171,0.7318,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.351,0.000,0.8001,3.1583,-90.013,0.8060,3.1613,-89.565,-0.0030,0.0059,0.0066,0.448,0.8060,3.1613,0.448,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0159,0.6795,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8001,3.1583,-90.013,0.8060,3.1613,-89.565,-0.0030,0.0059,0.0066,0.448,0.8060,3.1613,0.448,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0159,0.6795,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8001,3.1583,-90.013,0.8060,3.1613,-89.565,-0.0030,0.0059,0.0066,0.448,0.8060,3.1613,0.448,0.0000,0.0000,-90.013,0.000,0.0000,0.000,0.0000,0.0234,0.0158,0.6782,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
