t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8000,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0180,0.0180,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.000,0.8000,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0180,0.0180,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8000,3.1583,-89.997,0.8061,3.1591,-89.736,-0.0008,0.0061,0.0062,0.261,0.8061,3.1591,0.261,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0182,0.7775,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.151,0.000,0.8000,3.1583,-89.997,0.8067,3.1634,-89.499,-0.0051,0.0067,0.0084,0.498,0.8067,3.1634,0.498,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8000,3.1583,-89.997,0.8067,3.1634,-89.499,-0.0051,0.0067,0.0084,0.498,0.8067,3.1634,0.498,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8000,3.1583,-89.997,0.8067,3.1634,-89.499,-0.0051,0.0067,0.0084,0.498,0.8067,3.1634,0.498,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.301,0.000,0.8000,3.1583,-89.997,0.8067,3.1634,-89.499,-0.0051,0.0067,0.0084,0.498,0.8067,3.1634,0.498,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.351,0.000,0.8000,3.1583,-89.997,0.8067,3.1634,-89.499,-0.0051,0.0067,0.0084,0.498,0.8067,3.1634,0.498,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.401,0.000,0.8000,3.1583,-89.997,0.8063,3.1646,-89.574,-0.0063,0.0063,0.0089,0.423,0.8063,3.1646,0.423,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0153,0.6561,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.451,0.000,0.8000,3.1583,-89.997,0.8063,3.1646,-89.574,-0.0063,0.0063,0.0089,0.423,0.8063,3.1646,0.423,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0153,0.6561,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
