t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8000,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0180,0.0180,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8000,3.1583,-89.997,0.8180,3.1580,-89.994,0.0003,0.0180,0.0180,0.002,0.8180,3.1580,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0005,0.0215,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.399,0.000,0.8000,3.1583,-89.997,0.8077,3.1644,-89.708,-0.0061,0.0077,0.0098,0.289,0.8077,3.1644,0.289,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0146,0.6252,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6350,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.499,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.649,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.699,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.749,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8000,3.1583,-89.997,0.8083,3.1633,-89.800,-0.0050,0.0083,0.0097,0.197,0.8083,3.1633,0.197,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0149,0.6360,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
