t,true_x,true_y,speed,collisions,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.0000,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0513,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1008,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1510,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2008,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2505,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3005,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3508,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4010,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4508,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5010,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5508,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6000,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9756,0.82030,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0000,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0501,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.1008,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.1537,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.2001,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.2516,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.3004,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.3499,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.4001,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.4503,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.5007,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.5504,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.6001,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.6506,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.7002,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.7507,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.8026,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.8511,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.9005,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.9502,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.0001,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.0516,0.82040,3.15830,0.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.1012,0.82040,3.15830,0.0000,0,0.00000,0.00000,nan,6.39847,1.10390,0.04372,0.67510,0.80000,-0.33191,-0.17760,-0.08235,8.09817,0.16000,0.00000,0.17500
2.1503,0.82040,3.14690,0.3431,0,0.18626,0.23291,nan,6.39847,1.29016,0.05110,0.68659,0.80000,-0.33368,-0.17698,-0.08235,8.09817,0.16000,5.33700,0.17500
2.2009,0.82040,3.13330,0.5071,0,0.47940,1.07954,nan,6.44079,1.58330,0.06270,0.70199,0.80000,-0.33792,-0.16166,-0.08235,8.09817,0.16000,5.12250,0.17500
2.2508,0.82140,3.10120,0.7648,0,0.81944,1.13545,nan,6.48337,1.92334,0.07617,0.71505,0.80000,-0.34242,-0.13691,-0.08235,8.09817,0.16000,4.84280,0.17500
2.3009,0.82460,3.05830,1.0126,0,1.11183,1.69344,nan,6.48337,2.22440,0.08809,0.57820,0.80000,-0.34692,-0.05033,-0.07760,8.19814,0.16000,4.83230,0.17500
2.3503,0.83590,2.97910,1.3569,0,1.42745,1.88498,nan,6.56902,2.54603,0.10083,0.58463,0.80000,-0.34767,0.01356,-0.07260,8.29812,0.16000,4.86630,0.17500
2.4032,0.84040,2.95590,1.4413,0,1.71975,2.31474,nan,6.61056,2.83833,0.11241,0.34858,0.89982,-0.34308,0.08434,-0.07260,8.29812,0.16000,4.68380,0.17500
2.4514,0.86650,2.85390,1.7717,0,1.86902,1.92266,nan,6.65065,2.99423,0.11858,0.25469,0.97792,-0.33955,0.11813,-0.06696,8.39810,0.16000,4.63360,0.17500
2.5000,0.88470,2.79560,1.9326,0,2.06679,2.96697,nan,6.72683,3.19602,0.12657,0.07224,1.08140,-0.32140,0.17779,-0.06398,8.49808,0.16000,4.98100,0.17500
2.5503,0.94460,2.62830,2.3872,0,1.78206,1.70283,nan,6.68949,2.91128,0.11530,0.08923,0.93242,-0.31199,0.20536,-0.06398,8.49808,0.16000,4.75920,0.17500
2.6002,0.99210,2.50660,2.7185,0,1.98373,3.21009,nan,6.79821,3.09600,0.12261,-0.04337,1.03794,-0.27047,0.24520,-0.06885,8.69803,0.16000,7.42840,0.17500
2.6514,0.99210,2.50660,2.7185,0,2.23248,2.90875,nan,6.83346,3.31849,0.13143,-0.09167,1.16810,-0.23669,0.24111,-0.07400,8.89798,0.16000,5.81460,0.17500
2.7008,1.09400,2.23760,3.0237,0,1.97553,0.90699,nan,6.86837,3.06154,0.12125,-0.07950,1.03365,-0.22855,0.23762,-0.07400,8.89798,0.16000,4.43420,0.17500
2.7507,1.14540,2.09140,3.0782,0,2.17636,3.15447,nan,6.93713,3.23885,0.12827,-0.12606,1.13912,-0.16973,0.22208,-0.07583,9.09794,0.16000,-0.30520,0.17500
2.8003,1.16180,2.04160,3.1010,0,2.46900,2.98274,nan,7.03894,3.52861,0.13975,-0.13344,1.29495,-0.13280,0.20076,-0.07261,9.29789,0.16000,1.50130,0.17500
2.8512,1.23650,1.78930,3.2137,0,2.10538,1.91054,nan,7.00528,3.16499,0.12535,-0.13049,1.10424,-0.12595,0.19041,-0.07261,9.29789,0.16000,1.11890,0.17500
2.9003,1.27500,1.63500,3.1898,0,2.30340,4.70741,nan,7.10612,3.35916,0.13304,-0.13154,1.21174,-0.07517,0.15669,-0.06791,9.59783,0.16000,-1.91650,0.17500
2.9508,1.30860,1.47910,3.3442,0,2.58624,3.14663,nan,7.20667,3.64076,0.14419,-0.12300,1.36293,-0.04815,0.13736,-0.06516,9.79778,0.16000,1.58510,0.17500
3.0009,1.33990,1.30770,3.4979,0,2.77792,4.24343,nan,7.27348,3.83375,0.15183,-0.11079,1.46823,-0.02558,0.11935,-0.06061,9.99774,0.16000,3.27130,0.17500
3.0508,1.36660,1.13060,3.6828,0,3.08239,3.51538,nan,7.33978,4.14016,0.16397,-0.09873,1.63147,-0.00408,0.09474,-0.05841,10.09771,0.16000,3.80240,0.17500
3.1012,1.38910,0.94520,3.9471,0,3.38141,3.79647,nan,7.43815,4.44195,0.17592,-0.08289,1.79529,0.01407,0.07758,-0.05361,10.29767,0.16000,5.04030,0.17500
3.1511,1.40880,0.73900,4.1746,0,3.60576,4.31272,nan,7.53466,4.67378,0.18510,-0.07387,1.91930,0.02953,0.06467,-0.04967,10.49762,0.16000,5.13150,0.17500
3.2002,1.42380,0.52530,4.4012,0,3.88002,4.41195,nan,7.59823,4.99358,0.19777,-0.06164,2.07369,0.04342,0.05406,-0.04342,10.79755,0.16000,4.87740,0.17500
3.2502,1.42380,0.52530,4.4012,0,4.17139,4.56302,nan,7.69144,5.33059,0.21111,-0.05421,2.14329,0.05486,0.04156,-0.03949,10.99751,0.16000,5.57930,0.17500
3.3051,1.42380,0.52530,4.4012,0,4.40519,4.56302,nan,7.72204,5.60179,0.22185,-0.05481,2.14329,0.05547,0.04156,-0.03949,10.99751,0.16000,5.57930,0.17500
3.3503,1.44160,-0.17060,4.9561,0,4.49509,4.56302,nan,7.72204,5.70607,0.22598,-0.05504,2.14329,0.05570,0.04156,-0.03949,10.99751,0.16000,5.57930,0.17500
3.4051,1.44160,-0.17060,4.9561,0,4.71743,4.91695,nan,7.95914,5.95539,0.23586,-0.02988,2.15735,0.07141,-0.00005,-0.02951,11.69735,0.16000,6.03730,0.17500
3.4519,1.44160,-0.17060,4.9561,0,4.82613,4.91695,nan,7.95914,6.08148,0.24085,-0.03004,2.15735,0.07147,-0.00005,-0.02951,11.69735,0.16000,6.03730,0.17500
3.5009,1.41040,-0.95850,5.4436,0,4.53405,0.91526,nan,7.95914,5.74091,0.22736,-0.02573,2.15930,0.07141,-0.00510,-0.02813,11.79733,0.16000,5.21500,0.17500
3.5509,1.39000,-1.23800,5.5604,0,4.73045,5.61633,nan,8.00000,5.95750,0.23594,-0.00252,2.17527,0.05841,-0.03156,-0.01697,12.49717,0.16000,1.45690,0.17500
3.6009,1.36870,-1.51880,5.7123,0,4.94034,5.81275,nan,8.00000,6.19363,0.24529,-0.00359,2.18070,0.05170,-0.02286,-0.01321,12.79710,0.16000,2.50930,0.17500
3.6508,1.34650,-1.80620,5.7944,0,5.20351,5.89591,nan,8.00000,6.03608,0.23905,-0.00089,2.18364,0.04503,-0.02118,-0.00968,13.09703,0.16000,3.09360,0.17500
3.7011,1.32390,-2.09720,5.9031,0,5.47526,6.15345,nan,8.00000,6.35130,0.25154,0.00091,2.18096,0.03902,-0.01849,-0.00633,13.39697,0.16000,0.73760,0.17500
3.7507,1.30130,-2.38950,6.0730,0,5.72402,6.06809,nan,8.00000,6.63986,0.26296,0.00257,2.17914,0.03377,-0.01594,-0.00434,13.69690,0.16000,2.77980,0.17500
3.8007,1.29300,-2.49900,6.1320,0,5.97435,6.38254,nan,8.00000,6.93024,0.27446,0.00391,2.17901,0.02929,-0.01343,0.00157,13.99683,0.16000,3.57390,0.17500
3.8504,1.27010,-2.80200,6.2769,0,5.66505,2.32161,nan,8.00000,6.57146,0.26026,0.00436,2.17901,0.02810,-0.01303,0.00302,14.09681,0.16000,3.02170,0.17500
3.9000,1.23130,-3.33420,6.2814,0,5.25335,4.58680,nan,8.00000,6.09389,0.24134,0.00576,2.17901,0.02438,-0.01209,0.00307,14.39674,0.16000,3.99390,0.17500
3.9499,1.21030,-3.63780,6.1673,0,5.41106,9.14739,nan,8.00000,6.27683,0.24859,0.00693,2.15516,0.01822,-0.00961,0.00775,14.89663,0.16000,-3.41700,0.17500
4.0004,1.18990,-3.94520,6.1503,0,5.65543,5.98295,nan,7.91501,6.56030,0.25981,0.00619,2.11880,0.01510,-0.00902,0.01057,15.19656,0.16000,-0.63470,0.17500
4.0508,1.17650,-4.15600,6.2346,0,5.87463,6.14894,nan,7.62444,6.81457,0.26988,0.00422,2.09713,0.01176,-0.00961,0.01126,15.49649,0.16000,1.81260,0.17500
4.1011,1.15710,-4.47120,6.3970,0,6.07383,6.34639,nan,7.13827,7.04564,0.27904,0.00079,2.06596,0.00788,-0.01301,0.01221,15.89640,0.16000,3.01200,0.16750
4.1505,1.14430,-4.68390,6.5082,0,5.73776,5.59717,nan,7.04182,6.65580,0.26360,-0.00045,1.96250,0.00504,-0.01590,0.01409,16.09635,0.16000,3.89140,0.16750
4.2008,1.14430,-4.68390,6.5082,0,5.42338,5.31994,nan,6.94686,6.29112,0.24915,-0.00253,1.93314,0.00172,-0.01848,0.01350,16.29631,0.16000,2.90250,0.16750
4.2500,1.09200,-5.55880,6.3893,0,5.10713,5.00516,nan,6.75950,5.92427,0.23462,-0.01068,1.91097,-0.00447,-0.02076,-0.00119,16.59624,0.16000,-1.11070,0.16750
4.3003,1.07220,-5.87130,6.1725,0,5.26944,8.03464,nan,6.11400,6.11256,0.24208,-0.03121,1.86481,-0.01542,-0.01895,-0.03105,17.09613,0.16000,-6.02410,0.16750
4.3503,1.04960,-6.17670,6.0806,0,5.54048,6.05093,nan,5.85989,6.10264,0.24169,-0.04550,1.84658,-0.02153,-0.01671,-0.06653,17.49604,0.10147,-2.25760,0.16750
4.4003,1.02170,-6.47510,5.8493,0,5.69011,7.59531,nan,5.53876,5.43472,0.21524,-0.05331,1.81443,-0.02721,-0.01877,-0.07749,17.79597,0.16000,-1.50960,0.16750
4.4539,1.02170,-6.47510,5.8493,0,5.41709,5.35744,nan,5.38184,5.16653,0.20462,-0.06558,1.76286,-0.03279,-0.01846,-0.09684,18.09590,0.16000,-5.97280,0.16750
