t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,-3.0519,2.6573,-50.608,-3.0399,2.6299,-53.907,0.0288,-0.0082,0.0299,-3.299,-3.1776,2.8577,-5.982,0.1607,-0.2122,-47.925,1.926,0.5227,0.131,0.0000,0.0161,0.0466,2.8880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.099,-2.9887,2.5815,-50.397,-3.0892,2.7214,-53.709,-0.1719,0.0118,0.1723,-3.312,-3.1559,2.8341,-4.795,0.0759,-0.1066,-48.914,1.602,-0.0045,0.131,0.2341,0.0132,0.1398,10.5625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.178,-2.9381,2.5207,-50.399,-3.0892,2.7214,-55.206,-0.2510,0.0115,0.2513,-4.808,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.412,1.284,-0.0035,0.131,0.3132,0.0225,0.2025,8.9926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.178,-2.9381,2.5207,-50.399,-3.0892,2.7214,-55.206,-0.2510,0.0115,0.2513,-4.808,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.412,1.284,-0.0035,0.131,0.3132,0.0225,0.2025,8.9926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.240,-2.8986,2.4731,-50.404,-3.0892,2.7214,-55.205,-0.3128,0.0114,0.3131,-4.801,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.410,0.971,-0.0027,0.131,0.3750,0.0222,0.2212,9.9711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.285,-2.8695,2.4382,-50.406,-3.0892,2.7214,-55.207,-0.3583,0.0112,0.3585,-4.802,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.412,0.658,-0.0021,0.131,0.4205,0.0219,0.2468,11.2771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.313,-2.8518,2.4169,-50.410,-3.0892,2.7214,-55.207,-0.3860,0.0111,0.3861,-4.797,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.412,0.354,-0.0016,0.131,0.4482,0.0226,0.2574,11.3659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.321,-2.8466,2.4108,-50.412,-3.0892,2.7214,-55.210,-0.3940,0.0110,0.3941,-4.798,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.415,-0.004,-0.0010,0.131,0.4562,0.0247,0.2629,10.6491,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.321,-2.8468,2.4111,-50.426,-3.0892,2.7214,-55.210,-0.3936,0.0109,0.3938,-4.784,-3.1559,2.8341,-4.795,0.0759,-0.1066,-50.415,-0.005,-0.0007,0.131,0.4558,0.0248,0.2627,10.6014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.321,-2.8469,2.4113,-50.424,-3.0860,2.7205,-54.519,-0.3907,0.0127,0.3909,-4.095,-3.1541,2.8323,-4.090,0.0759,-0.1066,-50.429,-0.004,-0.0005,0.131,0.4556,0.0248,0.2525,10.1884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
