t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8006,3.1583,-89.997,0.7975,3.1528,-90.623,0.0055,-0.0031,0.0063,-0.627,0.7975,3.1528,-0.627,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0161,1.6440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8006,3.1583,-89.997,0.7945,3.1523,-90.677,0.0060,-0.0061,0.0086,-0.680,0.7945,3.1523,-0.680,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0180,1.8383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8006,3.1583,-89.997,0.7945,3.1523,-90.677,0.0060,-0.0061,0.0086,-0.680,0.7945,3.1523,-0.680,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0180,1.8383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
