t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8002,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0047,0.0059,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0141,1.4378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8002,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0047,0.0059,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0141,1.4378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7955,3.1546,-90.221,0.0037,-0.0048,0.0060,-0.224,0.7955,3.1546,-0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0141,1.4428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8003,3.1583,-89.997,0.7949,3.1522,-90.473,0.0061,-0.0054,0.0081,-0.476,0.7949,3.1522,-0.476,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0167,1.7071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8003,3.1583,-89.997,0.7921,3.1533,-90.452,0.0050,-0.0082,0.0096,-0.455,0.7921,3.1533,-0.455,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0179,1.8336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8003,3.1583,-89.997,0.7949,3.1523,-90.391,0.0060,-0.0054,0.0081,-0.394,0.7949,3.1523,-0.394,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0159,1.6214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8003,3.1583,-89.997,0.7949,3.1523,-90.391,0.0060,-0.0054,0.0081,-0.394,0.7949,3.1523,-0.394,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0159,1.6214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8003,3.1583,-89.997,0.7949,3.1523,-90.391,0.0060,-0.0054,0.0081,-0.394,0.7949,3.1523,-0.394,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0159,1.6214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8003,3.1583,-89.997,0.7949,3.1523,-90.391,0.0060,-0.0054,0.0081,-0.394,0.7949,3.1523,-0.394,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0159,1.6214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,0.8003,3.1583,-89.997,0.7949,3.1523,-90.391,0.0060,-0.0054,0.0081,-0.394,0.7949,3.1523,-0.394,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0159,1.6214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
