t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7969,3.1528,-90.448,0.0055,-0.0034,0.0065,-0.451,0.7969,3.1528,-0.451,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0152,1.5587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0049,0.0096,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8003,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0049,0.0096,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0049,0.0096,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0049,0.0096,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8004,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0050,0.0097,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8004,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0050,0.0097,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8004,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0050,0.0097,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8004,3.1583,-89.997,0.7954,3.1500,-90.760,0.0083,-0.0050,0.0097,-0.764,0.7954,3.1500,-0.764,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0176,1.8026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.101,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8004,3.1583,-89.997,0.7963,3.1501,-90.946,0.0082,-0.0041,0.0091,-0.950,0.7963,3.1501,-0.950,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0098,0.0184,1.8841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
