# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
0.00000,-1.15040,5.81358,0.05034,-0.48178,1.00000,1.17500
0.07927,-1.07117,5.81607,0.01264,-0.46969,0.97500,1.20000
0.15878,-0.99165,5.81560,-0.02429,-0.45944,0.97500,1.25000
0.23850,-0.91201,5.81221,-0.06057,-0.45102,0.95000,1.27500
0.31837,-0.83239,5.80595,-0.09632,-0.44445,0.95000,1.22500
0.39833,-0.75294,5.79685,-0.13166,-0.43972,0.95000,1.20000
0.47834,-0.67383,5.78496,-0.16672,-0.43685,0.95000,1.15000
0.55832,-0.59520,5.77031,-0.20161,-0.43583,0.92500,1.12500
0.63822,-0.51720,5.75295,-0.23645,-0.43670,0.92500,1.10000
0.71798,-0.44000,5.73292,-0.27138,-0.43946,0.97500,1.07500
0.79753,-0.36375,5.71025,-0.30652,-0.44417,0.95000,1.07500
0.87681,-0.28860,5.68500,-0.34199,-0.45086,0.95000,1.05000
0.95577,-0.21470,5.65719,-0.37792,-0.45957,0.92500,1.05000
1.03434,-0.14221,5.62687,-0.41444,-0.47038,0.90000,1.05000
1.11248,-0.07128,5.59409,-0.45169,-0.48333,0.87500,1.05000
1.19014,-0.00207,5.55887,-0.48980,-0.49848,0.92500,1.05000
1.26727,0.06528,5.52127,-0.52890,-0.51589,0.90000,1.05000
1.34383,0.13059,5.48132,-0.56914,-0.53558,0.90000,1.07500
1.41980,0.19373,5.43907,-0.61066,-0.55755,0.90000,1.07500
1.49517,0.25454,5.39455,-0.65357,-0.58177,0.92500,1.05000
1.56991,0.31286,5.34781,-0.69803,-0.60814,0.90000,1.05000
1.64403,0.36854,5.29888,-0.74415,-0.63649,0.92500,1.00000
1.71755,0.42143,5.24781,-0.79205,-0.66654,0.92500,0.92500
1.79050,0.47137,5.19464,-0.84181,-0.69789,0.90000,0.87500
1.86292,0.51821,5.13941,-0.89351,-0.73000,0.92500,0.87500
1.93487,0.56179,5.08215,-0.94720,-0.76214,0.95000,0.85000
2.00644,0.60196,5.02292,-1.00289,-0.79345,0.95000,0.80000
2.07775,0.63861,4.96175,-1.05886,-0.77041,0.95000,0.75000
2.14898,0.67181,4.89873,-1.11253,-0.73514,0.92500,0.72500
2.22035,0.70172,4.83393,-1.16358,-0.69461,0.92500,0.67500
2.29202,0.72850,4.76745,-1.21180,-0.65055,0.92500,0.70000
2.36413,0.75228,4.69938,-1.25706,-0.60456,0.90000,0.65000
2.43680,0.77322,4.62979,-1.29930,-0.55795,0.87500,0.67500
2.51012,0.79147,4.55878,-1.33852,-0.51180,0.85000,0.65000
2.58415,0.80719,4.48643,-1.37473,-0.46690,0.82500,0.62500
2.65895,0.82052,4.41283,-1.40803,-0.42380,0.77500,0.67500
2.73453,0.83161,4.33807,-1.43850,-0.38283,0.72500,0.65000
2.81091,0.84061,4.26222,-1.46625,-0.34416,0.70000,0.70000
2.88807,0.84768,4.18539,-1.49138,-0.30783,0.65000,0.67500
2.96599,0.85297,4.10765,-1.51403,-0.27378,0.65000,0.67500
3.04463,0.85662,4.02909,-1.53429,-0.24190,0.65000,0.67500
3.12395,0.85878,3.94980,-1.55228,-0.21201,0.60000,0.67500
3.20389,0.85962,3.86986,-1.56809,-0.18392,0.60000,0.67500
3.28439,0.85927,3.78937,-1.58182,-0.15741,0.60000,0.67500
3.36537,0.85789,3.70840,-1.59353,-0.13227,0.55000,0.67500
3.44675,0.85563,3.62705,-1.60332,-0.10828,0.55000,0.67500
3.52846,0.85263,3.54539,-1.61121,-0.08520,0.55000,0.67500
3.61040,0.84906,3.46353,-1.61728,-0.06283,0.55000,0.67500
3.69249,0.84506,3.38153,-1.62153,-0.04093,0.55000,0.67500
3.77464,0.84078,3.29950,-1.62400,-0.01929,0.60000,0.65000
3.85674,0.83637,3.21751,-1.62470,0.00232,0.57500,0.65000
3.93872,0.83199,3.13566,-1.62394,0.01102,0.57500,0.65000
4.02052,0.82768,3.05397,-1.62304,0.01091,0.57500,0.65000
4.10217,0.82345,2.97243,-1.62216,0.01079,0.57500,0.65000
4.18365,0.81930,2.89105,-1.62128,0.01068,0.57500,0.65000
4.26498,0.81523,2.80982,-1.62042,0.01055,0.57500,0.62500
4.34617,0.81124,2.72873,-1.61957,0.01042,0.55000,0.62500
4.42722,0.80732,2.64778,-1.61873,0.01029,0.55000,0.62500
4.50813,0.80348,2.56696,-1.61790,0.01016,0.60000,0.62500
4.58892,0.79971,2.48626,-1.61709,0.01002,0.60000,0.62500
4.66958,0.79601,2.40569,-1.61628,0.00987,0.60000,0.62500
4.75012,0.79238,2.32523,-1.61549,0.00972,0.60000,0.57500
4.83055,0.78882,2.24487,-1.61472,0.00957,0.62500,0.60000
4.91088,0.78532,2.16462,-1.61396,0.00942,0.62500,0.60000
4.99110,0.78189,2.08447,-1.61321,0.00926,0.62500,0.60000
5.07123,0.77852,2.00441,-1.61247,0.00909,0.62500,0.60000
5.15128,0.77521,1.92444,-1.61175,0.00893,0.62500,0.60000
5.23124,0.77197,1.84454,-1.61104,0.00876,0.62500,0.60000
5.31112,0.76878,1.76472,-1.61035,0.00858,0.62500,0.60000
5.39093,0.76565,1.68497,-1.60967,0.00841,0.62500,0.55000
5.47067,0.76258,1.60529,-1.60901,0.00823,0.60000,0.57500
5.55036,0.75956,1.52566,-1.60836,0.00804,0.60000,0.57500
5.62999,0.75660,1.44609,-1.60773,0.00786,0.60000,0.57500
5.70957,0.75368,1.36656,-1.60711,0.00767,0.60000,0.57500
5.78911,0.75082,1.28707,-1.60651,0.00748,0.60000,0.57500
5.86861,0.74800,1.20762,-1.60592,0.00728,0.60000,0.57500
5.94807,0.74524,1.12820,-1.60535,0.00709,0.60000,0.57500
6.02752,0.74251,1.04881,-1.60479,0.00689,0.60000,0.57500
6.10694,0.73984,0.96943,-1.60426,0.00669,0.60000,0.60000
6.18634,0.73720,0.89007,-1.60373,0.00648,0.57500,0.60000
6.26574,0.73461,0.81071,-1.60323,0.00628,0.57500,0.60000
6.34514,0.73205,0.73136,-1.60274,0.00607,0.57500,0.60000
6.42453,0.72953,0.65200,-1.60226,0.00586,0.57500,0.60000
6.50394,0.72706,0.57264,-1.60180,0.00565,0.57500,0.60000
6.58335,0.72461,0.49326,-1.60136,0.00544,0.57500,0.55000
6.66279,0.72220,0.41386,-1.60094,0.00523,0.57500,0.55000
6.74225,0.71982,0.33443,-1.60053,0.00502,0.57500,0.55000
6.82175,0.71747,0.25497,-1.60014,0.00480,0.57500,0.55000
6.90127,0.71515,0.17548,-1.59977,0.00459,0.57500,0.57500
6.98084,0.71286,0.09594,-1.59941,0.00437,0.55000,0.57500
7.06046,0.71060,0.01636,-1.59907,0.00415,0.55000,0.57500
7.14013,0.70836,-0.06328,-1.59875,0.00393,0.55000,0.57500
7.21986,0.70614,-0.14298,-1.59845,0.00372,0.55000,0.57500
7.29966,0.70395,-0.22275,-1.59816,0.00350,0.55000,0.57500
7.37952,0.70177,-0.30258,-1.59789,0.00328,0.55000,0.57500
7.45946,0.69962,-0.38249,-1.59764,0.00306,0.55000,0.57500
7.53949,0.69748,-0.46249,-1.59740,0.00284,0.55000,0.57500
7.61959,0.69536,-0.54257,-1.59720,0.00198,0.55000,0.57500
7.69978,0.69325,-0.62273,-1.59708,0.00104,0.55000,0.57500
7.78005,0.69114,-0.70297,-1.59704,0.00011,0.55000,0.57500
7.86038,0.68903,-0.78327,-1.59706,-0.00082,0.57500,0.60000
7.94078,0.68692,-0.86364,-1.59717,-0.00175,0.57500,0.60000
8.02124,0.68479,-0.94407,-1.59735,-0.00268,0.57500,0.60000
8.10174,0.68264,-1.02455,-1.59760,-0.00360,0.62500,0.60000
8.18229,0.68047,-1.10507,-1.59793,-0.00452,0.62500,0.60000
8.26288,0.67827,-1.18562,-1.59833,-0.00544,0.62500,0.60000
8.34350,0.67603,-1.26621,-1.59880,-0.00636,0.62500,0.60000
8.42414,0.67375,-1.34682,-1.59935,-0.00728,0.62500,0.60000
8.50480,0.67142,-1.42745,-1.59998,-0.00820,0.62500,0.60000
8.58548,0.66904,-1.50809,-1.60068,-0.00912,0.62500,0.60000
8.66616,0.66660,-1.58874,-1.60145,-0.01005,0.62500,0.60000
8.74684,0.66409,-1.66938,-1.60230,-0.01098,0.65000,0.62500
8.82752,0.66152,-1.75002,-1.60322,-0.01191,0.65000,0.62500
8.90818,0.65886,-1.83064,-1.60422,-0.01285,0.65000,0.62500
8.98883,0.65612,-1.91123,-1.60529,-0.01379,0.65000,0.62500
9.06945,0.65330,-1.99180,-1.60644,-0.01474,0.65000,0.62500
9.15004,0.65038,-2.07234,-1.60767,-0.01569,0.65000,0.62500
9.23059,0.64736,-2.15284,-1.60897,-0.01666,0.70000,0.62500
9.31110,0.64423,-2.23328,-1.61035,-0.01762,0.70000,0.62500
9.39156,0.64099,-2.31368,-1.61181,-0.01860,0.75000,0.62500
9.47196,0.63763,-2.39401,-1.61334,-0.01959,0.72500,0.65000
9.55230,0.63415,-2.47428,-1.61496,-0.02058,0.77500,0.65000
9.63258,0.63054,-2.55447,-1.61665,-0.02159,0.77500,0.65000
9.71278,0.62679,-2.63459,-1.61842,-0.02261,0.77500,0.65000
9.79290,0.62290,-2.71461,-1.62028,-0.02364,0.77500,0.65000
9.87294,0.61887,-2.79455,-1.62221,-0.02468,0.77500,0.65000
9.95288,0.61468,-2.87439,-1.62422,-0.02573,0.77500,0.67500
10.03273,0.61033,-2.95412,-1.62632,-0.02680,0.75000,0.67500
10.11248,0.60582,-3.03373,-1.62850,-0.02789,0.75000,0.67500
10.19212,0.60114,-3.11323,-1.63077,-0.02899,0.75000,0.72500
10.27164,0.59628,-3.19261,-1.63312,-0.03010,0.75000,0.72500
10.35104,0.59124,-3.27185,-1.63555,-0.03123,0.80000,0.75000
10.43032,0.58601,-3.35095,-1.63807,-0.03238,0.77500,0.75000
10.50946,0.58058,-3.42991,-1.64068,-0.03355,0.77500,0.75000
10.58847,0.57496,-3.50872,-1.64338,-0.03474,0.77500,0.75000
10.66734,0.56913,-3.58737,-1.64617,-0.03595,0.82500,0.75000
10.74606,0.56309,-3.66586,-1.64905,-0.03718,0.82500,0.82500
10.82463,0.55684,-3.74418,-1.65202,-0.03843,0.80000,0.82500
10.90303,0.55036,-3.82232,-1.65508,-0.03971,0.80000,0.82500
10.98128,0.54365,-3.90027,-1.65824,-0.04101,0.85000,0.82500
11.05935,0.53670,-3.97804,-1.66149,-0.04233,0.85000,0.85000
11.13725,0.52952,-4.05561,-1.66484,-0.04368,0.82500,0.85000
11.21498,0.52209,-4.13297,-1.66829,-0.04505,0.82500,0.85000
11.29251,0.51440,-4.21013,-1.67179,-0.04242,0.82500,0.87500
11.36989,0.50649,-4.28710,-1.67461,-0.03060,0.85000,0.87500
