# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.15040,5.81358,0.03142,-0.48181,1.00000,1.17500,3.24826
0.07927,-1.07117,5.81607,0.01272,-0.46967,0.97500,1.20000,3.30920
0.15880,-0.99165,5.81560,-0.02425,-0.46059,0.97500,1.25000,3.36720
0.23852,-0.91201,5.81221,-0.06052,-0.44864,0.95000,1.27500,3.42161
0.31839,-0.83239,5.80595,-0.09626,-0.44621,0.95000,1.22500,3.47413
0.39836,-0.75294,5.79685,-0.13161,-0.43778,0.95000,1.20000,3.52099
0.47836,-0.67383,5.78496,-0.16669,-0.43882,0.95000,1.15000,3.56554
0.55835,-0.59520,5.77031,-0.20159,-0.43412,0.92500,1.12500,3.60298
0.63826,-0.51720,5.75295,-0.23641,-0.43592,0.92500,1.10000,3.60674
0.71802,-0.44000,5.73292,-0.27140,-0.44260,0.97500,1.07500,3.56719
0.79757,-0.36375,5.71025,-0.30654,-0.44005,0.95000,1.07500,3.52640
0.87686,-0.28860,5.68500,-0.34200,-0.45347,0.95000,1.05000,3.47710
0.95582,-0.21470,5.65719,-0.37800,-0.45988,0.92500,1.05000,3.42782
1.03440,-0.14221,5.62687,-0.41448,-0.46659,0.90000,1.05000,3.37490
1.11254,-0.07128,5.59409,-0.45176,-0.48853,0.87500,1.05000,3.32053
1.19020,-0.00207,5.55887,-0.48989,-0.49281,0.92500,1.05000,3.26632
1.26734,0.06528,5.52127,-0.52900,-0.52093,0.90000,1.05000,3.21044
1.34391,0.13059,5.48132,-0.56927,-0.53129,0.90000,1.07500,3.15448
1.41989,0.19373,5.43907,-0.61075,-0.55952,0.90000,1.07500,3.09771
1.49526,0.25454,5.39455,-0.65370,-0.58030,0.92500,1.05000,3.04037
1.57000,0.31286,5.34781,-0.69820,-0.61029,0.90000,1.05000,2.98568
1.64413,0.36854,5.29888,-0.74433,-0.63428,0.92500,1.00000,2.93091
1.71766,0.42143,5.24781,-0.79221,-0.66752,0.92500,0.92500,2.87983
1.79061,0.47137,5.19464,-0.84197,-0.69612,0.90000,0.87500,2.83044
1.86304,0.51821,5.13941,-0.89374,-0.73397,0.92500,0.87500,2.78831
1.93501,0.56179,5.08215,-0.94747,-0.75918,0.95000,0.85000,2.74754
2.00658,0.60196,5.02292,-1.00287,-0.79626,0.95000,0.80000,2.74503
2.07790,0.63861,4.96175,-1.05845,-0.77269,0.95000,0.75000,2.74253
2.14914,0.67181,4.89873,-1.11217,-0.73746,0.92500,0.72500,2.77214
2.22052,0.70172,4.83393,-1.16316,-0.69037,0.92500,0.67500,2.81161
2.29220,0.72850,4.76745,-1.21135,-0.65393,0.92500,0.70000,2.86155
2.36431,0.75228,4.69938,-1.25669,-0.60476,0.90000,0.65000,2.91525
2.43698,0.77322,4.62979,-1.29896,-0.55855,0.87500,0.67500,2.97622
2.51031,0.79147,4.55878,-1.33813,-0.50921,0.85000,0.65000,3.04237
2.58435,0.80719,4.48643,-1.37432,-0.46800,0.82500,0.62500,3.11395
2.65915,0.82052,4.41283,-1.40766,-0.42350,0.77500,0.67500,3.18864
2.73473,0.83161,4.33807,-1.43819,-0.38453,0.72500,0.65000,3.26712
2.81111,0.84061,4.26222,-1.46593,-0.34196,0.70000,0.70000,3.34819
2.88827,0.84768,4.18539,-1.49100,-0.30677,0.65000,0.67500,3.43246
2.96619,0.85297,4.10765,-1.51366,-0.27462,0.65000,0.67500,3.51856
3.04484,0.85662,4.02909,-1.53401,-0.24408,0.65000,0.67500,3.60602
3.12416,0.85878,3.94980,-1.55196,-0.20740,0.60000,0.67500,3.69460
3.20410,0.85962,3.86986,-1.56774,-0.18692,0.60000,0.67500,3.78510
3.28460,0.85927,3.78937,-1.58151,-0.15628,0.60000,0.67500,3.87528
3.36558,0.85789,3.70840,-1.59322,-0.13146,0.55000,0.67500,3.96635
3.44696,0.85563,3.62705,-1.60305,-0.11121,0.55000,0.67500,4.05748
