# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1463,5.8131,0.8838,1.0462
-1.0690,5.8152,0.8463,1.0837
-0.9916,5.8146,0.8338,1.1462
-0.9144,5.8112,0.8338,1.1462
-0.8373,5.8051,0.8338,1.1087
-0.7605,5.7965,0.8338,1.0713
-0.6839,5.7852,0.8213,1.0337
-0.6079,5.7714,0.8088,1.0088
-0.5323,5.7550,0.8088,0.9837
-0.4573,5.7361,0.8338,1.0088
-0.3830,5.7147,0.8338,0.9712
-0.3094,5.6908,0.8213,0.9337
-0.2368,5.6644,0.7963,0.9212
-0.1651,5.6354,0.7838,0.8962
-0.0945,5.6039,0.7588,0.8962
-0.0251,5.5698,0.7963,0.8962
0.0430,5.5330,0.7713,0.9087
0.1095,5.4936,0.7588,0.9212
0.1744,5.4516,0.7838,0.9337
0.2374,5.4068,0.7838,0.9587
0.2984,5.3592,0.7963,0.9337
0.3571,5.3088,0.7838,0.8838
0.4132,5.2557,0.8088,0.8213
0.4665,5.1997,0.7713,0.7713
0.5168,5.1409,0.7963,0.7338
0.5636,5.0794,0.8213,0.7463
0.6067,5.0152,0.8338,0.6713
0.6458,4.9485,0.8213,0.6588
0.6809,4.8796,0.7963,0.5963
0.7121,4.8088,0.8088,0.5963
0.7395,4.7365,0.7713,0.5588
0.7634,4.6630,0.7713,0.5213
0.7840,4.5884,0.7338,0.5463
0.8015,4.5131,0.6963,0.5213
0.8161,4.4372,0.7088,0.5463
0.8282,4.3608,0.6588,0.5338
0.8380,4.2841,0.5713,0.5213
0.8456,4.2071,0.5713,0.5588
0.8514,4.1300,0.5338,0.5588
0.8554,4.0528,0.5338,0.5463
0.8580,3.9755,0.4838,0.5463
0.8593,3.8982,0.4838,0.5463
0.8594,3.8208,0.4838,0.5463
0.8585,3.7435,0.4338,0.5463
0.8567,3.6662,0.4338,0.5463
0.8542,3.5889,0.4338,0.5463
0.8512,3.5116,0.4213,0.5588
0.8477,3.4344,0.4213,0.5588
0.8438,3.3571,0.4713,0.5088
0.8398,3.2799,0.4713,0.5213
0.8356,3.2027,0.4588,0.5213
0.8315,3.1255,0.4588,0.5213
0.8275,3.0482,0.4588,0.5338
0.8235,2.9710,0.4463,0.5338
0.8196,2.8938,0.4463,0.5338
0.8157,2.8165,0.4463,0.4963
0.8119,2.7393,0.4338,0.4963
0.8082,2.6621,0.4338,0.4963
0.8045,2.5848,0.4838,0.4963
0.8009,2.5076,0.4713,0.5088
0.7973,2.4303,0.4713,0.5088
0.7938,2.3531,0.4713,0.4588
0.7904,2.2758,0.4713,0.4713
0.7870,2.1985,0.5088,0.4713
0.7837,2.1213,0.5088,0.4713
0.7804,2.0440,0.5088,0.4713
0.7771,1.9667,0.5088,0.4838
0.7740,1.8895,0.4963,0.4838
0.7708,1.8122,0.4963,0.4838
0.7678,1.7349,0.4963,0.4838
0.7647,1.6577,0.4963,0.4463
0.7618,1.5804,0.4838,0.4463
0.7588,1.5031,0.4838,0.4463
0.7560,1.4258,0.4838,0.4463
0.7531,1.3485,0.4838,0.4463
0.7503,1.2713,0.4713,0.4588
0.7476,1.1940,0.4713,0.4588
0.7449,1.1167,0.4713,0.4588
0.7422,1.0394,0.4713,0.4588
0.7396,0.9621,0.4588,0.4713
0.7370,0.8848,0.4588,0.4713
0.7345,0.8075,0.4588,0.4713
0.7320,0.7302,0.4588,0.4713
0.7295,0.6529,0.4588,0.4713
0.7271,0.5757,0.4463,0.4838
0.7247,0.4984,0.4463,0.4338
0.7223,0.4211,0.4463,0.4338
0.7200,0.3438,0.4463,0.4338
0.7177,0.2665,0.4463,0.4338
0.7154,0.1892,0.4463,0.4338
0.7132,0.1119,0.4338,0.4463
0.7110,0.0346,0.4338,0.4463
0.7088,-0.0427,0.4338,0.4463
0.7066,-0.1200,0.4338,0.4463
0.7045,-0.1974,0.4338,0.4463
0.7024,-0.2747,0.4338,0.4588
0.7003,-0.3520,0.4213,0.4588
0.6982,-0.4293,0.4213,0.4588
0.6961,-0.5066,0.4213,0.4588
0.6941,-0.5839,0.4213,0.4588
0.6921,-0.6612,0.4213,0.4588
0.6901,-0.7385,0.4713,0.4713
0.6880,-0.8158,0.4588,0.4713
0.6860,-0.8931,0.4588,0.4713
0.6840,-0.9704,0.4588,0.4713
0.6819,-1.0477,0.5088,0.4713
0.6798,-1.1250,0.5088,0.4713
0.6777,-1.2023,0.5088,0.4838
0.6756,-1.2796,0.4963,0.4838
0.6734,-1.3569,0.4963,0.4838
0.6712,-1.4342,0.4963,0.4838
0.6689,-1.5115,0.4963,0.4838
0.6666,-1.5888,0.4963,0.4838
0.6642,-1.6661,0.5338,0.4963
0.6618,-1.7434,0.5338,0.4963
0.6592,-1.8207,0.5338,0.4963
0.6567,-1.8980,0.5338,0.4963
0.6540,-1.9753,0.5338,0.4963
0.6512,-2.0526,0.5213,0.5088
0.6484,-2.1299,0.5713,0.5088
0.6454,-2.2071,0.5713,0.5088
0.6423,-2.2844,0.5713,0.5088
0.6392,-2.3617,0.6088,0.5213
0.6359,-2.4389,0.6088,0.5213
0.6325,-2.5162,0.6588,0.5213
0.6289,-2.5935,0.6588,0.5213
0.6253,-2.6707,0.6463,0.5338
0.6215,-2.7479,0.6463,0.5338
0.6175,-2.8252,0.6463,0.5338
0.6134,-2.9024,0.6338,0.5463
0.6091,-2.9796,0.6338,0.5463
0.6047,-3.0568,0.6338,0.5463
0.6001,-3.1340,0.6213,0.6088
0.5953,-3.2112,0.6713,0.6088
0.5904,-3.2884,0.6713,0.6213
0.5852,-3.3655,0.6588,0.6213
0.5799,-3.4427,0.6588,0.6213
0.5744,-3.5198,0.6463,0.6338
0.5686,-3.5969,0.6963,0.6338
0.5626,-3.6740,0.6963,0.6963
0.5564,-3.7511,0.6838,0.6963
0.5500,-3.8282,0.6838,0.7088
0.5433,-3.9052,0.7213,0.7213
0.5364,-3.9823,0.7088,0.7213
0.5292,-4.0593,0.7088,0.7338
0.5217,-4.1362,0.6963,0.7338
0.5140,-4.2132,0.6963,0.7463
0.5060,-4.2901,0.7338,0.7588
0.4979,-4.3670,0.7338,0.7588
0.4896,-4.4439,0.7213,0.7213
0.4813,-4.5208,0.7088,0.7338
0.4731,-4.5977,0.7088,0.7338
0.4649,-4.6746,0.7463,0.7463
0.4570,-4.7515,0.7338,0.7588
0.4493,-4.8285,0.7838,0.7088
0.4419,-4.9054,0.7713,0.7213
0.4349,-4.9825,0.7588,0.7213
0.4284,-5.0595,0.8088,0.7338
0.4224,-5.1366,0.7963,0.7338
0.4169,-5.2137,0.7963,0.6963
0.4116,-5.2909,0.7838,0.6963
0.4064,-5.3681,0.7838,0.6963
0.4009,-5.4452,0.8338,0.7088
0.3949,-5.5223,0.8213,0.7088
0.3882,-5.5993,0.8712,0.7213
0.3804,-5.6763,0.9087,0.7338
0.3713,-5.7531,0.9087,0.7463
0.3606,-5.8297,0.9463,0.7588
0.3481,-5.9060,0.9337,0.7713
0.3333,-5.9819,0.9337,0.7463
0.3161,-6.0573,0.9712,0.7713
0.2962,-6.1320,1.0212,0.7963
0.2734,-6.2059,1.0088,0.8338
0.2479,-6.2789,0.9962,0.8712
0.2196,-6.3508,1.0088,0.8588
0.1885,-6.4216,1.0212,0.9087
0.1545,-6.4911,1.0212,0.9712
0.1176,-6.5591,1.0462,0.9837
0.0779,-6.6254,1.0337,0.9962
0.0352,-6.6899,1.0588,1.0337
-0.0103,-6.7524,1.0588,1.0588
-0.0589,-6.8126,1.0462,1.1087
-0.1103,-6.8703,1.0462,1.0962
-0.1647,-6.9253,1.0588,1.1587
-0.2219,-6.9773,1.0713,1.1838
-0.2820,-7.0260,1.0588,1.1712
-0.3448,-7.0711,1.0588,1.1213
-0.4102,-7.1123,1.0462,1.1338
-0.4780,-7.1494,1.0462,1.0588
-0.5481,-7.1821,1.0337,1.0337
-0.6201,-7.2102,1.0337,1.0337
-0.6939,-7.2334,1.0462,1.0337
-0.7690,-7.2517,1.0462,0.9962
-0.8452,-7.2650,1.0462,1.0212
-0.9220,-7.2733,1.0462,1.0088
-0.9993,-7.2766,1.0337,0.9962
-1.0766,-7.2753,1.0337,0.9962
-1.1537,-7.2700,1.0337,1.0088
-1.2306,-7.2610,0.9712,0.9712
-1.3069,-7.2489,0.9212,0.9463
-1.3828,-7.2339,0.9087,0.9087
-1.4581,-7.2162,0.8962,0.8962
-1.5328,-7.1963,0.8338,0.8838
-1.6069,-7.1742,0.8213,0.8838
-1.6804,-7.1502,0.7463,0.8838
-1.7533,-7.1244,0.6838,0.8588
-1.8256,-7.0969,0.6588,0.7963
-1.8973,-7.0679,0.5838,0.7713
-1.9684,-7.0375,0.5463,0.7088
-2.0389,-7.0057,0.5213,0.6963
-2.1086,-6.9722,0.5463,0.6838
-2.1774,-6.9370,0.5463,0.6838
-2.2452,-6.8997,0.5463,0.6213
-2.3116,-6.8601,0.5338,0.6338
-2.3766,-6.8182,0.5338,0.6338
-2.4397,-6.7736,0.5713,0.6588
-2.5008,-6.7262,0.5588,0.6713
-2.5595,-6.6758,0.5588,0.6588
-2.6155,-6.6225,0.5713,0.6338
-2.6683,-6.5660,0.5588,0.6088
-2.7178,-6.5066,0.5713,0.6213
-2.7635,-6.4442,0.5463,0.5838
-2.8053,-6.3792,0.5588,0.5713
-2.8431,-6.3117,0.5838,0.5588
-2.8771,-6.2423,0.5463,0.5088
-2.9073,-6.1711,0.5588,0.5088
-2.9338,-6.0984,0.5713,0.4713
-2.9566,-6.0246,0.5338,0.4963
-2.9758,-5.9497,0.5463,0.4588
-2.9913,-5.8739,0.5088,0.4463
-3.0032,-5.7975,0.5088,0.4213
-3.0114,-5.7206,0.5213,0.4713
-3.0159,-5.6434,0.5213,0.4588
-3.0165,-5.5661,0.4713,0.4588
-3.0131,-5.4888,0.4713,0.4588
-3.0057,-5.4119,0.4713,0.4713
-2.9945,-5.3354,0.4588,0.4838
-2.9795,-5.2595,0.4463,0.4588
-2.9611,-5.1844,0.4338,0.4838
-2.9394,-5.1102,0.4213,0.5213
-2.9148,-5.0369,0.4588,0.5463
-2.8875,-4.9645,0.4338,0.5838
-2.8577,-4.8932,0.4588,0.5713
-2.8256,-4.8228,0.4338,0.5963
-2.7915,-4.7534,0.4588,0.5588
-2.7556,-4.6849,0.4838,0.5463
-2.7180,-4.6173,0.5088,0.5463
-2.6789,-4.5506,0.5338,0.5463
-2.6384,-4.4847,0.5463,0.5338
-2.5968,-4.4196,0.5713,0.5213
-2.5540,-4.3551,0.5838,0.5338
-2.5102,-4.2914,0.5963,0.5338
-2.4656,-4.2282,0.5463,0.4963
-2.4202,-4.1656,0.6213,0.5338
-2.3741,-4.1035,0.5713,0.5338
-2.3275,-4.0418,0.5838,0.5338
-2.2804,-3.9804,0.6463,0.5338
-2.2330,-3.9193,0.6588,0.5338
-2.1854,-3.8584,0.6588,0.5338
-2.1376,-3.7976,0.6588,0.5713
-2.0899,-3.7368,0.6713,0.5588
-2.0421,-3.6759,0.6713,0.5838
-1.9946,-3.6149,0.7338,0.5838
-1.9474,-3.5537,0.7338,0.5713
-1.9005,-3.4922,0.7338,0.5838
-1.8542,-3.4302,0.7338,0.6213
-1.8085,-3.3679,0.7088,0.6088
-1.7635,-3.3050,0.6588,0.5963
-1.7194,-3.2414,0.6588,0.6338
-1.6763,-3.1773,0.6463,0.6213
-1.6343,-3.1123,0.6088,0.6213
-1.5935,-3.0466,0.6088,0.6088
-1.5541,-2.9801,0.6088,0.6213
-1.5162,-2.9127,0.5588,0.5963
-1.4799,-2.8444,0.5588,0.6338
-1.4455,-2.7751,0.5213,0.5963
-1.4129,-2.7050,0.5213,0.5838
