# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.42799,8.35265,0.25995,-1.32556,1.29375,1.29375,1.84250
0.14584,-4.28443,8.37733,0.09739,-1.00324,1.33125,1.28125,1.83105
0.29167,-4.13873,8.38091,-0.02520,-0.67201,1.33125,1.21875,2.06882
0.43751,-3.99334,8.37000,-0.10480,-0.40206,1.33125,1.18125,2.31271
0.58335,-3.84883,8.35042,-0.14806,-0.17872,1.21875,1.15625,2.56193
0.72919,-3.70489,8.32697,-0.16025,0.01529,1.09375,1.19375,2.80894
0.87503,-3.56089,8.30388,-0.14652,0.21642,1.01875,1.15625,3.04143
1.02086,-3.41637,8.28439,-0.12324,0.14989,0.94375,1.16875,3.23139
1.16670,-3.27145,8.26802,-0.10748,0.06884,0.96875,1.14375,3.41759
1.31254,-3.12638,8.25311,-0.10349,-0.01292,0.95625,1.10625,3.60141
1.45838,-2.98134,8.23789,-0.11193,-0.10109,0.94375,1.06875,3.77716
1.60422,-2.83654,8.22053,-0.13365,-0.19372,0.93125,1.04375,3.90277
1.75006,-2.69230,8.19903,-0.16863,-0.30045,0.96875,1.03125,3.85847
1.89589,-2.54908,8.17159,-0.21146,-0.30600,0.94375,1.05625,3.83480
2.04173,-2.40722,8.13783,-0.25544,-0.29935,0.96875,0.99375,3.81098
2.18757,-2.26696,8.09791,-0.29849,-0.29191,0.99375,0.99375,3.83667
2.33341,-2.12852,8.05208,-0.34019,-0.28097,0.95625,1.00625,3.86923
2.47925,-1.99207,8.00062,-0.38015,-0.26777,0.96875,1.00625,3.91199
2.62508,-1.85774,7.94388,-0.41805,-0.25261,0.98125,0.99375,3.96443
2.77092,-1.72558,7.88223,-0.45365,-0.23608,0.98125,1.01875,4.02599
2.91676,-1.59562,7.81607,-0.48680,-0.21867,0.98125,1.05625,4.09577
3.06260,-1.46783,7.74581,-0.51738,-0.20083,1.01875,1.04375,4.17281
3.20844,-1.34215,7.67183,-0.54537,-0.18305,1.01875,1.03125,4.25612
3.35427,-1.21849,7.59453,-0.57078,-0.16521,1.01875,1.01875,4.34467
3.50011,-1.09673,7.51426,-0.59368,-0.14911,1.04375,1.00625,4.43777
3.64595,-0.97674,7.43137,-0.61423,-0.12910,1.03125,1.00625,4.53376
3.79179,-0.85839,7.34616,-0.63403,-0.13545,1.05625,0.99375,4.46531
3.93763,-0.74177,7.25859,-0.65555,-0.15728,1.03125,1.01875,4.31283
4.08346,-0.62719,7.16838,-0.68002,-0.17783,1.05625,1.04375,4.16208
4.22930,-0.51500,7.07521,-0.70779,-0.20204,1.08125,1.06875,4.01457
4.37514,-0.40561,6.97877,-0.73934,-0.22931,1.11875,1.04375,3.87168
4.52098,-0.29952,6.87871,-0.77523,-0.26154,1.10625,1.08125,3.73698
4.66682,-0.19733,6.77468,-0.81615,-0.29674,1.13125,1.13125,3.61420
4.81266,-0.09977,6.66629,-0.86283,-0.34653,1.14375,1.13125,3.53843
4.95849,-0.00773,6.55319,-0.91369,-0.36386,1.15625,1.18125,3.51672
5.10433,0.07831,6.43546,-0.96432,-0.33761,1.11875,1.21875,3.49488
5.25017,0.15845,6.31363,-1.01166,-0.31269,1.09375,1.14375,3.55623
5.39601,0.23298,6.18828,-1.05481,-0.28084,1.09375,1.14375,3.63128
5.54185,0.30232,6.06000,-1.09314,-0.24560,1.09375,1.15625,3.72175
5.68768,0.36703,5.92931,-1.12627,-0.21006,1.11875,1.11875,3.82551
5.83352,0.42773,5.79671,-1.15439,-0.16679,1.10625,1.09375,3.93934
5.97936,0.48499,5.66258,-1.18088,-0.18424,1.08125,1.08125,4.06438
6.12520,0.53859,5.52696,-1.21008,-0.21467,1.13125,1.05625,4.05890
6.27104,0.58792,5.38972,-1.24333,-0.24167,1.11875,1.04375,3.93339
6.41687,0.63238,5.25084,-1.28063,-0.27026,1.09375,1.04375,3.81940
6.56271,0.67135,5.11031,-1.32193,-0.29504,1.06875,0.99375,3.71415
6.70855,0.70420,4.96824,-1.36673,-0.33025,1.08125,0.99375,3.69136
6.85439,0.73044,4.82479,-1.41077,-0.29080,1.06875,0.95625,3.66843
7.00023,0.75067,4.68037,-1.44806,-0.22362,1.03125,0.93125,3.74309
7.14606,0.76614,4.53536,-1.47663,-0.16647,1.04375,0.91875,3.85798
7.29190,0.77809,4.39001,-1.49681,-0.10962,1.00625,0.90625,3.98963
7.43774,0.78770,4.24449,-1.50895,-0.05689,0.95625,0.94375,4.13090
7.58358,0.79612,4.09890,-1.51367,0.00004,0.96875,0.93125,4.27516
7.72942,0.80435,3.95329,-1.51396,0.00607,0.93125,0.93125,4.41691
7.87525,0.81269,3.80769,-1.51341,0.00262,0.88125,0.96875,4.55251
8.02109,0.82108,3.66210,-1.51307,0.00165,0.89375,0.95625,4.68263
8.16693,0.82951,3.51650,-1.51296,0.00003,0.85625,0.95625,4.80768
8.31277,0.83794,3.37091,-1.51306,-0.00141,0.85625,0.94375,4.92808
8.45861,0.84635,3.22531,-1.51337,-0.00288,0.86875,0.93125,5.04416
8.60444,0.85469,3.07971,-1.51390,-0.00433,0.88125,0.93125,5.15623
8.75028,0.86293,2.93411,-1.51463,-0.00578,0.88125,0.91875,5.26454
8.89612,0.87106,2.78850,-1.51558,-0.00721,0.89375,0.90625,5.36932
9.04196,0.87903,2.64288,-1.51674,-0.00864,0.90625,0.90625,5.47078
9.18780,0.88682,2.49725,-1.51810,-0.01006,0.90625,0.89375,5.56909
9.33364,0.89439,2.35161,-1.51967,-0.01148,0.91875,0.88125,5.66441
9.47947,0.90172,2.20595,-1.52145,-0.01289,0.91875,0.93125,5.75688
9.62531,0.90878,2.06029,-1.52343,-0.01430,0.93125,0.91875,5.84663
9.77115,0.91553,1.91460,-1.52562,-0.01570,0.93125,0.91875,5.93376
9.91699,0.92195,1.76891,-1.52801,-0.01710,0.94375,0.90625,6.01838
10.06283,0.92801,1.62319,-1.53060,-0.01849,0.89375,0.90625,6.10056
10.20866,0.93367,1.47747,-1.53340,-0.01988,0.90625,0.89375,6.18039
10.35450,0.93891,1.33172,-1.53640,-0.02127,0.90625,0.89375,6.25793
10.50034,0.94370,1.18596,-1.53961,-0.02265,0.91875,0.88125,6.33324
10.64618,0.94801,1.04019,-1.54301,-0.02403,0.91875,0.93125,6.40637
10.79202,0.95181,0.89440,-1.54662,-0.02541,0.86875,0.93125,6.47736
10.93785,0.95506,0.74860,-1.55042,-0.02680,0.88125,0.93125,6.54626
11.08369,0.95775,0.60279,-1.55442,-0.02811,0.88125,0.91875,6.61309
11.22953,0.95984,0.45696,-1.55856,-0.02884,0.88125,0.91875,6.67790
11.37537,0.96132,0.31113,-1.56283,-0.02964,0.88125,0.91875,6.74089
11.52121,0.96216,0.16530,-1.56721,-0.03044,0.88125,0.91875,6.80209
11.66705,0.96236,0.01946,-1.57171,-0.03127,0.88125,0.91875,6.86153
11.81288,0.96190,-0.12638,-1.57634,-0.03213,0.88125,0.91875,6.91923
11.95872,0.96075,-0.27221,-1.58109,-0.03300,0.88125,0.91875,6.97520
12.10456,0.95890,-0.41804,-1.58596,-0.03390,0.88125,0.91875,7.02946
12.25040,0.95632,-0.56385,-1.59098,-0.03483,0.88125,0.91875,7.08201
12.39624,0.95301,-0.70965,-1.59613,-0.03579,0.86875,0.93125,7.13287
12.54207,0.94894,-0.85543,-1.60142,-0.03678,0.91875,0.93125,7.18202
12.68791,0.94408,-1.00119,-1.60686,-0.03780,0.91875,0.88125,7.22946
12.83375,0.93842,-1.14692,-1.61245,-0.03885,0.90625,0.89375,7.27518
12.97959,0.93193,-1.29261,-1.61820,-0.03994,0.95625,0.89375,7.31915
13.12543,0.92460,-1.43827,-1.62410,-0.04107,0.94375,0.90625,7.36136
13.27126,0.91639,-1.58387,-1.63018,-0.04223,0.99375,0.91875,7.40176
13.41710,0.90729,-1.72943,-1.63643,-0.04344,0.98125,0.91875,7.44033
13.56294,0.89726,-1.87492,-1.64286,-0.04469,1.01875,0.93125,7.47701
13.70878,0.88629,-2.02034,-1.64947,-0.04599,1.00625,0.94375,7.51174
13.85462,0.87434,-2.16569,-1.65628,-0.04734,1.04375,0.95625,7.54447
14.00046,0.86139,-2.31095,-1.66328,-0.04871,1.03125,0.96875,7.57511
14.14629,0.84740,-2.45612,-1.67049,-0.05024,1.06875,0.99375,7.60360
14.29213,0.83236,-2.60118,-1.67792,-0.05144,1.05625,1.00625,7.62972
14.43797,0.81622,-2.74612,-1.68556,-0.05411,1.09375,0.96875,7.65378
14.58381,0.79895,-2.89093,-1.69302,-0.05064,1.13125,0.99375,7.67399
14.72965,0.78065,-3.03562,-1.69944,-0.03864,1.10625,1.00625,7.69760
14.87548,0.76153,-3.18020,-1.70431,-0.02800,1.09375,1.03125,7.73142
15.02132,0.74183,-3.32470,-1.70757,-0.01673,1.06875,0.99375,7.77099
15.16716,0.72177,-3.46915,-1.70919,-0.00547,1.10625,1.01875,7.81420
15.31300,0.70159,-3.61359,-1.70915,0.00588,1.08125,1.04375,7.85875
15.45884,0.68154,-3.75804,-1.70747,0.01719,1.05625,1.05625,7.90245
15.60467,0.66185,-3.90254,-1.70415,0.02842,1.09375,1.08125,7.94303
15.75051,0.64276,-4.04712,-1.69921,0.03943,1.06875,1.04375,7.97797
15.89635,0.62450,-4.19181,-1.69267,0.05041,1.05625,1.06875,8.00000
16.04219,0.60730,-4.33663,-1.68458,0.06030,1.08125,1.08125,7.91561
16.18803,0.59138,-4.48160,-1.67501,0.07271,1.06875,1.09375,7.86705
16.33386,0.57696,-4.62672,-1.66485,0.07175,1.05625,1.10625,7.81819
16.47970,0.56399,-4.77198,-1.65585,0.05382,1.09375,1.06875,7.79064
16.62554,0.55218,-4.91734,-1.64898,0.03984,1.08125,1.08125,7.80676
16.77138,0.54121,-5.06277,-1.64423,0.02528,1.06875,1.09375,7.83700
16.91722,0.53078,-5.20823,-1.64156,0.01121,1.05625,1.10625,7.72343
17.06306,0.52059,-5.35371,-1.64095,-0.00283,1.04375,1.05625,7.58169
17.20889,0.51033,-5.49919,-1.64239,-0.01686,1.03125,1.06875,7.44109
17.35473,0.49972,-5.64464,-1.64589,-0.03107,1.06875,1.08125,7.30433
17.50057,0.48845,-5.79004,-1.65148,-0.04547,1.05625,1.09375,7.17428
17.64641,0.47621,-5.93537,-1.65921,-0.06055,1.05625,1.05625,7.05485
17.79225,0.46270,-6.08058,-1.66916,-0.07513,1.04375,1.06875,6.95057
