# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.4280,8.3526,1.1587,1.1587
-4.2844,8.3773,1.1963,1.1462
-4.1387,8.3809,1.1963,1.0837
-3.9933,8.3700,1.1963,1.0462
-3.8488,8.3504,1.0837,1.0212
-3.7049,8.3270,0.9587,1.0588
-3.5609,8.3039,0.8838,1.0212
-3.4164,8.2844,0.8088,1.0337
-3.2715,8.2680,0.8338,1.0088
-3.1264,8.2531,0.8213,0.9712
-2.9813,8.2379,0.8088,0.9337
-2.8365,8.2205,0.7963,0.9087
-2.6923,8.1990,0.8338,0.8962
-2.5491,8.1716,0.8088,0.9212
-2.4072,8.1378,0.8338,0.8588
-2.2670,8.0979,0.8588,0.8588
-2.1285,8.0521,0.8213,0.8712
-1.9921,8.0006,0.8338,0.8712
-1.8577,7.9439,0.8463,0.8588
-1.7256,7.8822,0.8463,0.8838
-1.5956,7.8161,0.8463,0.9212
-1.4678,7.7458,0.8838,0.9087
-1.3421,7.6718,0.8838,0.8962
-1.2185,7.5945,0.8838,0.8838
-1.0967,7.5143,0.9087,0.8712
-0.9767,7.4314,0.8962,0.8712
-0.8584,7.3462,0.9212,0.8588
-0.7418,7.2586,0.8962,0.8838
-0.6272,7.1684,0.9212,0.9087
-0.5150,7.0752,0.9463,0.9337
-0.4056,6.9788,0.9837,0.9087
-0.2995,6.8787,0.9712,0.9463
-0.1973,6.7747,0.9962,0.9962
-0.0998,6.6663,1.0088,0.9962
-0.0077,6.5532,1.0212,1.0462
0.0783,6.4355,0.9837,1.0837
0.1585,6.3136,0.9587,1.0088
0.2330,6.1883,0.9587,1.0088
0.3023,6.0600,0.9587,1.0212
0.3670,5.9293,0.9837,0.9837
0.4277,5.7967,0.9712,0.9587
0.4850,5.6626,0.9463,0.9463
0.5386,5.5270,0.9962,0.9212
0.5879,5.3897,0.9837,0.9087
0.6324,5.2508,0.9587,0.9087
0.6714,5.1103,0.9337,0.8588
0.7042,4.9682,0.9463,0.8588
0.7304,4.8248,0.9337,0.8213
0.7507,4.6804,0.8962,0.7963
0.7661,4.5354,0.9087,0.7838
0.7781,4.3900,0.8712,0.7713
0.7877,4.2445,0.8213,0.8088
0.7961,4.0989,0.8338,0.7963
0.8044,3.9533,0.7963,0.7963
0.8127,3.8077,0.7463,0.8338
0.8211,3.6621,0.7588,0.8213
0.8295,3.5165,0.7213,0.8213
0.8379,3.3709,0.7213,0.8088
0.8463,3.2253,0.7338,0.7963
0.8547,3.0797,0.7463,0.7963
0.8629,2.9341,0.7463,0.7838
0.8711,2.7885,0.7588,0.7713
0.8790,2.6429,0.7713,0.7713
0.8868,2.4972,0.7713,0.7588
0.8944,2.3516,0.7838,0.7463
0.9017,2.2060,0.7838,0.7963
0.9088,2.0603,0.7963,0.7838
0.9155,1.9146,0.7963,0.7838
0.9220,1.7689,0.8088,0.7713
0.9280,1.6232,0.7588,0.7713
0.9337,1.4775,0.7713,0.7588
0.9389,1.3317,0.7713,0.7588
0.9437,1.1860,0.7838,0.7463
0.9480,1.0402,0.7838,0.7963
0.9518,0.8944,0.7338,0.7963
0.9551,0.7486,0.7463,0.7963
0.9577,0.6028,0.7463,0.7838
0.9598,0.4570,0.7463,0.7838
0.9613,0.3111,0.7463,0.7838
0.9622,0.1653,0.7463,0.7838
0.9624,0.0195,0.7463,0.7838
0.9619,-0.1264,0.7463,0.7838
0.9607,-0.2722,0.7463,0.7838
0.9589,-0.4180,0.7463,0.7838
0.9563,-0.5639,0.7463,0.7838
0.9530,-0.7097,0.7338,0.7963
0.9489,-0.8554,0.7838,0.7963
0.9441,-1.0012,0.7838,0.7463
0.9384,-1.1469,0.7713,0.7588
0.9319,-1.2926,0.8213,0.7588
0.9246,-1.4383,0.8088,0.7713
0.9164,-1.5839,0.8588,0.7838
0.9073,-1.7294,0.8463,0.7838
0.8973,-1.8749,0.8838,0.7963
0.8863,-2.0203,0.8712,0.8088
0.8743,-2.1657,0.9087,0.8213
0.8614,-2.3110,0.8962,0.8338
0.8474,-2.4561,0.9337,0.8588
0.8324,-2.6012,0.9212,0.8712
0.8162,-2.7461,0.9587,0.8338
0.7990,-2.8909,0.9962,0.8588
