# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17106,7.76374,0.49133,-0.12030,0.58125,1.81980,2.52388
0.09998,-4.08230,7.80973,0.45217,-0.63328,0.56875,1.75845,2.51324
0.19996,-3.99127,7.85106,0.40173,-0.45594,0.59375,1.69995,2.50255
0.29993,-3.89833,7.88788,0.35359,-0.48947,0.61520,1.64970,2.62863
0.39991,-3.80376,7.92028,0.30860,-0.41876,0.59375,1.60756,2.71751
0.49989,-3.70788,7.94859,0.26709,-0.40476,0.61875,1.55814,2.82069
0.59986,-3.61095,7.97303,0.22715,-0.37575,0.64823,1.51037,2.87456
0.69984,-3.51312,7.99361,0.18413,-0.47283,0.66886,1.46631,2.79527
0.79982,-3.41444,8.00963,0.13677,-0.51628,0.68936,1.42834,2.78348
0.89980,-3.31510,8.02086,0.09312,-0.36476,0.71874,1.38628,2.77164
0.99977,-3.21541,8.02822,0.05531,-0.36250,0.73125,1.34864,2.88621
1.09975,-3.11550,8.03191,0.01793,-0.38639,0.73125,1.31228,2.98583
1.19973,-3.01553,8.03180,-0.02016,-0.37745,0.73125,1.28385,3.05739
1.29970,-2.91564,8.02788,-0.05844,-0.39116,0.73125,1.26648,3.12079
1.39968,-2.81596,8.02013,-0.09600,-0.36534,0.71875,1.23125,3.15617
1.49966,-2.71665,8.00872,-0.13177,-0.34848,0.75509,1.23631,3.20808
1.59964,-2.61779,7.99386,-0.16601,-0.33343,0.75625,1.21875,3.26299
1.69961,-2.51948,7.97569,-0.19950,-0.33530,0.78383,1.19375,3.31925
1.79959,-2.42183,7.95424,-0.23261,-0.32873,0.78125,1.18125,3.36263
1.89957,-2.32494,7.92960,-0.26501,-0.32019,0.80147,1.16875,3.40303
1.99955,-2.22889,7.90188,-0.29647,-0.30967,0.78125,1.14375,3.44344
2.09952,-2.13374,7.87119,-0.32692,-0.29864,0.80851,1.14375,3.48614
2.19950,-2.03956,7.83768,-0.35653,-0.29306,0.78125,1.17469,3.53133
2.29948,-1.94639,7.80142,-0.38548,-0.28627,0.80573,1.17725,3.57364
2.39946,-1.85430,7.76250,-0.41376,-0.27929,0.78125,1.18540,3.61498
2.49943,-1.76333,7.72103,-0.44139,-0.27351,0.81902,1.19375,3.65599
2.59941,-1.67353,7.67709,-0.46840,-0.26690,0.81875,1.20625,3.69574
2.69939,-1.58494,7.63077,-0.49475,-0.26029,0.83125,1.19375,3.73552
2.79936,-1.49757,7.58216,-0.52049,-0.25422,0.84375,1.16875,3.77551
2.89934,-1.41148,7.53135,-0.54573,-0.25025,0.85625,1.18483,3.81533
2.99932,-1.32668,7.47839,-0.57058,-0.24670,0.86875,1.15625,3.85307
3.09929,-1.24322,7.42336,-0.59517,-0.24416,0.86875,1.18031,3.88870
3.19927,-1.16113,7.36630,-0.61976,-0.24618,0.88125,1.18199,3.92150
3.29925,-1.08047,7.30723,-0.64479,-0.25390,0.88125,1.18125,3.94303
3.39923,-1.00133,7.24613,-0.67034,-0.25946,0.88965,1.18125,3.92640
3.49921,-0.92380,7.18302,-0.69586,-0.25399,0.87917,1.19100,3.90970
3.59919,-0.84788,7.11796,-0.72063,-0.24220,0.86875,1.20016,3.92384
3.69916,-0.77357,7.05109,-0.74439,-0.23248,0.88125,1.21875,3.95317
3.79914,-0.70083,6.98250,-0.76723,-0.22439,0.88125,1.24003,3.98913
3.89912,-0.62964,6.91230,-0.78916,-0.21490,0.86875,1.25110,4.02848
3.99910,-0.55998,6.84059,-0.81009,-0.20398,0.88834,1.24375,4.07192
4.09907,-0.49180,6.76747,-0.82992,-0.19288,0.89991,1.27825,4.11990
4.19905,-0.42503,6.69306,-0.84852,-0.18074,0.89375,1.29358,4.17180
4.29903,-0.35961,6.61745,-0.86551,-0.16159,0.88125,1.31808,4.22774
4.39900,-0.29542,6.54081,-0.88030,-0.13435,0.88125,1.33894,4.29112
4.49897,-0.23227,6.46332,-0.89307,-0.11533,0.89375,1.36222,4.36382
4.59894,-0.17005,6.38507,-0.90530,-0.12209,0.89375,1.38950,4.44036
4.69892,-0.10882,6.30604,-0.91892,-0.14726,0.89375,1.40632,4.42976
4.79890,-0.04875,6.22611,-0.93477,-0.17161,0.88125,1.38944,4.34464
