# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17107,7.76390,0.49108,-0.11894,0.58125,1.81964,3.34564
0.09989,-4.08238,7.80984,0.45213,-0.63068,0.56875,1.75837,3.33154
0.19979,-3.99144,7.85114,0.40182,-0.45632,0.59375,1.69991,3.31738
0.29968,-3.89858,7.88794,0.35367,-0.49061,0.61528,1.64967,3.40698
0.39957,-3.80409,7.92031,0.30856,-0.42045,0.59375,1.60761,3.47707
0.49946,-3.70829,7.94859,0.26686,-0.40813,0.61875,1.55823,3.56008
0.59935,-3.61144,7.97298,0.22676,-0.37697,0.64819,1.51056,3.63864
0.69924,-3.51368,7.99349,0.18370,-0.47269,0.66876,1.46655,3.69623
0.79914,-3.41508,8.00946,0.13637,-0.51671,0.68911,1.42869,3.68065
0.89903,-3.31582,8.02065,0.09283,-0.36261,0.71835,1.38673,3.66501
0.99891,-3.21621,8.02797,0.05514,-0.36224,0.73125,1.34910,3.74643
1.09881,-3.11639,8.03165,0.01779,-0.38723,0.73125,1.31281,3.82143
1.19870,-3.01650,8.03153,-0.02029,-0.37734,0.73125,1.28436,3.88178
1.29859,-2.91670,8.02760,-0.05845,-0.38974,0.73125,1.26695,3.93993
1.39849,-2.81711,8.01986,-0.09574,-0.36189,0.71875,1.23125,3.98671
1.49838,-2.71787,8.00851,-0.13119,-0.34544,0.75459,1.23674,4.04084
1.59827,-2.61908,7.99373,-0.16524,-0.33285,0.75625,1.21875,4.09651
1.69816,-2.52085,7.97565,-0.19872,-0.33673,0.78341,1.19375,4.15224
1.79805,-2.42327,7.95430,-0.23184,-0.32900,0.78125,1.18125,4.20154
1.89794,-2.32644,7.92976,-0.26414,-0.31831,0.80111,1.16875,4.24981
1.99784,-2.23044,7.90215,-0.29538,-0.30715,0.78125,1.14375,4.29855
2.09773,-2.13534,7.87161,-0.32558,-0.29653,0.80828,1.14375,4.34805
2.19762,-2.04119,7.83825,-0.35497,-0.29118,0.78125,1.17470,4.39812
2.29751,-1.94804,7.80218,-0.38375,-0.28521,0.80571,1.17701,4.44663
2.39740,-1.85596,7.76347,-0.41196,-0.27954,0.78125,1.18125,4.49406
2.49729,-1.76499,7.72219,-0.43962,-0.27431,0.81914,1.19375,4.54046
2.59718,-1.67519,7.67845,-0.46673,-0.26845,0.81875,1.19375,4.58581
2.69708,-1.58660,7.63231,-0.49330,-0.26345,0.83125,1.19375,4.63054
2.79697,-1.49925,7.58385,-0.51939,-0.25859,0.84375,1.16875,4.67440
2.89686,-1.41318,7.53316,-0.54506,-0.25504,0.85625,1.18442,4.71745
