# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17107,7.76389,0.49112,-0.11921,0.58125,1.81965,3.34369
0.09996,-4.08231,7.80987,0.45212,-0.63083,0.56875,1.75832,3.33113
0.19993,-3.99131,7.85120,0.40178,-0.45630,0.59375,1.69983,3.31853
0.29989,-3.89838,7.88802,0.35359,-0.49067,0.61534,1.64957,3.42995
0.39986,-3.80381,7.92040,0.30845,-0.42041,0.59375,1.60745,3.51487
0.49982,-3.70795,7.94869,0.26671,-0.40807,0.61875,1.55806,3.61458
0.59978,-3.61101,7.97308,0.22657,-0.37717,0.64828,1.51034,3.70726
0.69975,-3.51318,7.99359,0.18345,-0.47334,0.66884,1.46635,3.69661
0.79972,-3.41450,8.00954,0.13609,-0.51613,0.68926,1.42845,3.68273
0.89968,-3.31517,8.02070,0.09256,-0.36203,0.71857,1.38645,3.66880
0.99964,-3.21549,8.02801,0.05486,-0.36251,0.73125,1.34887,3.77088
1.09960,-3.11559,8.03166,0.01748,-0.38719,0.73125,1.31255,3.86313
1.19957,-3.01564,8.03151,-0.02063,-0.37741,0.73125,1.28417,3.93550
1.29953,-2.91576,8.02754,-0.05881,-0.38958,0.73125,1.26684,4.00389
1.39950,-2.81610,8.01976,-0.09612,-0.36160,0.71875,1.23125,4.05609
1.49946,-2.71679,8.00836,-0.13157,-0.34522,0.75470,1.23669,4.11822
1.59943,-2.61794,7.99353,-0.16562,-0.33280,0.75625,1.21875,4.18201
1.69939,-2.51964,7.97540,-0.19912,-0.33671,0.78351,1.19375,4.24541
1.79936,-2.42200,7.95399,-0.23227,-0.32886,0.76875,1.18125,4.29944
1.89932,-2.32511,7.92939,-0.26457,-0.31816,0.80121,1.16875,4.35205
1.99928,-2.22906,7.90172,-0.29582,-0.30697,0.78125,1.14375,4.40541
2.09925,-2.13390,7.87112,-0.32602,-0.29641,0.80838,1.14375,4.45992
2.19921,-2.03969,7.83770,-0.35542,-0.29109,0.78125,1.17472,4.51523
2.29918,-1.94649,7.80155,-0.38422,-0.28511,0.80581,1.17715,4.56831
2.39914,-1.85436,7.76277,-0.41244,-0.27945,0.78125,1.18125,4.61993
2.49910,-1.76335,7.72142,-0.44011,-0.27420,0.81934,1.19375,4.67017
2.59907,-1.67351,7.67760,-0.46723,-0.26835,0.81875,1.20625,4.71902
2.69903,-1.58488,7.63138,-0.49381,-0.26334,0.83125,1.19375,4.76715
2.79900,-1.49749,7.58285,-0.51990,-0.25850,0.85588,1.16875,4.81418
2.89896,-1.41138,7.53207,-0.54559,-0.25498,0.85625,1.18420,4.86021
2.99893,-1.32660,7.47911,-0.57098,-0.25267,0.86875,1.15625,4.90454
3.09889,-1.24319,7.42403,-0.59624,-0.25181,0.88125,1.17975,4.94651
3.19885,-1.16119,7.36686,-0.62161,-0.25445,0.88125,1.18125,4.98523
3.29882,-1.08067,7.30761,-0.64744,-0.26197,0.88125,1.18125,5.01789
3.39878,-1.00174,7.24628,-0.67375,-0.26667,0.88959,1.16875,5.03891
3.49875,-0.92445,7.18289,-0.69997,-0.26059,0.87868,1.19150,5.05008
3.59872,-0.84883,7.11751,-0.72544,-0.24956,0.85625,1.20106,5.06827
3.69868,-0.77488,7.05025,-0.74997,-0.24077,0.86875,1.22120,5.09658
3.79864,-0.70256,6.98124,-0.77359,-0.23208,0.88125,1.24211,5.13008
3.89861,-0.63186,6.91057,-0.79625,-0.22174,0.86875,1.25380,5.16769
3.99857,-0.56274,6.83836,-0.81786,-0.21080,0.88479,1.25625,5.20990
4.09854,-0.49516,6.76470,-0.83834,-0.19928,0.89558,1.28255,5.25634
