# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17437,7.76968,0.49840,-0.14983,0.59100,1.81421,3.28343
0.09995,-4.08589,7.81616,0.45688,-0.65420,0.58125,1.75298,3.27110
0.19990,-3.99505,7.85782,0.40522,-0.45694,0.60183,1.69396,3.25873
0.29985,-3.90226,7.89493,0.35636,-0.49896,0.62257,1.64320,3.37691
0.39980,-3.80779,7.92753,0.31019,-0.43392,0.60625,1.60145,3.46642
0.49974,-3.71196,7.95592,0.26726,-0.42198,0.63125,1.55179,3.56729
0.59969,-3.61505,7.98030,0.22634,-0.37739,0.65561,1.50452,3.66044
0.69964,-3.51722,8.00077,0.18253,-0.48273,0.67614,1.46023,3.62232
0.79959,-3.41853,8.01658,0.13382,-0.53751,0.69579,1.42292,3.60873
0.89954,-3.31918,8.02743,0.08899,-0.37132,0.72410,1.38150,3.59508
0.99949,-3.21949,8.03434,0.05110,-0.35612,0.73125,1.34389,3.70136
1.09943,-3.11960,8.03764,0.01456,-0.37485,0.74375,1.30818,3.80219
1.19938,-3.01966,8.03725,-0.02223,-0.36124,0.73125,1.27962,3.88674
1.29933,-2.91979,8.03320,-0.05934,-0.38175,0.73125,1.26199,3.96785
1.39928,-2.82015,8.02540,-0.09639,-0.36608,0.73125,1.23125,4.02986
1.49923,-2.72087,8.01396,-0.13206,-0.34808,0.75920,1.23192,4.09272
1.59918,-2.62204,7.99908,-0.16620,-0.33078,0.75625,1.21875,4.15784
1.69913,-2.52376,7.98090,-0.19976,-0.33887,0.78761,1.19375,4.22478
1.79908,-2.42615,7.95942,-0.23316,-0.33343,0.78125,1.16875,4.27993
1.89903,-2.32931,7.93472,-0.26571,-0.31856,0.80484,1.17360,4.33191
1.99897,-2.23330,7.90694,-0.29711,-0.30869,0.79375,1.14375,4.38723
2.09892,-2.13820,7.87621,-0.32757,-0.30035,0.81144,1.14375,4.44259
2.19887,-2.04406,7.84263,-0.35732,-0.29464,0.79375,1.17120,4.49728
2.29882,-1.95096,7.80630,-0.38646,-0.28858,0.80819,1.17397,4.54995
2.39877,-1.85893,7.76730,-0.41498,-0.28204,0.78125,1.18125,4.60118
2.49872,-1.76805,7.72572,-0.44288,-0.27626,0.81875,1.19375,4.65155
2.59867,-1.67835,7.68164,-0.47016,-0.26974,0.81875,1.19375,4.70082
2.69862,-1.58986,7.63517,-0.49685,-0.26413,0.83125,1.19375,4.74971
2.79856,-1.50264,7.58637,-0.52299,-0.25866,0.84375,1.16875,4.79779
2.89851,-1.41670,7.53534,-0.54865,-0.25450,0.85625,1.18483,4.84517
2.99846,-1.33210,7.48213,-0.57396,-0.25159,0.86875,1.15625,4.89115
3.09841,-1.24886,7.42681,-0.59908,-0.25017,0.88125,1.18088,4.93509
3.19836,-1.16703,7.36942,-0.62429,-0.25257,0.88125,1.18242,4.97611
3.29831,-1.08668,7.30998,-0.64997,-0.26077,0.88125,1.18125,5.01133
3.39826,-1.00791,7.24846,-0.67621,-0.26673,0.88842,1.18125,5.03462
