# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.41373,7.54061,0.48922,-0.35576,0.55560,1.91737,5.82461
0.10438,-4.32067,7.58789,0.44893,-0.40734,0.52232,1.96951,5.86443
0.21142,-4.22331,7.63235,0.40741,-0.38141,0.49334,1.95602,5.83463
0.32056,-4.12225,7.67352,0.36636,-0.37004,0.45625,1.90014,5.85719
0.43056,-4.01877,7.71083,0.32580,-0.37648,0.46875,1.84284,5.87691
0.54122,-3.91326,7.74413,0.28724,-0.31589,0.46875,1.79420,5.87467
0.65638,-3.80225,7.77479,0.25184,-0.28721,0.47648,1.74831,5.91241
0.77685,-3.68510,7.80283,0.21660,-0.29313,0.46875,1.69459,5.95655
0.90146,-3.56295,7.82745,0.17972,-0.30948,0.48125,1.63938,5.98689
1.02774,-3.43830,7.84767,0.14248,-0.28583,0.52574,1.59036,5.99358
1.15491,-3.31213,7.86343,0.10621,-0.28169,0.56864,1.53441,6.01406
1.28250,-3.18504,7.87467,0.07025,-0.28263,0.58125,1.48360,6.03171
1.41013,-3.05759,7.88134,0.03436,-0.28003,0.58125,1.44006,6.04436
1.53756,-2.93018,7.88343,-0.00149,-0.28273,0.58125,1.41038,6.05495
1.66460,-2.80318,7.88096,-0.03732,-0.28239,0.61288,1.37892,6.05893
1.79107,-2.67690,7.87398,-0.07300,-0.28165,0.63125,1.35592,6.05760
1.91692,-2.55158,7.86256,-0.10856,-0.28394,0.66625,1.32630,6.04919
2.04209,-2.42741,7.84679,-0.14298,-0.28120,0.69237,1.29292,6.02902
2.16653,-2.30456,7.82700,-0.17247,-0.19237,0.68125,1.26607,6.00477
2.29056,-2.18266,7.80415,-0.19689,-0.18680,0.71875,1.24997,6.04537
2.41419,-2.06171,7.77856,-0.21989,-0.18524,0.74123,1.23765,6.07870
2.53689,-1.94228,7.75042,-0.24258,-0.18503,0.76198,1.22484,6.10490
2.65822,-1.82484,7.71995,-0.26498,-0.18463,0.78738,1.21591,6.12637
2.77795,-1.70966,7.68730,-0.28704,-0.18373,0.82110,1.20625,6.14647
2.89591,-1.59689,7.65266,-0.30885,-0.18611,0.85457,1.18637,6.16877
3.01190,-1.48679,7.61619,-0.33047,-0.18690,0.88845,1.15378,6.19450
3.12579,-1.37948,7.57807,-0.35195,-0.19008,0.92824,1.12827,6.22692
3.23740,-1.27513,7.53846,-0.37337,-0.19388,0.95269,1.10166,6.26454
3.34663,-1.17386,7.49752,-0.39475,-0.19803,0.98614,1.07955,6.30895
3.45340,-1.07576,7.45540,-0.41601,-0.20075,1.00678,1.06177,6.35987
3.55801,-0.98053,7.41211,-0.43702,-0.19957,1.03008,1.03125,6.35272
3.66085,-0.88782,7.36761,-0.45791,-0.20571,1.05224,1.02647,6.32277
3.76188,-0.79767,7.32199,-0.47900,-0.21161,1.06603,1.00401,6.30430
3.86104,-0.71017,7.27535,-0.50042,-0.22080,1.08652,0.99363,6.29651
3.95830,-0.62535,7.22775,-0.52214,-0.22632,1.11210,0.99511,6.29387
4.05365,-0.54324,7.17929,-0.54408,-0.23412,1.13565,0.98808,6.29663
4.14707,-0.46385,7.13005,-0.56619,-0.23951,1.15711,0.96875,6.30236
4.23858,-0.38718,7.08010,-0.58838,-0.24577,1.17645,0.97780,6.30785
4.32818,-0.31321,7.02954,-0.61058,-0.25008,1.19898,0.94375,6.31298
4.41588,-0.24192,6.97845,-0.63280,-0.25648,1.22516,0.95585,6.31593
4.50176,-0.17325,6.92689,-0.65499,-0.26088,1.25433,0.95709,6.31751
4.58583,-0.10716,6.87494,-0.67703,-0.26369,1.26418,0.93125,6.31498
4.66816,-0.04357,6.82266,-0.69890,-0.26656,1.27426,0.95625,6.30792
4.74878,0.01758,6.77011,-0.72103,-0.27635,1.28745,0.96782,6.29655
4.82828,0.07670,6.71696,-0.74419,-0.30531,1.30347,0.96875,6.30969
4.90771,0.13448,6.66246,-0.76805,-0.29850,1.30625,0.95625,6.32533
4.98721,0.19100,6.60656,-0.79221,-0.30628,1.29375,0.98125,6.32036
5.06693,0.24629,6.54912,-0.81700,-0.31515,1.32165,0.98338,6.31641
5.14702,0.30036,6.49005,-0.84252,-0.32194,1.32555,0.95895,6.31292
5.22760,0.35322,6.42922,-0.86874,-0.32942,1.33227,0.93924,6.31720
5.30886,0.40487,6.36650,-0.89546,-0.32782,1.34178,0.92219,6.32280
5.39093,0.45531,6.30177,-0.92263,-0.33422,1.35410,0.90478,6.32546
5.47398,0.50454,6.23488,-0.95021,-0.32933,1.36907,0.88371,6.32308
5.55818,0.55255,6.16572,-0.97796,-0.33533,1.38034,0.85998,6.33792
5.64349,0.59924,6.09432,-1.00483,-0.29888,1.39375,0.84623,6.32617
5.72907,0.64419,6.02149,-1.03062,-0.29992,1.41165,0.83125,6.36167
5.81485,0.68736,5.94737,-1.05588,-0.28959,1.41875,0.81631,6.38875
5.90087,0.72878,5.87198,-1.08066,-0.28593,1.41875,0.79375,6.41657
5.98720,0.76848,5.79532,-1.10504,-0.27908,1.43196,0.78783,6.43942
6.07389,0.80647,5.71741,-1.12899,-0.27368,1.43838,0.76493,6.46153
6.16097,0.84277,5.63826,-1.15243,-0.26457,1.43125,0.75054,6.47996
6.24849,0.87740,5.55788,-1.17542,-0.25929,1.44375,0.74654,6.49905
6.33660,0.91041,5.47619,-1.19825,-0.25754,1.43125,0.71875,6.51434
6.42590,0.94197,5.39265,-1.22069,-0.24964,1.43125,0.71324,6.52499
