# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.38684,7.39155,0.54107,-0.05426,0.39375,2.02671,3.73214
0.09003,-4.30920,7.43712,0.50703,-0.67210,0.39375,2.06227,3.75924
0.17958,-4.22991,7.47872,0.46126,-0.44220,0.36875,2.10464,3.77631
0.26864,-4.14932,7.51659,0.41771,-0.50959,0.34375,2.05915,3.90725
0.35718,-4.06763,7.55075,0.37629,-0.43811,0.31875,2.00911,3.99837
0.44523,-3.98512,7.58147,0.33783,-0.43129,0.33698,1.96507,4.09386
0.53276,-3.90201,7.60893,0.30102,-0.38554,0.31875,1.92722,4.01940
0.61965,-3.81858,7.63317,0.26035,-0.52748,0.34375,1.88991,3.91533
0.70582,-3.73485,7.65346,0.21298,-0.63068,0.30625,1.85197,3.88955
0.79162,-3.65056,7.66951,0.16909,-0.41067,0.31875,1.81364,3.85773
0.87725,-3.56590,7.68230,0.13279,-0.39580,0.33125,1.78173,3.93928
0.96276,-3.48097,7.69216,0.09782,-0.42256,0.36743,1.75160,4.00977
1.04816,-3.39584,7.69899,0.06247,-0.40470,0.38692,1.71678,4.06247
1.13351,-3.31059,7.70282,0.02665,-0.43511,0.40625,1.68767,4.10924
1.21878,-3.22532,7.70354,-0.00919,-0.41514,0.40625,1.65853,4.13567
1.30402,-3.14012,7.70125,-0.04338,-0.38735,0.40625,1.63549,4.16213
1.38926,-3.05503,7.69615,-0.07576,-0.36577,0.39375,1.61938,4.19182
1.47453,-2.97013,7.68835,-0.10752,-0.37730,0.39375,1.60843,4.22506
1.55982,-2.88548,7.67785,-0.13904,-0.36689,0.38125,1.58125,4.24712
1.64516,-2.80116,7.66470,-0.16951,-0.34768,0.40084,1.59005,4.26994
1.73057,-2.71720,7.64904,-0.19867,-0.33386,0.40625,1.58125,4.29771
1.81606,-2.63366,7.63098,-0.22679,-0.32297,0.39375,1.55625,4.32799
1.90164,-2.55054,7.61059,-0.25408,-0.31475,0.41875,1.54375,4.35976
1.98730,-2.46793,7.58794,-0.28067,-0.30479,0.40625,1.54706,4.39312
2.07309,-2.38581,7.56310,-0.30667,-0.30385,0.43125,1.54209,4.43312
2.15899,-2.30427,7.53612,-0.33229,-0.28017,0.40625,1.54375,4.47101
2.24502,-2.22331,7.50702,-0.35982,-0.35401,0.43125,1.54375,4.44037
2.33113,-2.14318,7.47551,-0.39013,-0.36602,0.40625,1.54375,4.41715
2.41733,-2.06397,7.44150,-0.42065,-0.34334,0.43125,1.54375,4.39789
2.50369,-1.98568,7.40506,-0.45055,-0.34725,0.41875,1.54375,4.42768
2.59024,-1.90834,7.36621,-0.48002,-0.33420,0.44565,1.57833,4.45338
2.67705,-1.83194,7.32501,-0.50910,-0.33396,0.43125,1.56875,4.49490
2.76416,-1.75650,7.28146,-0.53822,-0.33218,0.44375,1.58243,4.53753
2.85162,-1.68207,7.23554,-0.56787,-0.34579,0.45625,1.55625,4.57603
2.93948,-1.60872,7.18718,-0.59802,-0.34346,0.46875,1.57904,4.59138
3.02779,-1.53650,7.13637,-0.62805,-0.33866,0.47514,1.55625,4.61664
3.11662,-1.46540,7.08311,-0.65761,-0.32268,0.48125,1.58623,4.64907
3.20598,-1.39549,7.02747,-0.68735,-0.34397,0.47354,1.58125,4.68218
3.29572,-1.32699,6.96949,-0.71708,-0.32433,0.44375,1.60404,4.68786
3.38592,-1.25988,6.90923,-0.74574,-0.31039,0.45625,1.61619,4.73467
3.47673,-1.19404,6.84669,-0.77312,-0.29302,0.44848,1.62239,4.78775
3.56823,-1.12941,6.78193,-0.79918,-0.27678,0.40625,1.63614,4.84728
3.66055,-1.06588,6.71494,-0.82376,-0.25743,0.41875,1.65731,4.91082
3.75383,-1.00331,6.64576,-0.84636,-0.22921,0.41875,1.68568,4.97901
3.84818,-0.94155,6.57445,-0.86652,-0.19802,0.41875,1.70858,5.05755
3.94374,-0.88036,6.50105,-0.88445,-0.17163,0.42902,1.73164,5.14562
4.04064,-0.81959,6.42557,-0.90167,-0.17562,0.44299,1.75162,5.24329
4.13902,-0.75923,6.34788,-0.92012,-0.19681,0.40625,1.77143,5.34245
4.23900,-0.69944,6.26775,-0.94053,-0.21280,0.39375,1.79873,5.43834
4.34070,-0.64038,6.18496,-0.96254,-0.22262,0.40625,1.83334,5.53477
4.44426,-0.58215,6.09932,-0.98546,-0.22054,0.40625,1.86300,5.63526
4.54983,-0.52484,6.01066,-1.00903,-0.22435,0.39317,1.90085,5.75450
4.65754,-0.46856,5.91883,-1.03332,-0.22998,0.35625,1.90277,5.88683
4.76752,-0.41341,5.82368,-1.05744,-0.21336,0.35625,1.88125,6.00873
4.87884,-0.35989,5.72608,-1.08055,-0.20338,0.35625,1.85625,6.14957
4.99088,-0.30825,5.62665,-1.10214,-0.18526,0.39018,1.83125,6.29803
5.10362,-0.25837,5.52555,-1.12092,-0.15732,0.39185,1.84673,6.45175
5.21666,-0.21007,5.42334,-1.13461,-0.08681,0.38925,1.82194,6.60739
5.32888,-0.16320,5.32138,-1.14330,-0.05374,0.39375,1.80518,6.76866
5.43993,-0.11750,5.22017,-1.15023,-0.06823,0.38125,1.77925,6.91375
5.55093,-0.07254,5.11868,-1.15666,-0.04906,0.38125,1.74645,7.04199
5.66243,-0.02797,5.01648,-1.16218,-0.05282,0.36875,1.72073,7.15689
5.77512,0.01654,4.91295,-1.16602,-0.01518,0.40748,1.68850,7.25902
5.88916,0.06132,4.80807,-1.16855,-0.02131,0.41472,1.64377,7.35353
6.00449,0.10634,4.70189,-1.17152,-0.03193,0.40625,1.59883,7.44239
6.12042,0.15122,4.59500,-1.17490,-0.02794,0.44667,1.55391,7.52614
6.23618,0.19568,4.48813,-1.17850,-0.03048,0.44375,1.50938,7.61029
6.35117,0.23944,4.38178,-1.18318,-0.04995,0.48114,1.46852,7.69452
6.46559,0.28240,4.27573,-1.18929,-0.05808,0.48125,1.43649,7.78203
6.57937,0.32440,4.16999,-1.19673,-0.07169,0.48125,1.41389,7.87485
6.69242,0.36528,4.06459,-1.20575,-0.08631,0.51808,1.38976,7.97200
6.80466,0.40483,3.95955,-1.21677,-0.11019,0.50625,1.35026,8.07392
6.91602,0.44279,3.85486,-1.22973,-0.12590,0.54369,1.31769,8.15229
7.02641,0.47900,3.75057,-1.24374,-0.13127,0.57049,1.29559,8.21933
7.13579,0.51339,3.64675,-1.25786,-0.12789,0.55625,1.28125,8.27770
7.24409,0.54601,3.54347,-1.27181,-0.12798,0.59130,1.25912,8.33187
7.35126,0.57686,3.44084,-1.28597,-0.13523,0.61875,1.22824,8.37745
7.45726,0.60591,3.33890,-1.30018,-0.14257,0.64375,1.19917,8.40480
7.56194,0.63318,3.23784,-1.31246,-0.09298,0.67830,1.17189,8.41250
7.66484,0.65894,3.13822,-1.32243,-0.09364,0.70406,1.14614,8.45132
7.76639,0.68344,3.03967,-1.33151,-0.08351,0.71875,1.12166,8.48104
7.86703,0.70686,2.94179,-1.34042,-0.09156,0.74375,1.09827,8.50775
7.96732,0.72931,2.84405,-1.34935,-0.09144,0.76875,1.07585,8.52361
8.06751,0.75089,2.74621,-1.35705,-0.06856,0.79375,1.05432,8.53441
8.16721,0.77172,2.64871,-1.36172,-0.03133,0.80625,1.03125,8.55037
8.26597,0.79208,2.55207,-1.36253,0.03022,0.83125,1.00625,8.57245
8.36352,0.81230,2.45664,-1.36271,-0.02214,0.85625,0.99286,8.59211
8.46043,0.83226,2.36180,-1.36501,-0.03319,0.86875,0.96875,8.61253
8.55712,0.85187,2.26712,-1.36838,-0.03740,0.89375,0.94375,8.63163
8.65359,0.87109,2.17258,-1.37237,-0.04432,0.90625,0.93125,8.65211
8.74985,0.88986,2.07817,-1.37739,-0.05397,0.93125,0.95625,8.67233
8.84591,0.90805,1.98385,-1.38453,-0.09714,0.94375,0.94375,8.69328
8.94181,0.92541,1.88954,-1.39334,-0.09211,0.95625,0.91875,8.69724
9.03758,0.94189,1.79519,-1.40271,-0.10182,0.96241,0.90625,8.70698
9.13322,0.95743,1.70083,-1.41267,-0.10795,0.94375,0.88125,8.71071
9.22876,0.97199,1.60641,-1.42310,-0.10849,0.95625,0.86875,8.66938
9.32421,0.98553,1.51193,-1.43399,-0.12657,0.96875,0.85625,8.62964
9.41958,0.99801,1.41737,-1.44321,-0.08584,0.98125,0.84375,8.58880
9.51463,1.00976,1.32305,-1.44736,0.00993,0.98125,0.83125,8.60304
9.60893,1.02133,1.22946,-1.44844,-0.01634,0.99375,0.81875,8.63419
9.70267,1.03271,1.13642,-1.44987,-0.01839,0.99095,0.80625,8.65997
9.79630,1.04393,1.04346,-1.45163,-0.01985,0.96875,0.82167,8.68287
9.88988,1.05497,0.95054,-1.45339,-0.01720,0.98125,0.83092,8.70296
9.98340,1.06585,0.85765,-1.45525,-0.02230,0.99375,0.81875,8.72066
10.07690,1.07653,0.76476,-1.45735,-0.02218,1.00625,0.80625,8.73621
10.17042,1.08702,0.67184,-1.45972,-0.02876,1.01875,0.79375,8.75018
10.26394,1.09726,0.57888,-1.46233,-0.02733,1.01875,0.78125,8.76366
10.35752,1.10727,0.48583,-1.46513,-0.03206,1.03125,0.78125,8.77681
10.45117,1.11701,0.39269,-1.46818,-0.03355,1.04375,0.76875,8.78962
10.54492,1.12647,0.29942,-1.47139,-0.03572,1.05625,0.75625,8.80263
10.63880,1.13563,0.20599,-1.47460,-0.03197,1.05625,0.74375,8.81569
10.73284,1.14452,0.11237,-1.47792,-0.03812,1.06875,0.74375,8.83105
10.82707,1.15309,0.01852,-1.48148,-0.03802,1.08125,0.73125,8.84662
10.92153,1.16135,-0.07557,-1.48516,-0.03993,1.08125,0.71875,8.86277
11.01624,1.16927,-0.16995,-1.48904,-0.04045,1.09375,0.71875,8.87901
11.11124,1.17684,-0.26464,-1.49339,-0.05153,1.10625,0.70625,8.89671
11.20654,1.18399,-0.35968,-1.49815,-0.04854,1.10625,0.69375,8.91143
11.30222,1.19070,-0.45512,-1.50328,-0.05822,1.11875,0.69375,8.92787
11.39828,1.19693,-0.55098,-1.50878,-0.05772,1.11875,0.68125,8.94201
11.49477,1.20264,-0.64730,-1.51446,-0.05936,1.14785,0.68125,8.95603
11.59172,1.20782,-0.74411,-1.52038,-0.06277,1.15489,0.66875,8.97092
11.68919,1.21244,-0.84147,-1.52654,-0.06365,1.16935,0.66826,8.98369
11.78721,1.21647,-0.93941,-1.53295,-0.06676,1.18125,0.64424,8.99566
11.88584,1.21988,-1.03798,-1.53973,-0.06996,1.19375,0.60625,9.00644
11.98509,1.22261,-1.13719,-1.54663,-0.07693,1.21767,0.60625,9.01478
12.08495,1.22469,-1.23703,-1.55209,-0.03314,1.22482,0.60625,9.01634
12.18489,1.22635,-1.33696,-1.55604,-0.03867,1.23961,0.60625,9.03976
12.28483,1.22764,-1.43689,-1.55989,-0.03840,1.26179,0.60625,9.06114
12.38477,1.22853,-1.53682,-1.56400,-0.04361,1.27843,0.60625,9.08212
12.48469,1.22900,-1.63674,-1.56838,-0.04520,1.29147,0.60625,9.09986
12.58461,1.22901,-1.73666,-1.57289,-0.04387,1.29375,0.60625,9.11554
12.68453,1.22858,-1.83658,-1.57768,-0.05233,1.32501,0.60625,9.13028
12.78445,1.22764,-1.93650,-1.58271,-0.04895,1.33246,0.60625,9.13992
12.88437,1.22620,-2.03641,-1.58793,-0.05360,1.34375,0.60625,9.14972
12.98430,1.22421,-2.13632,-1.59340,-0.06205,1.36780,0.60625,9.15385
13.08425,1.22168,-2.23623,-1.59763,-0.02917,1.38291,0.60625,9.15160
13.18420,1.21885,-2.33614,-1.59936,0.00090,1.39889,0.60625,9.15920
13.28415,1.21597,-2.43605,-1.59982,-0.00446,1.42169,0.61875,9.16891
13.38409,1.21305,-2.53595,-1.60032,-0.00725,1.43125,0.61875,9.17613
13.48404,1.21007,-2.63586,-1.60077,-0.00239,1.46391,0.61875,9.18181
13.58399,1.20706,-2.73576,-1.60102,-0.00136,1.47529,0.60456,9.18629
13.68395,1.20403,-2.83567,-1.60127,-0.00398,1.49324,0.58125,9.19239
13.78389,1.20097,-2.93557,-1.60152,-0.00092,1.51072,0.58125,9.19905
13.88384,1.19789,-3.03547,-1.60182,-0.00434,1.51875,0.58125,9.20839
13.98379,1.19477,-3.13537,-1.60232,-0.00572,1.51875,0.58125,9.21927
14.08374,1.19159,-3.23527,-1.60302,-0.00878,1.50625,0.59375,9.20200
14.18368,1.18833,-3.33516,-1.60382,-0.00737,1.50625,0.58367,9.18700
14.28364,1.18499,-3.43506,-1.60467,-0.00955,1.53834,0.54375,9.17600
14.38359,1.18156,-3.53495,-1.60557,-0.00865,1.54853,0.54375,9.16800
14.48353,1.17804,-3.63483,-1.60647,-0.01009,1.54375,0.55625,9.16200
14.58348,1.17443,-3.73472,-1.60722,-0.00482,1.54375,0.55625,9.15700
14.68343,1.17076,-3.83460,-1.60782,-0.00688,1.56959,0.55625,9.15200
14.78338,1.16703,-3.93448,-1.60833,-0.00368,1.57601,0.56875,9.13339
14.88332,1.16326,-4.03435,-1.60868,-0.00265,1.58125,0.54927,9.04238
14.98327,1.15946,-4.13423,-1.60897,-0.00352,1.58125,0.51875,8.94783
15.08323,1.15563,-4.23411,-1.60923,-0.00129,1.58125,0.51875,8.84974
15.18317,1.15178,-4.33398,-1.60948,-0.00355,1.60467,0.53125,8.73711
15.28312,1.14790,-4.43385,-1.60978,-0.00252,1.61379,0.53125,8.62692
15.38307,1.14399,-4.53373,-1.61013,-0.00414,1.61875,0.53125,8.52014
15.48302,1.14004,-4.63360,-1.61053,-0.00517,1.60625,0.53402,8.41777
15.58297,1.13605,-4.73347,-1.61073,0.00081,1.63465,0.49375,8.31978
15.68292,1.13206,-4.83334,-1.61068,0.00194,1.64034,0.49375,8.22617
15.78287,1.12808,-4.93321,-1.61068,-0.00255,1.64375,0.50625,8.13390
15.88281,1.12409,-5.03307,-1.61068,0.00202,1.64375,0.50625,8.04298
15.98276,1.12011,-5.13294,-1.61058,0.00070,1.64375,0.50625,7.95337
16.08271,1.11614,-5.23281,-1.61048,0.00119,1.63125,0.50912,7.86304
16.18266,1.11218,-5.33268,-1.61038,0.00056,1.63125,0.46875,7.77199
16.28261,1.10823,-5.43255,-1.61028,0.00258,1.63125,0.46875,7.68019
16.38256,1.10429,-5.53243,-1.61043,-0.00464,1.65279,0.48125,7.58759
16.48250,1.10031,-5.63229,-1.61103,-0.00849,1.65832,0.48125,7.49421
16.58245,1.09625,-5.73216,-1.61193,-0.00919,1.66875,0.48125,7.39999
16.68240,1.09209,-5.83202,-1.61318,-0.01503,1.66875,0.49375,7.30491
16.78235,1.08778,-5.93188,-1.61493,-0.02071,1.65625,0.47641,7.20894
16.88231,1.08327,-6.03173,-1.61714,-0.02239,1.65625,0.44375,7.11204
16.98225,1.07852,-6.13156,-1.61999,-0.03428,1.65625,0.45625,7.01420
17.08220,1.07344,-6.23138,-1.62365,-0.03875,1.64375,0.45625,6.91535
17.18215,1.06796,-6.33118,-1.62816,-0.05126,1.64375,0.46875,6.81547
17.28210,1.06198,-6.43095,-1.63357,-0.05707,1.66973,0.46875,6.71452
17.38204,1.05542,-6.53068,-1.63991,-0.06968,1.67849,0.47218,6.61245
17.48178,1.04819,-6.63015,-1.64722,-0.07719,1.66875,0.43125,6.50942
17.58112,1.04022,-6.72918,-1.65551,-0.08928,1.66875,0.44375,6.40732
17.68010,1.03141,-6.82776,-1.66481,-0.09902,1.65625,0.45625,6.30705
17.77874,1.02167,-6.92591,-1.67507,-0.10870,1.65625,0.45625,6.20866
17.87706,1.01091,-7.02365,-1.68636,-0.12090,1.64375,0.45551,6.11328
17.97509,0.99903,-7.12095,-1.69863,-0.13100,1.63125,0.43125,6.02017
18.07285,0.98595,-7.21783,-1.71159,-0.13429,1.61875,0.44375,5.92614
18.17035,0.97163,-7.31428,-1.72517,-0.14297,1.64231,0.46875,5.83349
18.26764,0.95600,-7.41030,-1.73963,-0.15371,1.64375,0.47825,5.74321
18.36473,0.93897,-7.50588,-1.75521,-0.16605,1.63125,0.44375,5.65624
18.46163,0.92043,-7.60099,-1.77206,-0.18393,1.61561,0.45192,5.57641
18.55837,0.90026,-7.69561,-1.78981,-0.18337,1.59539,0.44375,5.49565
18.65499,0.87842,-7.78973,-1.80834,-0.19912,1.57349,0.44751,5.41765
18.75149,0.85482,-7.88329,-1.82781,-0.20488,1.54984,0.44373,5.33906
18.84789,0.82939,-7.97628,-1.84817,-0.21734,1.52439,0.41875,5.26451
18.94421,0.80205,-8.06864,-1.86931,-0.22379,1.49706,0.44375,5.18957
19.04049,0.77275,-8.16035,-1.89078,-0.22340,1.46782,0.43125,5.11381
19.13673,0.74150,-8.25136,-1.91224,-0.22262,1.43669,0.44375,5.03260
19.23295,0.70831,-8.34168,-1.93382,-0.22207,1.40341,0.45439,4.94575
19.32917,0.67317,-8.43125,-1.95634,-0.24346,1.36818,0.44375,4.86114
19.42541,0.63594,-8.52000,-1.98045,-0.25804,1.33095,0.47227,4.77925
19.52168,0.59650,-8.60782,-2.00623,-0.27742,1.29161,0.48125,4.70366
19.61801,0.55471,-8.69461,-2.03361,-0.29142,1.24986,0.48125,4.63112
19.71442,0.51046,-8.78026,-2.06252,-0.30919,1.20673,0.51529,4.56546
19.81091,0.46365,-8.86462,-2.09275,-0.31756,1.16703,0.53449,4.49879
19.90750,0.41421,-8.94760,-2.12424,-0.33399,1.13133,0.54375,4.43834
20.00422,0.36206,-9.02905,-2.15705,-0.34583,1.09992,0.57722,4.38048
20.10107,0.30714,-9.10882,-2.19097,-0.35433,1.07313,0.60904,4.32188
20.19805,0.24943,-9.18675,-2.22597,-0.36768,1.04215,0.65075,4.26658
20.29520,0.18888,-9.26272,-2.26204,-0.37470,1.00163,0.68560,4.21109
20.39251,0.12549,-9.33654,-2.29921,-0.38913,0.95693,0.72014,4.15705
20.48999,0.05924,-9.40805,-2.33748,-0.39681,0.91398,0.76422,4.10293
20.58766,-0.00986,-9.47705,-2.37687,-0.40762,0.85924,0.80404,4.04466
20.68551,-0.08180,-9.54337,-2.41774,-0.42823,0.80901,0.85383,3.99998
20.78354,-0.15658,-9.60674,-2.46002,-0.43708,0.76046,0.90238,3.95525
20.88177,-0.23417,-9.66698,-2.50303,-0.44095,0.70374,0.95603,3.91233
20.98018,-0.31443,-9.72392,-2.54621,-0.43718,0.64792,1.00311,3.86309
21.07880,-0.39724,-9.77744,-2.58936,-0.43801,0.58397,1.06079,3.79488
21.17758,-0.48243,-9.82743,-2.63246,-0.43560,0.52697,1.12741,3.71410
21.27653,-0.56984,-9.87379,-2.67537,-0.43124,0.47961,1.18596,3.61841
21.37563,-0.65929,-9.91644,-2.71845,-0.43259,0.44456,1.25134,3.50676
21.47488,-0.75064,-9.95522,-2.76346,-0.46315,0.41080,1.32395,3.38101
21.57428,-0.84384,-9.98975,-2.81340,-0.53201,0.39375,1.40112,3.26335
21.67384,-0.93889,-10.01932,-2.87088,-0.62078,0.35395,1.47407,3.16650
21.77352,-1.03570,-10.04300,-2.93606,-0.70340,0.31177,1.55382,3.15463
21.87331,-1.13401,-10.06000,-3.00450,-0.69683,0.26875,1.63945,3.14272
21.97317,-1.23333,-10.07026,-3.06993,-0.61295,0.26875,1.72970,3.16558
22.07309,-1.33315,-10.07429,-3.13244,-0.61416,0.26875,1.82331,3.23496
22.17305,-1.43307,-10.07209,3.08612,-0.67735,0.30987,1.91437,3.19130
22.27301,-1.53261,-10.06321,3.01873,-0.69252,0.34390,1.96181,3.17931
22.37295,-1.63131,-10.04761,2.95394,-0.63034,0.37254,1.88087,3.16729
22.47283,-1.72880,-10.02596,2.89714,-0.49200,0.41367,1.80293,3.23576
22.57261,-1.82494,-9.99931,2.84519,-0.52300,0.46862,1.72965,3.34693
22.67167,-1.91888,-9.96791,2.79159,-0.56364,0.53251,1.65895,3.43055
22.76972,-2.01001,-9.93175,2.73577,-0.58072,0.58110,1.59367,3.46968
22.86688,-2.09814,-9.89089,2.67940,-0.58569,0.61506,1.53393,3.45712
22.96325,-2.18314,-9.84550,2.62414,-0.56493,0.63125,1.47739,3.44451
23.05891,-2.26496,-9.79594,2.57104,-0.54525,0.64375,1.42627,3.47993
23.15398,-2.34359,-9.74254,2.52032,-0.52101,0.68351,1.38032,3.52161
23.24854,-2.41909,-9.68561,2.47174,-0.50273,0.69773,1.33850,3.57066
23.34269,-2.49147,-9.62541,2.42445,-0.49853,0.71841,1.30005,3.62120
23.43649,-2.56069,-9.56213,2.37746,-0.50002,0.70625,1.26629,3.66369
23.53004,-2.62668,-9.49583,2.32998,-0.51360,0.71875,1.23982,3.68062
23.62341,-2.68931,-9.42658,2.28168,-0.52200,0.73125,1.22442,3.65164
23.71669,-2.74842,-9.35445,2.23301,-0.52865,0.73058,1.21386,3.63884
23.80994,-2.80395,-9.27954,2.18585,-0.49321,0.71875,1.18125,3.62600
