# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.19246,7.79729,0.45862,-0.02490,0.60625,1.78864,3.52686
0.09988,-4.10252,7.84072,0.42692,-0.56753,0.59375,1.73288,3.51200
0.19976,-4.01069,7.87998,0.38042,-0.45304,0.61875,1.67504,3.49708
0.29964,-3.91711,7.91486,0.33453,-0.46053,0.64391,1.62538,3.57733
0.39952,-3.82206,7.94555,0.29296,-0.37858,0.61875,1.58455,3.64439
0.49940,-3.72591,7.97254,0.25634,-0.34689,0.64375,1.53847,3.73274
0.59928,-3.62888,7.99618,0.22238,-0.31249,0.65625,1.49324,3.82229
0.69916,-3.53111,8.01658,0.18552,-0.40541,0.69172,1.44796,3.78935
0.79904,-3.43259,8.03302,0.14260,-0.49163,0.71077,1.41152,3.77338
0.89892,-3.33344,8.04497,0.10092,-0.36008,0.73787,1.37006,3.75735
0.99880,-3.23390,8.05314,0.06435,-0.34454,0.75625,1.32999,3.84099
1.09868,-3.13414,8.05781,0.02816,-0.38008,0.75625,1.29399,3.92217
1.19856,-3.03427,8.05877,-0.00885,-0.36498,0.75625,1.26267,3.98209
1.29844,-2.93443,8.05604,-0.04591,-0.37654,0.75625,1.24225,4.04235
1.39832,-2.83476,8.04960,-0.08276,-0.36532,0.75625,1.22352,4.08974
1.49820,-2.73539,8.03953,-0.11860,-0.35418,0.78101,1.20960,4.13765
1.59808,-2.63645,8.02597,-0.15300,-0.33252,0.78125,1.19375,4.18615
1.69796,-2.53801,8.00909,-0.18648,-0.33463,0.81095,1.18125,4.24076
1.79784,-2.44019,7.98894,-0.21968,-0.33231,0.80625,1.17074,4.28867
1.89772,-2.34308,7.96557,-0.25230,-0.32168,0.82974,1.15029,4.33270
1.99760,-2.24678,7.93909,-0.28410,-0.31500,0.81875,1.14147,4.37821
2.09748,-2.15136,7.90959,-0.31513,-0.30597,0.83774,1.14028,4.42290
2.19736,-2.05689,7.87718,-0.34549,-0.30159,0.83125,1.14126,4.46831
2.29724,-1.96344,7.84195,-0.37527,-0.29540,0.83125,1.13125,4.51185
2.39712,-1.87106,7.80397,-0.40437,-0.28740,0.81875,1.14375,4.55484
2.49700,-1.77981,7.76336,-0.43273,-0.28057,0.84375,1.14375,4.59850
2.59688,-1.68974,7.72022,-0.46036,-0.27270,0.85625,1.16875,4.64219
2.69675,-1.60087,7.67463,-0.48725,-0.26563,0.87132,1.15625,4.68658
2.79663,-1.51325,7.62670,-0.51344,-0.25857,0.88042,1.16010,4.73126
2.89651,-1.42689,7.57652,-0.53898,-0.25250,0.89808,1.13125,4.77628
2.99639,-1.34182,7.52418,-0.56397,-0.24765,0.89375,1.14997,4.82117
3.09627,-1.25808,7.46975,-0.58855,-0.24389,0.90948,1.14375,4.86536
3.19615,-1.17569,7.41330,-0.61293,-0.24267,0.91742,1.14375,4.90838
3.29603,-1.09470,7.35485,-0.63759,-0.24920,0.88125,1.13125,4.94895
3.39591,-1.01519,7.29440,-0.66296,-0.25980,0.90625,1.14375,4.98221
3.49579,-0.93727,7.23192,-0.68877,-0.26035,0.91144,1.13125,5.00392
3.59568,-0.86099,7.16745,-0.71420,-0.25062,0.88125,1.16638,5.02266
3.69556,-0.78634,7.10109,-0.73879,-0.24142,0.88125,1.18241,5.04824
3.79544,-0.71332,7.03294,-0.76254,-0.23405,0.88125,1.19375,5.07864
3.89532,-0.64191,6.96311,-0.78548,-0.22568,0.89375,1.21783,5.11176
3.99520,-0.57209,6.89169,-0.80753,-0.21610,0.89375,1.23539,5.14785
4.09508,-0.50383,6.81878,-0.82860,-0.20606,0.91875,1.24853,5.18724
4.19496,-0.43709,6.74448,-0.84862,-0.19538,0.90625,1.26048,5.22971
4.29484,-0.37180,6.66889,-0.86735,-0.18157,0.91875,1.28203,5.27519
4.39472,-0.30788,6.59215,-0.88426,-0.15915,0.91875,1.30788,5.32466
4.49459,-0.24518,6.51440,-0.89895,-0.13283,0.92368,1.32859,5.38066
4.59446,-0.18355,6.43582,-0.91209,-0.12323,0.93125,1.35764,5.44279
4.69434,-0.12292,6.35645,-0.92549,-0.13936,0.92218,1.37786,5.50546
4.79422,-0.06341,6.27623,-0.94069,-0.16461,0.89375,1.38037,5.56140
4.89411,-0.00522,6.19505,-0.95792,-0.18290,0.86875,1.36435,5.60543
4.99399,0.05149,6.11283,-0.97664,-0.19350,0.90890,1.35025,5.56565
5.09387,0.10660,6.02953,-0.99643,-0.20281,0.92150,1.32549,5.49434
5.19375,0.16002,5.94513,-1.01727,-0.21339,0.93169,1.30719,5.42719
5.29363,0.21161,5.85961,-1.03940,-0.22895,0.95023,1.29375,5.37080
5.39351,0.26123,5.77294,-1.06287,-0.24473,0.95625,1.27650,5.34817
5.49339,0.30875,5.68509,-1.08660,-0.23787,0.93125,1.25819,5.32544
5.59327,0.35421,5.59615,-1.10876,-0.20889,0.97280,1.23274,5.33039
5.69315,0.39780,5.50629,-1.12846,-0.18394,0.95625,1.21452,5.36233
5.79304,0.43972,5.41563,-1.14590,-0.16474,0.98837,1.19375,5.40652
5.89292,0.48014,5.32429,-1.16127,-0.14360,0.98125,1.17595,5.45710
5.99280,0.51926,5.23239,-1.17442,-0.12084,0.96875,1.14466,5.51337
6.09268,0.55727,5.14002,-1.18493,-0.09247,0.98846,1.12260,5.57447
6.19256,0.59444,5.04732,-1.19220,-0.05303,0.98125,1.11003,5.64030
6.29243,0.63109,4.95442,-1.19658,-0.02506,0.96875,1.07410,5.71046
6.39230,0.66745,4.86141,-1.20056,-0.04347,1.00416,1.03764,5.78134
6.49218,0.70337,4.76821,-1.20689,-0.08289,1.01689,1.00165,5.84938
6.59206,0.73855,4.67472,-1.21594,-0.10326,1.01875,0.96645,5.91012
6.69194,0.77278,4.58089,-1.22663,-0.11284,1.03839,0.93224,5.96447
6.79183,0.80595,4.48668,-1.23829,-0.12129,1.03125,0.89913,6.01442
6.89171,0.83798,4.39207,-1.25068,-0.12704,1.05554,0.87097,6.05992
6.99159,0.86881,4.29707,-1.26376,-0.13378,1.03125,0.85491,6.10166
7.09147,0.89836,4.20166,-1.27783,-0.14663,1.06769,0.85170,6.13894
7.19135,0.92650,4.10582,-1.29310,-0.16128,1.07373,0.82872,6.16777
7.29123,0.95312,4.00956,-1.30892,-0.16074,1.05625,0.80203,6.18447
7.39111,0.97821,3.91289,-1.32402,-0.14417,1.08125,0.77927,6.20070
7.49099,1.00191,3.81586,-1.33771,-0.12873,1.08656,0.74375,6.22845
7.59087,1.02435,3.71853,-1.35018,-0.11958,1.06875,0.76875,6.26374
7.69075,1.04562,3.62094,-1.36178,-0.11239,1.09375,0.75625,6.30215
7.79063,1.06580,3.52312,-1.37264,-0.10503,1.10625,0.73125,6.34244
7.89051,1.08495,3.42510,-1.38279,-0.09801,1.11875,0.70625,6.38446
7.99039,1.10313,3.32689,-1.39225,-0.09139,1.14375,0.69375,6.42790
