# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.16410,7.75073,0.49635,-0.09508,0.56875,1.83209,3.37900
0.09942,-4.07612,7.79701,0.45934,-0.61826,0.55625,1.76952,3.36485
0.19871,-3.98606,7.83879,0.41060,-0.44362,0.58117,1.71114,3.35063
0.29807,-3.89405,7.87627,0.36374,-0.48185,0.60327,1.66070,3.43951
0.39752,-3.80032,7.90950,0.31956,-0.41483,0.59375,1.61712,3.50821
0.49705,-3.70519,7.93876,0.27841,-0.40511,0.60625,1.56724,3.58949
0.59665,-3.60891,7.96421,0.23839,-0.38025,0.63936,1.51830,3.66594
0.69627,-3.51166,7.98579,0.19482,-0.48244,0.66100,1.47363,3.64756
0.79591,-3.41349,8.00277,0.14643,-0.53058,0.68265,1.43463,3.63222
0.89560,-3.31454,8.01487,0.10130,-0.38258,0.71308,1.39173,3.61681
0.99536,-3.21511,8.02294,0.06157,-0.38477,0.71875,1.35365,3.69703
1.09515,-3.11542,8.02714,0.02181,-0.41333,0.73125,1.31678,3.76972
1.19496,-3.01562,8.02729,-0.01912,-0.40860,0.73125,1.28825,3.82535
1.29476,-2.91590,8.02333,-0.06068,-0.42806,0.71875,1.27102,3.87663
1.39456,-2.81644,8.01519,-0.10170,-0.40144,0.71875,1.24375,3.91080
1.49435,-2.71740,8.00307,-0.14056,-0.37666,0.74942,1.24200,3.95525
1.59412,-2.61890,7.98724,-0.17723,-0.35521,0.74375,1.23113,4.00626
1.69386,-2.52105,7.96790,-0.21248,-0.35037,0.77592,1.20625,4.06114
1.79357,-2.42398,7.94519,-0.24666,-0.33714,0.76875,1.19375,4.11290
1.89323,-2.32776,7.91923,-0.27947,-0.32188,0.79076,1.18125,4.16542
1.99286,-2.23245,7.89022,-0.31065,-0.30461,0.78125,1.16875,4.21954
2.09245,-2.13810,7.85834,-0.34014,-0.28679,0.79497,1.15625,4.27594
2.19202,-2.04473,7.82379,-0.36811,-0.27444,0.78125,1.18125,4.33459
2.29155,-1.95236,7.78671,-0.39474,-0.26084,0.78989,1.19307,4.39352
2.39107,-1.86100,7.74725,-0.42002,-0.24702,0.76875,1.20203,4.45324
2.49058,-1.77065,7.70555,-0.44398,-0.23436,0.80202,1.20625,4.51382
2.59010,-1.68129,7.66177,-0.46662,-0.22099,0.79375,1.21875,4.57494
2.68963,-1.59290,7.61602,-0.48805,-0.20706,0.80625,1.21611,4.63684
2.78919,-1.50545,7.56842,-0.50892,-0.20904,0.83970,1.20391,4.69966
2.88879,-1.41899,7.51898,-0.53000,-0.21379,0.83125,1.19375,4.75906
2.98845,-1.33355,7.46769,-0.55156,-0.21874,0.84375,1.16875,4.81422
3.08816,-1.24920,7.41452,-0.57372,-0.22473,0.86875,1.16875,4.86498
3.18792,-1.16602,7.35943,-0.59675,-0.23524,0.85625,1.19040,4.91082
3.28775,-1.08412,7.30237,-0.62107,-0.25145,0.86875,1.16875,4.94940
3.38763,-1.00363,7.24324,-0.64677,-0.26546,0.86875,1.19375,4.97627
3.48757,-0.92467,7.18197,-0.67330,-0.26838,0.86875,1.16875,4.98965
3.58757,-0.84734,7.11858,-0.69993,-0.26499,0.86875,1.19935,4.99832
3.68761,-0.77168,7.05313,-0.72640,-0.26367,0.86875,1.20625,5.00959
3.78768,-0.69776,6.98568,-0.75281,-0.26412,0.86875,1.23562,5.02088
3.88778,-0.62562,6.91629,-0.77916,-0.26276,0.86875,1.24375,5.03030
3.98788,-0.55533,6.84502,-0.80535,-0.26172,0.89474,1.23125,5.04004
4.08799,-0.48692,6.77193,-0.83095,-0.25303,0.90644,1.27168,5.04970
4.18809,-0.42037,6.69716,-0.85514,-0.23292,0.90625,1.28750,5.06665
4.28817,-0.35559,6.62088,-0.87708,-0.20787,0.89375,1.31302,5.09639
4.38822,-0.29241,6.54330,-0.89619,-0.17419,0.86875,1.33511,5.13705
4.48825,-0.23063,6.46464,-0.91263,-0.14881,0.90775,1.36019,5.18840
4.58825,-0.17007,6.38506,-0.92790,-0.14916,0.89375,1.38951,5.24510
4.68824,-0.11073,6.30458,-0.94390,-0.16798,0.88125,1.40868,5.29977
4.78820,-0.05278,6.22314,-0.96150,-0.18602,0.86875,1.39436,5.34673
4.88810,0.00364,6.14069,-0.98043,-0.19511,0.86875,1.36875,5.38468
4.98795,0.05841,6.05721,-1.00011,-0.19979,0.86875,1.36224,5.41636
5.08772,0.11147,5.97271,-1.02036,-0.20542,0.89920,1.34114,5.44370
5.18742,0.16274,5.88721,-1.04136,-0.21457,0.90625,1.32928,5.46582
5.28702,0.21211,5.80072,-1.06328,-0.22739,0.93125,1.31331,5.47930
5.38653,0.25950,5.71321,-1.08559,-0.22657,0.93855,1.29698,5.47622
5.48600,0.30491,5.62471,-1.10682,-0.20509,0.91875,1.27490,5.47494
5.58548,0.34853,5.53531,-1.12573,-0.17503,0.94587,1.25338,5.49523
5.68499,0.39057,5.44512,-1.14223,-0.15436,0.94375,1.24124,5.53125
5.78452,0.43123,5.35428,-1.15672,-0.13677,0.93125,1.22394,5.57412
5.88408,0.47067,5.26286,-1.16927,-0.11650,0.93125,1.18962,5.62133
5.98370,0.50908,5.17094,-1.17956,-0.09232,0.95128,1.16395,5.67268
6.08340,0.54668,5.07861,-1.18695,-0.05831,0.93125,1.14727,5.72797
6.18319,0.58378,4.98597,-1.19115,-0.02082,0.96475,1.12127,5.78719
6.28303,0.62066,4.89319,-1.19365,-0.01662,0.95625,1.08449,5.84590
6.38284,0.65731,4.80036,-1.19752,-0.05476,0.97861,1.04798,5.90373
6.48254,0.69342,4.70742,-1.20448,-0.08882,0.98125,1.01174,5.96068
6.58216,0.72870,4.61426,-1.21383,-0.10272,1.00267,0.97636,6.01313
6.68173,0.76302,4.52079,-1.22453,-0.11344,0.99375,0.94199,6.05772
6.78127,0.79627,4.42697,-1.23613,-0.12071,1.01875,0.90999,6.09804
6.88077,0.82840,4.33279,-1.24831,-0.12413,1.03549,0.88806,6.13477
6.98025,0.85933,4.23826,-1.26114,-0.13223,1.03125,0.85625,6.16915
7.07967,0.88900,4.14336,-1.27493,-0.14519,1.04762,0.86619,6.19904
7.17905,0.91730,4.04809,-1.28954,-0.15283,1.03125,0.83802,6.22126
7.27843,0.94417,3.95242,-1.30394,-0.14183,1.05421,0.81115,6.23769
7.37786,0.96972,3.85633,-1.31692,-0.11992,1.06744,0.78125,6.26036
7.47736,0.99413,3.75988,-1.32822,-0.10483,1.04375,0.79070,6.29272
7.57689,1.01753,3.66313,-1.33831,-0.09694,1.06875,0.78125,6.32970
7.67646,1.04000,3.56613,-1.34752,-0.08831,1.08125,0.75625,6.36826
7.77606,1.06163,3.46891,-1.35589,-0.07940,1.10625,0.73125,6.40840
7.87570,1.08249,3.37148,-1.36342,-0.07189,1.12750,0.71875,6.44994
7.97537,1.10266,3.27387,-1.37015,-0.06329,1.14375,0.69375,6.49237
8.07508,1.12223,3.17610,-1.37609,-0.05445,1.16723,0.66875,6.53573
8.17483,1.14125,3.07818,-1.38157,-0.05396,1.18125,0.65625,6.57988
8.27461,1.15976,2.98013,-1.38697,-0.05423,1.19375,0.63125,6.62334
8.37443,1.17774,2.88195,-1.39236,-0.05358,1.21875,0.60625,6.66600
8.47427,1.19520,2.78364,-1.39788,-0.05565,1.23125,0.59375,6.70804
8.57414,1.21210,2.68522,-1.40383,-0.06252,1.24375,0.58125,6.74898
8.67402,1.22839,2.58668,-1.41048,-0.07062,1.26875,0.55625,6.78785
8.77391,1.24399,2.48801,-1.41789,-0.07783,1.28125,0.54375,6.82411
8.87381,1.25882,2.38922,-1.42607,-0.08588,1.29375,0.53125,6.85771
8.97372,1.27281,2.29029,-1.43500,-0.09331,1.30625,0.50625,6.88805
9.07365,1.28588,2.19122,-1.44451,-0.09779,1.31875,0.54375,6.91496
9.17358,1.29798,2.09202,-1.45443,-0.10090,1.33125,0.53125,6.93935
9.27353,1.30908,1.99269,-1.46471,-0.10452,1.33125,0.51875,6.96171
9.37349,1.31915,1.89324,-1.47537,-0.10937,1.34375,0.51875,6.98168
9.47344,1.32813,1.79369,-1.48621,-0.10968,1.34108,0.50625,6.99843
9.57340,1.33604,1.69404,-1.49670,-0.10136,1.30625,0.49375,7.01450
9.67337,1.34293,1.59432,-1.50653,-0.09502,1.31875,0.49375,7.03470
9.77333,1.34888,1.49453,-1.51570,-0.08853,1.31875,0.48125,7.05744
9.87329,1.35394,1.39470,-1.52418,-0.08139,1.33125,0.48125,7.08245
9.97326,1.35819,1.29483,-1.53193,-0.07371,1.33125,0.46875,7.10966
10.07322,1.36171,1.19493,-1.53894,-0.06637,1.32509,0.46875,7.13894
10.17317,1.36456,1.09501,-1.54520,-0.05913,1.31505,0.49692,7.16988
10.27313,1.36682,0.99508,-1.55072,-0.05128,1.28125,0.51875,7.20217
10.37308,1.36858,0.89515,-1.55547,-0.04358,1.29375,0.50625,7.23571
10.47303,1.36989,0.79520,-1.55951,-0.03706,1.29375,0.50625,7.27022
10.57298,1.37083,0.69526,-1.56285,-0.03003,1.29375,0.50625,7.30528
10.67293,1.37148,0.59532,-1.56546,-0.02227,1.29375,0.50625,7.34078
10.77287,1.37190,0.49537,-1.56738,-0.01473,1.29375,0.50625,7.37661
10.87282,1.37216,0.39542,-1.56898,-0.01578,1.29375,0.50625,7.41252
10.97277,1.37226,0.29547,-1.57067,-0.01763,1.29375,0.50625,7.44789
11.07273,1.37219,0.19551,-1.57257,-0.02023,1.29375,0.50625,7.48264
11.17269,1.37191,0.09555,-1.57475,-0.02347,1.29375,0.50625,7.51673
11.27266,1.37140,-0.00441,-1.57716,-0.02513,1.29375,0.50625,7.55004
11.37263,1.37063,-0.10438,-1.57976,-0.02664,1.29375,0.50625,7.58273
11.47261,1.36960,-0.20435,-1.58258,-0.02944,1.29375,0.50625,7.61481
11.57259,1.36828,-0.30433,-1.58568,-0.03273,1.29375,0.50625,7.64609
11.67257,1.36663,-0.40430,-1.58908,-0.03537,1.28125,0.51875,7.67646
11.77256,1.36462,-0.50427,-1.59275,-0.03795,1.28125,0.51875,7.70599
11.87255,1.36224,-0.60423,-1.59666,-0.04058,1.28125,0.51875,7.73465
11.97254,1.35945,-0.70418,-1.60080,-0.04219,1.28125,0.51875,7.76239
12.07253,1.35624,-0.80412,-1.60513,-0.04439,1.30763,0.51875,7.78940
12.17252,1.35259,-0.90404,-1.60959,-0.04586,1.31765,0.51677,7.81553
12.27251,1.34848,-1.00394,-1.61393,-0.04192,1.31875,0.48125,7.84093
12.37250,1.34396,-1.10383,-1.61790,-0.03762,1.31875,0.48125,7.86689
12.47248,1.33907,-1.20370,-1.62144,-0.03310,1.30625,0.49375,7.89338
12.57247,1.33384,-1.30354,-1.62460,-0.02996,1.34078,0.49375,7.92035
12.67246,1.32831,-1.40338,-1.62738,-0.02584,1.35228,0.50625,7.94748
12.77244,1.32253,-1.50319,-1.62976,-0.02159,1.34375,0.50625,7.97487
12.87243,1.31653,-1.60300,-1.63178,-0.01876,1.37312,0.51875,8.00000
12.97241,1.31034,-1.70279,-1.63344,-0.01463,1.38125,0.51875,8.00000
13.07239,1.30401,-1.80257,-1.63470,-0.01030,1.38125,0.53125,8.00000
13.17237,1.29757,-1.90235,-1.63559,-0.00750,1.39839,0.53125,8.00000
13.27235,1.29107,-2.00211,-1.63612,-0.00340,1.40455,0.54375,8.00000
13.37233,1.28452,-2.10188,-1.63626,0.00075,1.40625,0.54375,8.00000
13.47231,1.27798,-2.20164,-1.63605,0.00394,1.43391,0.55625,8.00000
13.57229,1.27148,-2.30141,-1.63563,0.00503,1.44320,0.55625,8.00000
13.67227,1.26503,-2.40118,-1.63515,0.00491,1.45935,0.56875,8.00000
13.77224,1.25862,-2.50095,-1.63465,0.00468,1.47959,0.56875,8.00000
13.87222,1.25227,-2.60073,-1.63406,0.00656,1.49525,0.58125,8.00000
13.97220,1.24598,-2.70051,-1.63330,0.00901,1.50794,0.57271,8.00000
