# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
0.00000,1.08005,4.71342,0.34071,-3.69272,0.96786,0.96328
0.11517,1.19341,4.73069,0.02760,-1.99404,0.94170,0.97188
0.23032,1.30787,4.71971,-0.17257,-1.27480,0.90118,0.99283
0.34547,1.41938,4.69130,-0.30398,-0.91717,0.85686,1.01101
0.46063,1.52717,4.65091,-0.40222,-0.74270,0.81348,1.00222
0.57578,1.63103,4.60126,-0.48551,-0.67237,0.77226,0.93144
0.69093,1.73065,4.54355,-0.56570,-0.69129,0.73774,0.86840
0.80608,1.82524,4.47795,-0.65180,-0.79963,0.71087,0.81320
0.92123,1.91349,4.40404,-0.74557,-0.85077,0.69163,0.76718
1.03639,1.99418,4.32196,-0.84121,-0.83633,0.68017,0.73167
1.15154,2.06677,4.23262,-0.93046,-0.73913,0.67188,0.70312
1.26669,2.13162,4.13750,-1.00532,-0.57928,0.68414,0.67812
1.38184,2.19008,4.03830,-1.06041,-0.37765,0.69063,0.67812
1.49699,2.24409,3.93661,-1.09613,-0.21805,0.69063,0.68075
1.61214,2.29532,3.83349,-1.11918,-0.16576,0.68437,0.67812
1.72730,2.34460,3.72941,-1.13483,-0.10565,0.67812,0.67188
1.84245,2.39258,3.62473,-1.14425,-0.05574,0.67188,0.67188
1.95760,2.43988,3.51974,-1.14804,-0.00894,0.67188,0.68437
2.07275,2.48706,3.41470,-1.14660,0.03472,0.66563,0.69063
2.18790,2.53467,3.30985,-1.14020,0.07678,0.66563,0.68437
2.30306,2.58320,3.20542,-1.12898,0.11813,0.66563,0.68437
2.41821,2.63314,3.10167,-1.11298,0.15963,0.67188,0.69063
2.53336,2.68498,2.99885,-1.09216,0.20175,0.68131,0.69461
2.64851,2.73920,2.89726,-1.06638,0.24569,0.66563,0.67812
2.76366,2.79627,2.79725,-1.03551,0.28905,0.69063,0.67812
2.87882,2.85665,2.69921,-0.99941,0.34183,0.69063,0.67480
2.99397,2.92079,2.60358,-0.95978,0.36245,0.71554,0.65312
3.10912,2.98874,2.51063,-0.92098,0.32047,0.70312,0.67522
3.22427,3.06010,2.42025,-0.88596,0.28709,0.68437,0.67812
3.33942,3.13440,2.33228,-0.85507,0.24993,0.67188,0.69063
3.45458,3.21119,2.24649,-0.82839,0.21340,0.65938,0.70312
3.56973,3.29008,2.16260,-0.80589,0.17716,0.66563,0.70312
3.68488,3.37066,2.08035,-0.78750,0.14187,0.65938,0.70312
3.80003,3.45258,1.99942,-0.77311,0.10769,0.66563,0.69688
3.91518,3.53550,1.91951,-0.76258,0.07476,0.67919,0.69173
4.03034,3.61910,1.84033,-0.75577,0.04310,0.67812,0.67188
4.14549,3.70310,1.76156,-0.75253,0.01269,0.69063,0.67188
4.26064,3.78721,1.68292,-0.75273,-0.01649,0.69688,0.67188
4.37579,3.87118,1.60412,-0.75622,-0.04457,0.69063,0.66563
4.49094,3.95474,1.52489,-0.76288,-0.07137,0.69063,0.65938
4.60610,4.03765,1.44498,-0.77258,-0.09773,0.69063,0.66563
4.72125,4.11966,1.36414,-0.78522,-0.12051,0.69063,0.65312
4.83640,4.20052,1.28216,-0.80129,-0.15455,0.69063,0.66563
4.95155,4.27989,1.19874,-0.82193,-0.20127,0.69688,0.66563
5.06670,4.35730,1.11349,-0.84816,-0.25197,0.70115,0.66563
5.18186,4.43219,1.02602,-0.88088,-0.31253,0.68437,0.67812
5.29701,4.50385,0.93589,-0.92142,-0.38630,0.67812,0.69063
