# x_m,y_m,w_tr_right_m,w_tr_left_m
1.0800,4.7134,0.8329,0.8283
1.1934,4.7307,0.8067,0.8369
1.3079,4.7197,0.7662,0.8578
1.4194,4.6913,0.7219,0.8760
1.5272,4.6509,0.6785,0.8672
1.6310,4.6013,0.6373,0.7964
1.7306,4.5436,0.6027,0.7334
1.8252,4.4780,0.5759,0.6782
1.9135,4.4040,0.5566,0.6322
1.9942,4.3220,0.5452,0.5967
2.0668,4.2326,0.5369,0.5681
2.1316,4.1375,0.5491,0.5431
2.1901,4.0383,0.5556,0.5431
2.2441,3.9366,0.5556,0.5458
2.2953,3.8335,0.5494,0.5431
2.3446,3.7294,0.5431,0.5369
2.3926,3.6247,0.5369,0.5369
2.4399,3.5197,0.5369,0.5494
2.4871,3.4147,0.5306,0.5556
2.5347,3.3098,0.5306,0.5494
2.5832,3.2054,0.5306,0.5494
2.6331,3.1017,0.5369,0.5556
2.6850,2.9988,0.5463,0.5596
2.7392,2.8973,0.5306,0.5431
2.7963,2.7973,0.5556,0.5431
2.8567,2.6992,0.5556,0.5398
2.9208,2.6036,0.5805,0.5181
2.9887,2.5106,0.5681,0.5402
3.0601,2.4203,0.5494,0.5431
3.1344,2.3323,0.5369,0.5556
3.2112,2.2465,0.5244,0.5681
3.2901,2.1626,0.5306,0.5681
3.3707,2.0803,0.5244,0.5681
3.4526,1.9994,0.5306,0.5619
3.5355,1.9195,0.5442,0.5567
3.6191,1.8403,0.5431,0.5369
3.7031,1.7616,0.5556,0.5369
3.7872,1.6829,0.5619,0.5369
3.8712,1.6041,0.5556,0.5306
3.9547,1.5249,0.5556,0.5244
4.0377,1.4450,0.5556,0.5306
4.1197,1.3641,0.5556,0.5181
4.2005,1.2822,0.5556,0.5306
4.2799,1.1987,0.5619,0.5306
4.3573,1.1135,0.5662,0.5306
4.4322,1.0260,0.5494,0.5431
4.5039,0.9359,0.5431,0.5556
4.5714,0.8427,0.5244,0.5831
4.6337,0.7458,0.5020,0.6074
4.6891,0.6449,0.4841,0.6395
4.7355,0.5396,0.4744,0.6812
4.7702,0.4298,0.4744,0.7342
4.7900,0.3165,0.4882,0.8004
4.7915,0.2015,0.4956,0.7590
4.7728,0.0881,0.5030,0.6921
4.7341,-0.0203,0.5104,0.6428
4.6792,-0.1214,0.5206,0.6102
4.6137,-0.2161,0.5306,0.5869
4.5413,-0.3056,0.5369,0.5744
4.4643,-0.3912,0.5494,0.5552
4.3845,-0.4742,0.5431,0.5431
4.3029,-0.5555,0.5431,0.5431
4.2207,-0.6361,0.5494,0.5494
4.1387,-0.7169,0.5494,0.5494
4.0578,-0.7989,0.5431,0.5431
3.9777,-0.8816,0.5556,0.5431
3.8981,-0.9648,0.5494,0.5306
3.8184,-1.0479,0.5494,0.5369
3.7382,-1.1306,0.5494,0.5369
3.6570,-1.2122,0.5494,0.5369
3.5744,-1.2924,0.5494,0.5306
