# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
0.8006,-5.4817,0.6700,0.6700,0.0000,0.0781
0.7960,-5.3818,0.6800,0.6600,0.1000,0.0808
0.7906,-5.2819,0.6800,0.6600,0.2000,0.0815
0.7844,-5.1821,0.6900,0.6500,0.3000,0.0802
0.7773,-5.0824,0.7000,0.6400,0.4000,0.0765
0.7695,-4.9827,0.7100,0.6400,0.5000,0.0705
0.7610,-4.8830,0.7200,0.6300,0.6000,0.0619
0.7519,-4.7834,0.7300,0.6200,0.7000,0.0510
0.7423,-4.6839,0.7400,0.6100,0.8000,0.0379
0.7323,-4.5844,0.7500,0.6000,0.9000,0.0227
0.7220,-4.4849,0.7600,0.5900,1.0000,0.0058
0.7118,-4.3855,0.7700,0.5800,1.1000,-0.0124
0.7016,-4.2860,0.7800,0.5700,1.2000,-0.0314
0.6917,-4.1865,0.7900,0.5600,1.3000,-0.0507
0.6824,-4.0869,0.8000,0.5500,1.4000,-0.0697
0.6738,-3.9873,0.8000,0.5400,1.5000,-0.0879
0.6660,-3.8876,0.8100,0.5300,1.6000,-0.1047
0.6592,-3.7878,0.8200,0.5300,1.7000,-0.1195
0.6537,-3.6880,0.8200,0.5200,1.8000,-0.1319
0.6495,-3.5881,0.8300,0.5200,1.9000,-0.1415
0.6467,-3.4881,0.8300,0.5100,2.0000,-0.1479
0.6453,-3.3881,0.8300,0.5100,2.1000,-0.1510
0.6455,-3.2881,0.8300,0.5100,2.2000,-0.1506
0.6472,-3.1881,0.8300,0.5100,2.3000,-0.1467
0.6504,-3.0882,0.8200,0.5200,2.4000,-0.1395
0.6549,-2.9883,0.8200,0.5200,2.5000,-0.1292
0.6607,-2.8885,0.8200,0.5300,2.6000,-0.1162
0.6677,-2.7887,0.8100,0.5300,2.7000,-0.1009
0.6757,-2.6890,0.8000,0.5400,2.8000,-0.0838
0.6846,-2.5894,0.7900,0.5500,2.9000,-0.0653
0.6941,-2.4899,0.7800,0.5600,3.0000,-0.0462
0.7040,-2.3904,0.7700,0.5700,3.1000,-0.0269
0.7142,-2.2909,0.7600,0.5800,3.2000,-0.0081
0.7245,-2.1914,0.7500,0.5900,3.3000,0.0098
0.7347,-2.0919,0.7400,0.6000,3.4000,0.0263
0.7447,-1.9924,0.7300,0.6100,3.5000,0.0410
0.7542,-1.8929,0.7200,0.6200,3.6000,0.0536
0.7632,-1.7933,0.7100,0.6300,3.7000,0.0638
0.7716,-1.6936,0.7000,0.6400,3.8000,0.0717
0.7792,-1.5939,0.7000,0.6500,3.9000,0.0770
0.7861,-1.4942,0.6900,0.6500,4.0000,0.0800
0.7922,-1.3944,0.6800,0.6600,4.1000,0.0806
0.7974,-1.2945,0.6800,0.6600,4.2000,0.0792
0.8019,-1.1946,0.6700,0.6700,4.3000,0.0760
0.8057,-1.0947,0.6700,0.6700,4.4000,0.0712
0.8087,-0.9947,0.6700,0.6700,4.5000,0.0651
0.8110,-0.8947,0.6600,0.6800,4.6000,0.0582
0.8128,-0.7948,0.6600,0.6800,4.7000,0.0507
0.8141,-0.6948,0.6600,0.6800,4.8000,0.0428
0.8149,-0.5948,0.6600,0.6800,4.9000,0.0349
0.8154,-0.4948,0.6600,0.6800,5.0000,0.0273
0.8157,-0.3948,0.6600,0.6800,5.1000,0.0200
0.8157,-0.2948,0.6600,0.6800,5.2000,0.0133
0.8156,-0.1948,0.6600,0.6800,5.3000,0.0072
0.8154,-0.0948,0.6600,0.6800,5.4000,0.0019
0.8152,0.0052,0.6600,0.6800,5.5000,-0.0027
0.8150,0.1052,0.6600,0.6800,5.6000,-0.0066
0.8149,0.2052,0.6600,0.6800,5.7000,-0.0097
0.8149,0.3052,0.6600,0.6800,5.8000,-0.0121
0.8150,0.4052,0.6600,0.6800,5.9000,-0.0138
0.8153,0.5052,0.6600,0.6800,6.0000,-0.0150
0.8157,0.6052,0.6600,0.6800,6.1000,-0.0155
0.8162,0.7052,0.6600,0.6800,6.2000,-0.0153
0.8169,0.8052,0.6600,0.6800,6.3000,-0.0146
0.8178,0.9052,0.6600,0.6600,6.4000,-0.0132
0.8188,1.0052,0.6600,0.6600,6.5000,-0.0109
0.8198,1.1052,0.6500,0.6600,6.6000,-0.0078
0.8210,1.2052,0.6800,0.6600,6.7000,-0.0037
0.8222,1.3052,0.6800,0.6600,6.8000,0.0015
0.8234,1.4052,0.6800,0.6600,6.9000,0.0081
0.8245,1.5052,0.6700,0.6700,7.0000,0.0160
0.8255,1.6052,0.6700,0.6700,7.1000,0.0256
0.8262,1.7052,0.6700,0.6700,7.2000,0.0368
0.8265,1.8052,0.6700,0.6900,7.3000,0.0496
0.8263,1.9052,0.6700,0.6900,7.4000,0.0641
0.8255,2.0052,0.6700,0.6900,7.5000,0.0800
0.8239,2.1052,0.6800,0.6900,7.6000,0.0972
0.8214,2.2051,0.6800,0.6900,7.7000,0.1154
0.8176,2.3051,0.6800,0.6800,7.8000,0.1341
0.8125,2.4049,0.6900,0.6800,7.9000,0.1528
0.8060,2.5047,0.7000,0.6700,8.0000,0.1709
0.7977,2.6044,0.7000,0.6700,8.1000,0.1877
0.7875,2.7038,0.7200,0.6600,8.2000,0.2025
0.7753,2.8031,0.7300,0.6500,8.3000,0.2146
0.7610,2.9021,0.7500,0.6300,8.4000,0.2232
0.7445,3.0007,0.7700,0.6200,8.5000,0.2277
0.7257,3.0989,0.7900,0.6000,8.6000,0.2270
0.7047,3.1967,0.8100,0.5900,8.7000,0.2214
0.6816,3.2940,0.8400,0.5600,8.8000,0.2099
0.6564,3.3907,0.8700,0.5400,8.9000,0.1891
0.6294,3.4870,0.9100,0.5200,9.0000,0.1665
0.6008,3.5828,2.3300,0.4900,9.1000,0.1311
0.5710,3.6783,2.3100,0.4600,9.2000,0.0793
0.5404,3.7735,2.3000,0.4300,9.3000,0.0569
0.5092,3.8685,2.2800,0.3900,9.4000,-0.0409
0.4785,3.9637,2.2600,0.3600,9.5000,-0.1067
0.4487,4.0591,2.2500,0.3300,9.6000,-0.1691
0.4206,4.1551,2.2400,0.3000,9.7000,-0.2247
0.3946,4.2517,2.2200,0.2700,9.8000,-0.2569
0.3712,4.3489,2.2300,0.2400,9.9000,-0.2955
0.3506,4.4467,2.2100,0.2200,10.0000,-0.3308
0.3332,4.5452,2.2200,0.2000,10.1000,-0.3525
0.3194,4.6442,2.2200,0.1900,10.2000,-0.4901
0.3104,4.7438,2.2200,0.1800,10.3000,-0.5552
0.3069,4.8437,2.2400,0.1700,10.4000,-0.6932
0.3104,4.9436,2.2700,0.1800,10.5000,-0.8992
0.3228,5.0428,2.3700,0.1900,10.6000,-1.1611
0.3465,5.1399,2.5500,0.2200,10.7000,-1.4714
0.3841,5.2324,2.9700,0.2800,10.8000,-1.7493
0.4372,5.3170,3.0000,0.3400,10.9000,-1.9305
0.5053,5.3899,3.0000,0.3400,11.0000,-1.9570
0.5862,5.4484,3.0000,0.2600,11.1000,-1.7301
0.6759,5.4922,2.2200,0.2200,11.2000,-1.4645
0.7711,5.5225,2.9700,0.1800,11.3000,-1.1936
0.8693,5.5413,3.0000,0.1600,11.4000,-0.9735
0.9688,5.5506,3.0000,0.1400,11.5000,-0.8369
1.0687,5.5515,3.0000,0.1400,11.6000,-0.7672
1.1685,5.5447,3.0000,0.1500,11.7000,-0.7528
1.2674,5.5305,3.0000,0.1700,11.8000,-0.7555
1.3650,5.5088,3.0000,0.1900,11.9000,-0.7253
1.4608,5.4802,3.0000,0.2300,12.0000,-0.7353
1.5542,5.4446,3.0000,0.2500,12.1000,-0.7402
1.6448,5.4022,3.0000,0.3000,12.2000,-0.7491
1.7319,5.3532,3.0000,0.3700,12.3000,-0.7609
1.8150,5.2976,2.8700,0.4300,12.4000,-0.7662
1.8936,5.2359,2.7200,0.4400,12.5000,-0.7661
