# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.52698,3.16647,-1.76061,0.46901,0.40000,0.99000,3.30663
0.09998,0.50812,3.06829,-1.73944,0.42866,0.38000,1.01000,3.39964
0.19996,0.49342,2.96941,-1.69999,0.36012,0.36000,1.01000,3.49425
0.29994,0.48236,2.87004,-1.66556,0.32571,0.35000,1.02000,3.58773
0.39992,0.47451,2.77038,-1.63565,0.27436,0.34000,1.03000,3.68094
0.49990,0.46940,2.67053,-1.61037,0.22977,0.34000,1.03000,3.77205
0.59988,0.46660,2.57059,-1.58945,0.18745,0.33000,1.03000,3.86200
0.69986,0.46567,2.47062,-1.57245,0.15112,0.33000,1.03000,3.95047
0.79984,0.46627,2.37064,-1.55894,0.11760,0.33000,1.03000,4.03648
0.89982,0.46804,2.27067,-1.54843,0.09087,0.33000,1.03000,4.12010
0.99980,0.47074,2.17073,-1.54040,0.06784,0.34000,1.03000,4.20148
1.09978,0.47412,2.07081,-1.53426,0.05317,0.34000,1.03000,4.28077
1.19976,0.47804,1.97090,-1.52956,0.04062,0.34000,1.02000,4.35811
1.29974,0.48237,1.87102,-1.52612,0.02807,0.35000,1.02000,4.43360
1.39972,0.48697,1.77114,-1.52395,0.01552,0.35000,1.01000,4.50735
1.49970,0.49173,1.67128,-1.52305,0.00239,0.33000,1.01000,4.57947
1.59968,0.49651,1.57141,-1.52337,-0.01041,0.34000,1.00000,4.65003
1.69966,0.50121,1.47154,-1.52443,-0.01299,0.34000,1.00000,4.71912
1.79964,0.50578,1.37167,-1.52570,-0.01287,0.35000,0.99000,4.78680
1.89963,0.51022,1.27178,-1.52698,-0.01274,0.35000,0.99000,4.85316
1.99961,0.51454,1.17190,-1.52825,-0.01261,0.36000,0.99000,4.91824
2.09959,0.51873,1.07200,-1.52950,-0.01249,0.36000,0.96000,4.98211
2.19957,0.52280,0.97211,-1.53074,-0.01236,0.36000,0.95000,5.04483
2.29955,0.52674,0.87220,-1.53197,-0.01224,0.39000,0.95000,5.10643
2.39953,0.53056,0.77230,-1.53319,-0.01211,0.40000,0.94000,5.16696
2.49951,0.53425,0.67239,-1.53440,-0.01199,0.40000,0.94000,5.22647
2.59949,0.53783,0.57247,-1.53559,-0.01186,0.40000,0.94000,5.28501
2.69947,0.54129,0.47255,-1.53677,-0.01173,0.41000,0.93000,5.34260
2.79945,0.54464,0.37262,-1.53793,-0.01160,0.41000,0.93000,5.39928
2.89943,0.54786,0.27270,-1.53909,-0.01147,0.41000,0.93000,5.45508
2.99941,0.55098,0.17276,-1.54023,-0.01134,0.42000,0.92000,5.51004
3.09939,0.55397,0.07283,-1.54136,-0.01121,0.42000,0.92000,5.56418
3.19937,0.55686,-0.02711,-1.54247,-0.01108,0.42000,0.92000,5.61754
3.29935,0.55964,-0.12705,-1.54357,-0.01094,0.43000,0.91000,5.67014
