# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.48792,-9.80694,-1.57665,0.00235,0.35000,0.99000,7.39711
0.09995,0.48734,-9.90689,-1.57661,0.00025,0.35000,0.99000,7.25460
0.19990,0.48676,-10.00683,-1.57655,0.00081,0.35000,0.99000,7.10462
0.29985,0.48619,-10.10678,-1.57648,0.00065,0.35000,0.99000,6.94709
0.39980,0.48562,-10.20673,-1.57641,0.00069,0.35000,0.99000,6.78192
0.49974,0.48507,-10.30668,-1.57634,0.00067,0.35000,0.99000,6.71523
0.59969,0.48452,-10.40662,-1.57627,0.00067,0.35000,0.99000,6.64787
0.69964,0.48397,-10.50657,-1.57621,0.00066,0.35000,0.99000,6.57982
0.79959,0.48343,-10.60652,-1.57614,0.00066,0.35000,0.99000,6.51105
0.89954,0.48290,-10.70647,-1.57608,0.00065,0.35000,0.99000,6.44155
0.99949,0.48238,-10.80641,-1.57601,0.00065,0.35000,0.99000,6.37129
1.09944,0.48186,-10.90636,-1.57595,0.00064,0.35000,0.99000,6.30024
1.19939,0.48135,-11.00631,-1.57588,0.00064,0.35000,0.99000,6.22838
1.29934,0.48084,-11.10626,-1.57582,0.00063,0.35000,0.99000,6.15568
1.39929,0.48035,-11.20620,-1.57576,0.00063,0.35000,0.99000,6.08210
1.49923,0.47985,-11.30615,-1.57569,0.00062,0.35000,0.99000,6.00762
1.59918,0.47937,-11.40610,-1.57563,0.00062,0.35000,0.99000,5.93220
1.69913,0.47889,-11.50605,-1.57557,0.00061,0.34000,1.00000,5.85581
1.79908,0.47841,-11.60600,-1.57551,0.00061,0.34000,1.00000,5.77840
1.89903,0.47794,-11.70594,-1.57545,0.00060,0.34000,1.00000,5.69993
1.99898,0.47748,-11.80589,-1.57539,0.00060,0.34000,1.00000,5.62036
2.09893,0.47703,-11.90584,-1.57533,0.00059,0.34000,1.00000,5.53965
2.19888,0.47658,-12.00579,-1.57527,0.00058,0.34000,1.00000,5.45773
2.29883,0.47613,-12.10574,-1.57521,0.00057,0.34000,1.00000,5.37456
