# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# profile.py from raceline/iros2026/kb/raceline_tum_iqp_kb1.1.csv: a_lat 7.0 zones [] acc 4.5 brake 4.5 v_max 8.0 v_zones [] hairpin [0.9:4.5:1.2] -> 10.177 s
0.00000,0.48962,-9.81103,-1.57637,0.00069,0.36000,0.98000,6.79528
0.09977,0.48907,-9.91080,-1.57635,0.00019,0.35000,0.99000,6.72889
0.19955,0.48852,-10.01057,-1.57632,0.00031,0.35000,0.99000,6.66182
0.29932,0.48797,-10.11034,-1.57629,0.00027,0.35000,0.99000,6.59408
0.39909,0.48742,-10.21011,-1.57627,0.00027,0.35000,0.99000,6.52564
0.49886,0.48687,-10.30988,-1.57624,0.00026,0.35000,0.99000,6.45648
0.59864,0.48633,-10.40965,-1.57622,0.00025,0.35000,0.99000,6.38655
0.69841,0.48579,-10.50943,-1.57619,0.00024,0.35000,0.99000,6.31586
0.79818,0.48525,-10.60920,-1.57617,0.00023,0.35000,0.99000,6.24437
0.89796,0.48472,-10.70897,-1.57615,0.00022,0.35000,0.99000,6.17205
0.99773,0.48419,-10.80874,-1.57612,0.00021,0.35000,0.99000,6.09887
1.09750,0.48366,-10.90851,-1.57610,0.00020,0.35000,0.99000,6.02481
1.19727,0.48313,-11.00828,-1.57608,0.00020,0.35000,0.99000,5.94982
1.29705,0.48260,-11.10805,-1.57606,0.00019,0.35000,0.99000,5.87387
1.39682,0.48208,-11.20783,-1.57605,0.00018,0.35000,0.99000,5.79693
1.49659,0.48155,-11.30760,-1.57603,0.00017,0.35000,0.99000,5.71896
1.59637,0.48103,-11.40737,-1.57601,0.00016,0.35000,0.99000,5.63990
1.69614,0.48051,-11.50714,-1.57600,0.00015,0.35000,0.99000,5.55973
1.79591,0.47999,-11.60691,-1.57598,0.00014,0.35000,0.99000,5.47838
1.89568,0.47948,-11.70668,-1.57597,0.00013,0.35000,0.99000,5.39581
1.99546,0.47896,-11.80645,-1.57596,0.00012,0.34000,1.00000,5.31194
2.09523,0.47845,-11.90623,-1.57594,0.00011,0.34000,1.00000,5.22674
2.19500,0.47794,-12.00600,-1.57593,0.00010,0.34000,1.00000,5.14012
2.29477,0.47742,-12.10577,-1.57592,0.00009,0.34000,1.00000,5.05202
2.39455,0.47691,-12.20554,-1.57592,0.00008,0.34000,1.00000,4.96235
2.49432,0.47640,-12.30531,-1.57590,0.00014,0.34000,1.00000,4.87103
2.59409,0.47589,-12.40508,-1.57589,0.00023,0.34000,1.00000,4.77797
2.69387,0.47539,-12.50486,-1.57586,0.00031,0.34000,1.00000,4.68306
2.79364,0.47488,-12.60463,-1.57582,0.00039,0.34000,1.00000,4.58618
