# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# profile.py from raceline/iros2026/kb/raceline_tum_iqp_kb1.1_c2r25.csv: a_lat 7.0 zones [] acc 4.5 brake 4.5 v_max 8.0 v_zones [] hairpin [0.9:4.5:1.2] -> 10.254 s
0.00000,0.49142,-9.81299,-1.57838,0.00285,0.36000,0.98000,6.79506
0.09992,0.49066,-9.91290,-1.57834,0.00042,0.36000,0.98000,6.72857
0.19983,0.48991,-10.01281,-1.57825,0.00103,0.36000,0.98000,6.66142
0.29975,0.48917,-10.11273,-1.57815,0.00091,0.35000,0.99000,6.59357
0.39966,0.48844,-10.21264,-1.57806,0.00096,0.35000,0.99000,6.52503
0.49958,0.48772,-10.31255,-1.57796,0.00098,0.35000,0.99000,6.45575
0.59949,0.48701,-10.41246,-1.57786,0.00100,0.35000,0.99000,6.38573
0.69941,0.48631,-10.51238,-1.57776,0.00102,0.35000,0.99000,6.31493
0.79932,0.48562,-10.61229,-1.57766,0.00104,0.35000,0.99000,6.24333
0.89924,0.48494,-10.71220,-1.57755,0.00106,0.35000,0.99000,6.17089
0.99915,0.48427,-10.81212,-1.57745,0.00108,0.35000,0.99000,6.09760
1.09907,0.48361,-10.91203,-1.57734,0.00110,0.35000,0.99000,6.02341
1.19898,0.48296,-11.01194,-1.57723,0.00112,0.35000,0.99000,5.94830
1.29890,0.48232,-11.11186,-1.57712,0.00114,0.35000,0.99000,5.87222
1.39881,0.48170,-11.21177,-1.57700,0.00116,0.35000,0.99000,5.79515
1.49873,0.48108,-11.31168,-1.57688,0.00118,0.35000,0.99000,5.71704
1.59864,0.48048,-11.41160,-1.57677,0.00120,0.35000,0.99000,5.63785
1.69856,0.47989,-11.51151,-1.57665,0.00122,0.35000,0.99000,5.55753
1.79847,0.47931,-11.61142,-1.57652,0.00124,0.35000,0.99000,5.47603
1.89839,0.47874,-11.71134,-1.57640,0.00126,0.34000,1.00000,5.39330
1.99831,0.47819,-11.81125,-1.57627,0.00128,0.34000,1.00000,5.30927
2.09822,0.47765,-11.91116,-1.57614,0.00130,0.34000,1.00000,5.22391
2.19814,0.47712,-12.01108,-1.57601,0.00132,0.34000,1.00000,5.13711
2.29805,0.47661,-12.11099,-1.57588,0.00134,0.34000,1.00000,5.04884
2.39797,0.47611,-12.21091,-1.57574,0.00137,0.34000,1.00000,4.95898
2.49788,0.47562,-12.31082,-1.57560,0.00139,0.34000,1.00000,4.86748
2.59780,0.47515,-12.41073,-1.57547,0.00141,0.34000,1.00000,4.77421
2.69771,0.47469,-12.51065,-1.57532,0.00143,0.34000,1.00000,4.67909
2.79763,0.47424,-12.61056,-1.57518,0.00145,0.34000,1.00000,4.58199
2.89754,0.47381,-12.71048,-1.57503,0.00151,0.34000,1.00000,4.48279
2.99746,0.47340,-12.81039,-1.57488,0.00158,0.34000,1.00000,4.38134
3.09737,0.47300,-12.91031,-1.57469,0.00167,0.34000,1.00000,4.27749
3.19729,0.47262,-13.01022,-1.57421,0.00494,0.34000,1.00000,4.17106
3.29720,0.47231,-13.11014,-1.57261,0.02290,0.34000,1.00000,4.06200
3.39712,0.47226,-13.21005,-1.56879,0.05152,0.34000,1.00000,3.95051
3.49703,0.47271,-13.30996,-1.56212,0.08152,0.34000,1.00000,3.83675
3.59695,0.47399,-13.40987,-1.55232,0.11323,0.34000,1.00000,3.72078
3.69686,0.47641,-13.50976,-1.53897,0.15249,0.34000,1.00000,3.60302
3.79678,0.48035,-13.60959,-1.52166,0.19365,0.35000,1.00000,3.48348
3.89670,0.48622,-13.70933,-1.50027,0.23463,0.35000,0.99000,3.36190
3.99661,0.49443,-13.80891,-1.47477,0.27571,0.36000,0.98000,3.23781
4.09653,0.50538,-13.90822,-1.44515,0.31713,0.37000,0.98000,3.13611
4.19644,0.51947,-14.00713,-1.41135,0.35914,0.39000,0.97000,3.03757
4.29636,0.53710,-14.10547,-1.37333,0.40184,0.41000,0.96000,2.94217
4.39627,0.55866,-14.20302,-1.33100,0.44533,0.44000,0.94000,2.84979
4.49619,0.58454,-14.29952,-1.28427,0.48988,0.47000,0.93000,2.76024
4.59610,0.61512,-14.39463,-1.23301,0.53576,0.51000,0.91000,2.67329
4.69602,0.65074,-14.48797,-1.17709,0.58333,0.56000,0.89000,2.58861
4.79593,0.69173,-14.57907,-1.11630,0.63303,0.62000,0.87000,2.50588
4.89585,0.73841,-14.66739,-1.05041,0.68542,0.70000,0.85000,2.42471
4.99576,0.79101,-14.75231,-0.97911,0.74113,0.79000,0.82000,2.34466
