# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.61895,3.16820,-1.85870,0.33383,0.50221,0.89784,3.52077
0.10762,0.59025,3.06449,-1.82396,0.31434,0.47349,0.92652,3.63923
0.21398,0.56536,2.96108,-1.79125,0.30044,0.44688,0.95141,3.75126
0.31875,0.54409,2.85850,-1.76042,0.28693,0.42188,0.97269,3.85650
0.42216,0.52613,2.75666,-1.73123,0.27540,0.40313,0.99062,3.95617
0.52476,0.51119,2.65516,-1.70345,0.26534,0.38438,1.00313,4.05119
0.62677,0.49907,2.55388,-1.67686,0.25520,0.37188,1.00937,4.14207
0.72831,0.48964,2.45278,-1.65133,0.24728,0.35938,1.01562,4.22954
0.82946,0.48277,2.35186,-1.62673,0.23860,0.35313,1.02188,4.31354
0.93029,0.47835,2.25114,-1.60299,0.23240,0.34688,1.02812,4.39478
1.03087,0.47629,2.15057,-1.58002,0.22202,0.34688,1.02812,4.47301
1.13126,0.47650,2.05019,-1.55775,0.22920,0.34688,1.02812,4.54979
1.23145,0.47890,1.95003,-1.53614,0.17289,0.34688,1.02812,4.45375
1.33148,0.48343,1.85010,-1.51514,0.35572,0.35313,1.02188,4.43606
1.43139,0.49002,1.75041,-1.51479,-0.35334,0.33438,1.01562,4.41831
1.53102,0.49460,1.65090,-1.53454,-0.14936,0.34063,1.00937,4.42183
1.63040,0.49724,1.55155,-1.55341,-0.22036,0.34063,1.00937,4.50627
1.72974,0.49806,1.45221,-1.56678,-0.07510,0.34688,1.00313,4.58862
1.82913,0.49804,1.35282,-1.57123,0.01256,0.34688,1.00313,4.66908
1.92848,0.49797,1.25347,-1.57154,-0.00491,0.34063,1.00375,4.74769
2.02784,0.49789,1.15411,-1.57164,0.00041,0.34063,0.99475,4.82459
2.12722,0.49780,1.05474,-1.57175,-0.00217,0.34063,0.98438,4.89986
2.22657,0.49770,0.95539,-1.57185,-0.00023,0.34063,0.98438,4.97356
2.32594,0.49759,0.85602,-1.57190,-0.00053,0.35721,0.98438,5.04580
2.42530,0.49748,0.75665,-1.57193,-0.00007,0.36563,0.98438,5.11664
2.52467,0.49737,0.65728,-1.57196,-0.00040,0.36563,0.98438,5.18615
2.62405,0.49725,0.55790,-1.57198,-0.00016,0.36563,0.98438,5.25438
2.72340,0.49713,0.45855,-1.57200,-0.00021,0.36563,0.98438,5.32137
2.82278,0.49701,0.35917,-1.57202,-0.00019,0.36563,0.98438,5.38721
2.92218,0.49689,0.25977,-1.57204,-0.00022,0.36563,0.98438,5.45194
3.02155,0.49676,0.16040,-1.57206,-0.00015,0.36563,0.98438,5.51558
3.12094,0.49663,0.06102,-1.57209,-0.00037,0.36563,0.98438,5.57818
3.22035,0.49650,-0.03840,-1.57211,-0.00016,0.36563,0.98438,5.63981
3.31975,0.49637,-0.13780,-1.57213,-0.00021,0.36563,0.98438,5.70047
3.41914,0.49624,-0.23719,-1.57215,-0.00021,0.36563,0.98438,5.76021
3.51854,0.49610,-0.33659,-1.57217,-0.00015,0.36563,0.98438,5.81905
3.61798,0.49596,-0.43602,-1.57220,-0.00038,0.36563,0.98438,5.87705
3.71740,0.49582,-0.53545,-1.57222,-0.00017,0.36563,0.98438,5.93422
3.81682,0.49568,-0.63486,-1.57224,-0.00016,0.36563,0.98438,5.99058
3.91627,0.49554,-0.73432,-1.57227,-0.00038,0.36563,0.98438,6.04618
4.01571,0.49539,-0.83375,-1.57229,-0.00016,0.36563,0.98438,6.10101
4.11516,0.49524,-0.93320,-1.57231,-0.00018,0.36563,0.98438,6.15513
4.21462,0.49508,-1.03266,-1.57234,-0.00033,0.36563,0.98438,6.20854
4.31408,0.49493,-1.13212,-1.57237,-0.00032,0.36563,0.98438,6.26126
4.41356,0.49477,-1.23160,-1.57239,-0.00017,0.36563,0.98438,6.31332
4.51304,0.49461,-1.33109,-1.57241,-0.00018,0.36563,0.98438,6.36475
4.61253,0.49445,-1.43057,-1.57244,-0.00033,0.36563,0.98438,6.41554
4.71202,0.49428,-1.53007,-1.57247,-0.00032,0.36563,0.98438,6.46572
4.81154,0.49412,-1.62958,-1.57249,-0.00019,0.36563,0.98438,6.51532
4.91102,0.49395,-1.72907,-1.57251,-0.00017,0.36563,0.98438,6.56432
5.01054,0.49378,-1.82859,-1.57254,-0.00031,0.36563,0.98438,6.61278
5.11010,0.49360,-1.92815,-1.57257,-0.00035,0.36563,0.98438,6.66070
5.20963,0.49342,-2.02768,-1.57259,-0.00011,0.36563,0.98438,6.70808
5.30917,0.49324,-2.12722,-1.57262,-0.00039,0.36563,0.98438,6.75493
5.40874,0.49306,-2.22678,-1.57264,-0.00012,0.36563,0.98438,6.80129
5.50828,0.49287,-2.32633,-1.57267,-0.00034,0.36563,0.98438,6.84714
5.60785,0.49269,-2.42590,-1.57270,-0.00032,0.36563,0.98438,6.89252
5.70744,0.49250,-2.52549,-1.57272,-0.00019,0.36563,0.90487,6.93743
5.80704,0.49230,-2.62508,-1.57274,-0.00012,0.36563,0.81677,6.98188
5.90663,0.49211,-2.72467,-1.57277,-0.00054,0.36563,0.73163,7.02587
6.00624,0.49191,-2.82428,-1.57280,-0.00012,0.36563,0.65060,7.06943
6.10585,0.49171,-2.92389,-1.57282,-0.00019,0.35938,0.57543,7.11256
6.20549,0.49150,-3.02353,-1.57285,-0.00032,0.35938,0.50871,7.15527
6.30512,0.49130,-3.12317,-1.57288,-0.00035,0.35938,0.45422,7.19757
