# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.61898,3.16820,-1.85872,0.33372,0.50224,0.89781,3.52081
0.10761,0.59028,3.06449,-1.82398,0.31467,0.47351,0.92649,3.63929
0.21398,0.56539,2.96108,-1.79127,0.30000,0.44688,0.95138,3.75125
0.31875,0.54411,2.85850,-1.76044,0.28715,0.42188,0.97266,3.85659
0.42216,0.52615,2.75666,-1.73125,0.27559,0.40313,0.99062,3.95620
0.52476,0.51121,2.65516,-1.70347,0.26489,0.38438,1.00313,4.05117
0.62676,0.49909,2.55388,-1.67688,0.25565,0.37188,1.00937,4.14217
0.72831,0.48966,2.45278,-1.65134,0.24706,0.35938,1.01562,4.22952
0.82946,0.48278,2.35186,-1.62675,0.23844,0.35313,1.02188,4.31358
0.93029,0.47836,2.25114,-1.60301,0.23266,0.34688,1.02812,4.39486
1.03087,0.47630,2.15057,-1.58003,0.22232,0.34688,1.02812,4.47301
1.13126,0.47650,2.05019,-1.55777,0.22717,0.34688,1.02812,4.54971
1.23145,0.47891,1.95003,-1.53617,0.18073,0.34688,1.02812,4.62065
1.33148,0.48344,1.85010,-1.51516,0.32575,0.35313,1.02188,4.63559
1.43139,0.49002,1.75041,-1.51053,-0.24066,0.33438,1.01562,4.61703
1.53104,0.49545,1.65092,-1.52192,-0.05426,0.34063,1.00937,4.67898
1.63044,0.49975,1.55161,-1.53703,-0.22288,0.34688,1.00313,4.75741
1.72978,0.50216,1.45230,-1.55537,-0.19672,0.34688,1.00313,4.83394
1.82916,0.50282,1.35292,-1.56790,-0.06166,0.34688,1.00313,4.89957
1.92852,0.50274,1.25356,-1.57203,0.00107,0.34688,0.99904,4.97328
2.02789,0.50257,1.15419,-1.57249,0.00025,0.34688,0.99008,5.04554
2.12727,0.50240,1.05481,-1.57246,0.00036,0.34688,0.97813,5.11639
2.22663,0.50224,0.95545,-1.57246,-0.00051,0.34688,0.97813,5.18589
2.32600,0.50207,0.85608,-1.57249,-0.00014,0.36167,0.97813,5.25413
2.42537,0.50190,0.75670,-1.57251,-0.00016,0.37188,0.97813,5.32114
2.52475,0.50173,0.65733,-1.57253,-0.00041,0.37188,0.97813,5.38698
2.62414,0.50156,0.55794,-1.57255,0.00001,0.37188,0.97813,5.45171
2.72350,0.50138,0.45858,-1.57257,-0.00025,0.37188,0.97813,5.51534
2.82288,0.50121,0.35920,-1.57259,-0.00018,0.37188,0.97813,5.57795
2.92229,0.50103,0.25979,-1.57261,-0.00020,0.37188,0.97813,5.63958
3.02167,0.50085,0.16041,-1.57263,-0.00026,0.37188,0.97813,5.70023
3.12105,0.50066,0.06103,-1.57264,0.00003,0.37188,0.97813,5.75996
3.22048,0.50048,-0.03839,-1.57266,-0.00042,0.37188,0.97813,5.81882
3.31988,0.50029,-0.13780,-1.57269,-0.00020,0.37188,0.97813,5.87681
3.41928,0.50010,-0.23719,-1.57270,-0.00000,0.37188,0.97813,5.93396
3.51868,0.49991,-0.33660,-1.57272,-0.00039,0.37188,0.97813,5.99032
3.61812,0.49972,-0.43604,-1.57275,-0.00021,0.37188,0.97813,6.04591
3.71754,0.49952,-0.53546,-1.57276,0.00002,0.37188,0.97813,6.10075
3.81697,0.49933,-0.63489,-1.57278,-0.00046,0.37188,0.97813,6.15485
3.91642,0.49913,-0.73434,-1.57280,0.00005,0.37188,0.97813,6.20826
4.01586,0.49893,-0.83378,-1.57282,-0.00037,0.37188,0.97813,6.26097
4.11532,0.49873,-0.93324,-1.57285,-0.00037,0.37188,0.97813,6.31303
4.21478,0.49852,-1.03270,-1.57287,0.00005,0.37188,0.97813,6.36444
4.31424,0.49831,-1.13216,-1.57289,-0.00043,0.37188,0.97813,6.41523
4.41373,0.49810,-1.23164,-1.57292,-0.00013,0.37188,0.97813,6.46541
4.51322,0.49789,-1.33113,-1.57294,-0.00024,0.36563,0.98438,6.51500
4.61270,0.49768,-1.43062,-1.57296,-0.00013,0.36563,0.98438,6.56401
4.71220,0.49746,-1.53011,-1.57298,-0.00044,0.36563,0.98438,6.61245
4.81172,0.49724,-1.62963,-1.57300,0.00012,0.36563,0.98438,6.66036
4.91121,0.49702,-1.72912,-1.57303,-0.00066,0.36563,0.98438,6.70772
5.01073,0.49680,-1.82864,-1.57305,0.00015,0.36563,0.98438,6.75457
5.11029,0.49657,-1.92820,-1.57307,-0.00048,0.36563,0.98438,6.80093
