# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# profile.py from raceline/iros2026/mt/geom_kb1.2_z4041.csv: a_lat 7.0 zones [] acc 5.0 brake 5.5 v_max 8.5 v_zones [] hairpin [] -> 9.588 s
0.00000,0.77272,3.15775,-1.58732,0.32753,0.64000,0.73000,2.98868
0.09992,0.77107,3.05785,-1.57594,0.23522,0.64000,0.73000,3.11317
0.19983,0.77170,2.95794,-1.55912,0.09955,0.64000,0.73000,3.23665
0.29975,0.77341,2.85804,-1.55220,0.01979,0.64000,0.73000,3.35996
0.39966,0.77541,2.75814,-1.55056,-0.00040,0.64000,0.72000,3.47919
0.49958,0.77745,2.65825,-1.55040,0.00032,0.64000,0.72000,3.59362
0.59949,0.77949,2.55835,-1.55044,-0.00075,0.65000,0.72000,3.70367
0.69941,0.78152,2.45846,-1.55057,-0.00186,0.65000,0.72000,3.80977
0.79932,0.78353,2.35856,-1.55082,-0.00304,0.65000,0.72000,3.91224
0.89924,0.78551,2.25867,-1.55118,-0.00420,0.65000,0.71000,4.01140
0.99916,0.78745,2.15877,-1.55166,-0.00536,0.65000,0.71000,4.10751
1.09907,0.78933,2.05887,-1.55225,-0.00652,0.66000,0.71000,4.20079
1.19899,0.79115,1.95897,-1.55296,-0.00768,0.66000,0.71000,4.29145
1.29890,0.79290,1.85907,-1.55378,-0.00884,0.66000,0.71000,4.37966
1.39882,0.79455,1.75917,-1.55472,-0.00990,0.64000,0.70000,4.46558
1.49873,0.79611,1.65927,-1.55574,-0.01061,0.64000,0.70000,4.54935
1.59865,0.79756,1.55936,-1.55683,-0.01125,0.64000,0.70000,4.63112
1.69857,0.79890,1.45946,-1.55797,-0.01177,0.64000,0.70000,4.71098
1.79848,0.80013,1.35955,-1.55914,-0.01176,0.64000,0.70000,4.78904
1.89840,0.80123,1.25964,-1.56031,-0.01162,0.64000,0.70000,4.86542
1.99831,0.80222,1.15973,-1.56146,-0.01148,0.64000,0.70000,4.94019
2.09823,0.80310,1.05982,-1.56260,-0.01134,0.64000,0.67000,5.01344
2.19814,0.80386,0.95990,-1.56373,-0.01120,0.64000,0.67000,5.08523
2.29806,0.80451,0.85999,-1.56484,-0.01106,0.67000,0.67000,5.15565
2.39797,0.80505,0.76008,-1.56594,-0.01092,0.67000,0.67000,5.22474
2.49789,0.80548,0.66016,-1.56702,-0.01078,0.67000,0.67000,5.29258
2.59781,0.80580,0.56025,-1.56809,-0.01064,0.67000,0.67000,5.35922
2.69772,0.80602,0.46033,-1.56915,-0.01049,0.67000,0.67000,5.42469
2.79764,0.80613,0.36042,-1.57019,-0.01035,0.67000,0.67000,5.48907
2.89755,0.80614,0.26050,-1.57122,-0.01020,0.67000,0.67000,5.55237
2.99747,0.80605,0.16058,-1.57223,-0.01006,0.67000,0.67000,5.61466
3.09738,0.80586,0.06067,-1.57323,-0.00991,0.67000,0.67000,5.67596
3.19730,0.80556,-0.03925,-1.57421,-0.00977,0.67000,0.67000,5.73632
3.29721,0.80518,-0.13916,-1.57518,-0.00962,0.67000,0.67000,5.79576
3.39713,0.80469,-0.23908,-1.57613,-0.00947,0.67000,0.67000,5.85432
3.49705,0.80411,-0.33899,-1.57707,-0.00933,0.67000,0.67000,5.91204
3.59696,0.80344,-0.43890,-1.57799,-0.00918,0.67000,0.67000,5.96892
3.69688,0.80267,-0.53882,-1.57890,-0.00903,0.67000,0.67000,6.02502
3.79679,0.80182,-0.63873,-1.57980,-0.00889,0.67000,0.67000,6.08034
3.89671,0.80087,-0.73864,-1.58068,-0.00874,0.67000,0.67000,6.13492
3.99662,0.79984,-0.83855,-1.58155,-0.00860,0.67000,0.67000,6.18878
4.09654,0.79872,-0.93846,-1.58240,-0.00845,0.66000,0.68000,6.24194
4.19645,0.79752,-1.03837,-1.58324,-0.00831,0.66000,0.68000,6.29442
4.29637,0.79624,-1.13827,-1.58406,-0.00817,0.66000,0.68000,6.34624
4.39629,0.79487,-1.23818,-1.58487,-0.00802,0.66000,0.68000,6.39742
4.49620,0.79343,-1.33809,-1.58566,-0.00788,0.66000,0.68000,6.44798
4.59612,0.79190,-1.43799,-1.58644,-0.00773,0.66000,0.68000,6.49793
4.69603,0.79030,-1.53789,-1.58721,-0.00759,0.66000,0.68000,6.54729
4.79595,0.78862,-1.63779,-1.58796,-0.00744,0.65000,0.69000,6.59609
4.89586,0.78687,-1.73769,-1.58869,-0.00730,0.65000,0.69000,6.64432
4.99578,0.78505,-1.83759,-1.58942,-0.00715,0.65000,0.69000,6.69201
5.09570,0.78315,-1.93749,-1.59012,-0.00701,0.65000,0.69000,6.73917
5.19561,0.78118,-2.03739,-1.59082,-0.00686,0.65000,0.69000,6.78581
5.29553,0.77915,-2.13728,-1.59150,-0.00672,0.65000,0.70000,6.83195
5.39544,0.77705,-2.23717,-1.59216,-0.00658,0.64000,0.70000,6.87760
5.49536,0.77488,-2.33707,-1.59281,-0.00643,0.64000,0.70000,6.92277
5.59527,0.77265,-2.43696,-1.59345,-0.00629,0.64000,0.70000,6.96747
5.69519,0.77035,-2.53685,-1.59407,-0.00614,0.64000,0.70000,7.01171
5.79510,0.76800,-2.63673,-1.59467,-0.00600,0.63000,0.71000,7.05550
5.89502,0.76558,-2.73662,-1.59527,-0.00586,0.63000,0.71000,7.09886
5.99494,0.76311,-2.83651,-1.59584,-0.00571,0.63000,0.71000,7.14179
6.09485,0.76058,-2.93639,-1.59641,-0.00557,0.63000,0.71000,7.18430
6.19477,0.75799,-3.03627,-1.59696,-0.00543,0.62000,0.72000,7.22640
6.29468,0.75535,-3.13615,-1.59749,-0.00528,0.62000,0.72000,7.26810
6.39460,0.75266,-3.23603,-1.59801,-0.00514,0.62000,0.72000,7.30941
6.49451,0.74991,-3.33591,-1.59852,-0.00499,0.62000,0.72000,7.35034
6.59443,0.74712,-3.43579,-1.59901,-0.00485,0.61000,0.73000,7.39088
6.69434,0.74428,-3.53566,-1.59949,-0.00470,0.61000,0.73000,7.43106
6.79426,0.74139,-3.63553,-1.59995,-0.00456,0.61000,0.73000,7.47088
6.89418,0.73845,-3.73541,-1.60040,-0.00441,0.60000,0.74000,7.51034
6.99409,0.73547,-3.83528,-1.60083,-0.00427,0.60000,0.74000,7.54946
7.09401,0.73245,-3.93515,-1.60125,-0.00412,0.60000,0.74000,7.58823
7.19392,0.72939,-4.03502,-1.60165,-0.00398,0.60000,0.75000,7.62667
7.29384,0.72629,-4.13488,-1.60204,-0.00383,0.59000,0.75000,7.66478
7.39375,0.72314,-4.23475,-1.60242,-0.00369,0.59000,0.75000,7.70257
7.49367,0.71997,-4.33462,-1.60278,-0.00354,0.59000,0.75000,7.74004
7.59358,0.71675,-4.43448,-1.60313,-0.00340,0.58000,0.76000,7.77720
7.69350,0.71351,-4.53434,-1.60346,-0.00325,0.58000,0.76000,7.81406
7.79342,0.71023,-4.63420,-1.60378,-0.00311,0.58000,0.76000,7.85062
7.89333,0.70692,-4.73406,-1.60408,-0.00297,0.57000,0.77000,7.88688
7.99325,0.70358,-4.83392,-1.60437,-0.00282,0.57000,0.77000,7.92285
8.09316,0.70021,-4.93378,-1.60465,-0.00268,0.57000,0.77000,7.95853
8.19308,0.69681,-5.03364,-1.60491,-0.00253,0.56000,0.78000,7.99394
8.29299,0.69339,-5.13350,-1.60515,-0.00239,0.56000,0.78000,8.02907
8.39291,0.68995,-5.23335,-1.60538,-0.00224,0.56000,0.78000,8.06393
8.49283,0.68648,-5.33321,-1.60560,-0.00210,0.55000,0.79000,8.09853
8.59274,0.68300,-5.43306,-1.60580,-0.00195,0.55000,0.79000,8.13286
8.69266,0.67949,-5.53292,-1.60599,-0.00181,0.55000,0.80000,8.16693
8.79257,0.67597,-5.63277,-1.60616,-0.00166,0.54000,0.80000,8.20075
8.89249,0.67242,-5.73263,-1.60632,-0.00152,0.54000,0.80000,8.23432
8.99240,0.66887,-5.83248,-1.60647,-0.00138,0.53000,0.81000,8.26764
9.09232,0.66530,-5.93233,-1.60660,-0.00123,0.53000,0.81000,8.30072
9.19223,0.66172,-6.03218,-1.60671,-0.00109,0.53000,0.81000,8.33356
