# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.48331,-9.80336,-1.57997,0.00029,0.35313,0.99687,8.00000
0.09979,0.48240,-9.90315,-1.57987,0.00046,0.35313,0.99687,8.00000
0.19959,0.48150,-10.00294,-1.57966,0.00391,0.35313,0.99687,7.93104
0.29939,0.48063,-10.10274,-1.57941,0.00203,0.35313,0.99687,7.83476
0.39919,0.47978,-10.20253,-1.57926,-0.00004,0.35313,0.99687,7.73810
0.49898,0.47894,-10.30232,-1.57906,0.00417,0.34688,1.00313,7.64109
0.59877,0.47813,-10.40211,-1.57881,0.00145,0.34688,1.00313,7.54362
0.69858,0.47734,-10.50191,-1.57861,0.00211,0.34688,1.00313,7.44571
0.79837,0.47657,-10.60170,-1.57841,0.00210,0.34688,1.00313,7.34734
0.89816,0.47582,-10.70149,-1.57821,0.00154,0.34688,1.00313,7.24847
0.99796,0.47509,-10.80129,-1.57796,0.00384,0.34688,1.00313,7.14911
1.09776,0.47439,-10.90108,-1.57771,0.00111,0.34688,1.00313,7.04916
1.19756,0.47371,-11.00088,-1.57746,0.00379,0.34688,1.00313,6.94868
1.29735,0.47306,-11.10067,-1.57721,0.00175,0.34688,1.00313,6.84755
1.39714,0.47243,-11.20046,-1.57701,0.00124,0.34063,1.00937,6.74577
1.49694,0.47182,-11.30026,-1.57671,0.00536,0.34063,1.00937,6.64336
1.59674,0.47125,-11.40005,-1.57641,0.00137,0.34063,1.00937,6.54017
1.69654,0.47070,-11.49985,-1.57621,0.00124,0.34063,1.00937,6.43622
1.79633,0.47017,-11.59964,-1.57591,0.00570,0.34063,1.00937,6.33150
1.89613,0.46968,-11.69944,-1.57561,0.00008,0.34063,1.00937,6.22588
1.99592,0.46921,-11.79923,-1.57531,0.00601,0.34063,1.00937,6.11939
2.09572,0.46878,-11.89903,-1.57500,0.00001,0.34063,1.00937,6.01189
2.19551,0.46837,-11.99882,-1.57470,0.00599,0.34063,1.00937,5.90339
2.29531,0.46800,-12.09862,-1.57440,0.00016,0.34063,1.00937,5.79377
2.39510,0.46765,-12.19841,-1.57410,0.00540,0.34063,1.00937,5.68300
2.49491,0.46734,-12.29821,-1.57375,0.00235,0.34063,1.00937,5.57095
2.59471,0.46706,-12.39801,-1.57345,0.00327,0.34063,1.00937,5.45760
2.69450,0.46681,-12.49780,-1.57315,0.00262,0.34063,1.00937,5.34280
2.79430,0.46659,-12.59760,-1.57280,0.00432,0.33438,1.01562,5.22651
2.89409,0.46641,-12.69739,-1.57240,0.00419,0.33438,1.01562,5.10856
2.99389,0.46627,-12.79719,-1.57195,0.00304,0.33438,1.01562,4.98884
3.09369,0.46618,-12.89699,-1.57100,0.01379,0.33438,1.01562,4.86738
3.19348,0.46623,-12.99678,-1.56889,0.02616,0.33438,1.01562,4.74420
3.29328,0.46656,-13.09658,-1.56503,0.05025,0.33438,1.01562,4.62004
3.39307,0.46738,-13.19637,-1.55912,0.06806,0.34063,1.00937,4.49467
3.49287,0.46889,-13.29616,-1.55105,0.09316,0.34063,1.00937,4.36890
3.59266,0.47132,-13.39592,-1.54063,0.11380,0.34063,1.00937,4.24226
3.69246,0.47491,-13.49565,-1.52729,0.15076,0.34688,1.00313,4.11706
3.79226,0.48000,-13.59532,-1.51038,0.18755,0.35313,1.00313,3.99374
3.89205,0.48696,-13.69487,-1.48964,0.22797,0.35938,0.99687,3.87335
3.99185,0.49618,-13.79424,-1.46497,0.26652,0.37188,0.99062,3.75574
4.09164,0.50804,-13.89332,-1.43640,0.30620,0.38438,0.97813,3.64120
4.19144,0.52292,-13.99200,-1.40390,0.34428,0.39688,0.96886,3.52914
4.29124,0.54119,-14.09010,-1.36733,0.38909,0.42188,0.95058,3.42140
4.39103,0.56324,-14.18742,-1.32667,0.42533,0.44647,0.92853,3.31465
4.49083,0.58942,-14.28372,-1.28181,0.47314,0.47267,0.90236,3.21239
4.59063,0.62010,-14.37867,-1.23256,0.51340,0.50341,0.87171,3.11095
4.69042,0.65562,-14.47192,-1.17875,0.56514,0.53893,0.83620,3.01407
4.79022,0.69632,-14.56302,-1.12024,0.60671,0.57955,0.79545,2.91599
4.89001,0.74248,-14.65148,-1.05674,0.66413,0.62581,0.74937,2.82213
4.98981,0.79439,-14.73669,-0.98779,0.71881,0.67762,0.69738,2.72975
5.08961,0.85227,-14.81796,-0.91323,0.77355,0.73552,0.63952,2.63618
5.18941,0.91626,-14.89451,-0.83252,0.84279,0.79952,0.57640,2.54593
5.28920,0.98644,-14.96541,-0.74501,0.91031,0.86967,0.51570,2.45491
5.38899,1.06277,-15.02964,-0.65015,0.98955,0.94603,0.46041,2.36522
5.48879,1.14506,-15.08603,-0.54707,1.07389,1.02829,0.41252,2.27456
5.58859,1.23291,-15.13327,-0.43467,1.17714,1.11615,0.37460,2.18951
5.68839,1.32568,-15.16989,-0.31225,1.28466,1.20893,0.34939,2.11182
5.78819,1.42234,-15.19442,-0.18236,1.35676,1.30559,0.32188,2.10293
5.88798,1.52139,-15.20598,-0.05363,1.25784,1.21753,0.34351,2.09400
5.98777,1.62112,-15.20509,0.06608,1.14414,1.12891,0.35813,2.17728
6.08757,1.72011,-15.19283,0.17536,1.04504,1.04590,0.38790,2.26431
6.18737,1.81730,-15.17033,0.27507,0.95040,0.96888,0.43021,2.35219
6.28716,1.91191,-15.13870,0.36637,0.87770,0.89824,0.48210,2.44265
6.38696,2.00341,-15.09892,0.45014,0.80071,0.83437,0.54103,2.53043
6.48675,2.09143,-15.05195,0.52693,0.73678,0.77658,0.59921,2.62053
6.58655,2.17577,-14.99864,0.59731,0.67262,0.72506,0.65033,2.71024
6.68635,2.25634,-14.93978,0.66168,0.61782,0.67916,0.69628,2.80168
6.78614,2.33314,-14.87608,0.72020,0.55453,0.63950,0.73647,2.89318
6.88594,2.40629,-14.80821,0.77310,0.50449,0.60394,0.77133,2.98864
6.98574,2.47594,-14.73675,0.82063,0.44929,0.57355,0.80186,3.08467
7.08553,2.54232,-14.66224,0.86269,0.39315,0.54790,0.82804,3.18352
7.18533,2.60572,-14.58518,0.89939,0.34160,0.52558,0.85001,3.28558
7.28513,2.66646,-14.50600,0.93086,0.29005,0.49540,0.86890,3.38981
7.38492,2.72489,-14.42510,0.95701,0.23345,0.47813,0.88438,3.49618
7.48472,2.78141,-14.34285,0.97790,0.18530,0.45938,0.89906,3.60522
7.58452,2.83641,-14.25958,0.99352,0.12817,0.44063,0.90312,3.71504
7.68431,2.89033,-14.17561,1.00381,0.07743,0.43438,0.92136,3.82598
7.78411,2.94361,-14.09122,1.00878,0.02323,0.42813,0.93138,3.93626
7.88390,2.99669,-14.00672,1.00835,-0.03309,0.42188,0.93437,4.04462
7.98370,3.05004,-13.92238,1.00268,-0.07987,0.41308,0.95112,4.14900
8.08350,3.10408,-13.83848,0.99167,-0.14044,0.39063,0.96314,4.24732
8.18329,3.15927,-13.75534,0.97548,-0.18884,0.39063,0.97513,4.33491
8.28309,3.21600,-13.67323,0.95561,-0.22037,0.41563,0.96167,4.40874
8.38288,3.27445,-13.59235,0.93501,-0.20365,0.43337,0.94591,4.46890
8.48268,3.33451,-13.51265,0.91661,-0.16773,0.43438,0.92188,4.53162
8.58248,3.39590,-13.43397,0.90144,-0.13524,0.45923,0.91563,4.60203
8.68227,3.45835,-13.35613,0.88943,-0.10614,0.46563,0.90878,4.67720
8.78207,3.52161,-13.27895,0.88066,-0.06971,0.46563,0.89687,4.75510
8.88187,3.58542,-13.20221,0.87519,-0.03930,0.47813,0.88438,4.83553
8.98166,3.64952,-13.12573,0.87288,-0.00759,0.49688,0.87187,4.89451
9.08146,3.71368,-13.04929,0.87383,0.02647,0.50655,0.85938,4.77183
9.18126,3.77764,-12.97268,0.87810,0.05984,0.51545,0.85938,4.64895
9.28105,3.84114,-12.89570,0.88558,0.08979,0.52187,0.85313,4.52649
9.38085,3.90395,-12.81814,0.89627,0.12398,0.53437,0.83437,4.40574
9.48064,3.96579,-12.73982,0.91026,0.15663,0.54688,0.83194,4.28710
9.58044,4.02640,-12.66054,0.92753,0.18957,0.56032,0.80937,4.17111
9.68023,4.08550,-12.58013,0.94803,0.22139,0.57533,0.80353,4.05783
9.78003,4.14281,-12.49843,0.97177,0.25420,0.59062,0.78631,3.94770
9.87983,4.19803,-12.41530,0.99879,0.28748,0.61250,0.76562,3.84102
9.97963,4.25084,-12.33063,1.02908,0.31908,0.63494,0.74410,3.73724
10.07942,4.30092,-12.24432,1.06271,0.35532,0.66046,0.71840,3.63800
10.17921,4.34792,-12.15629,1.09969,0.38546,0.68953,0.68944,3.54080
10.27902,4.39149,-12.06651,1.14003,0.42315,0.72230,0.65687,3.44864
10.37881,4.43124,-11.97498,1.18379,0.45396,0.75876,0.62010,3.35814
10.47860,4.46679,-11.88175,1.23102,0.49192,0.79966,0.57947,3.27239
10.57840,4.49773,-11.78688,1.28189,0.52756,0.84477,0.53940,3.19010
10.67820,4.52363,-11.69051,1.33652,0.56705,0.89401,0.50196,3.11364
10.77799,4.54404,-11.59284,1.39503,0.60486,0.93593,0.45556,3.04268
10.87779,4.55851,-11.49411,1.45760,0.65073,0.99117,0.42188,2.98939
10.97759,4.56657,-11.39466,1.52370,0.68081,1.05575,0.40387,2.96482
11.07738,4.56790,-11.29490,1.59141,0.68837,1.08283,0.39063,2.95233
11.17717,4.56246,-11.19527,1.65769,0.64856,1.01628,0.41269,2.93980
11.27698,4.55059,-11.09619,1.72039,0.60770,0.95458,0.44058,2.98752
11.37677,4.53273,-10.99802,1.77929,0.57268,0.89772,0.48252,3.04571
11.47657,4.50930,-10.90103,1.83450,0.53371,0.84581,0.53333,3.10831
11.57637,4.48073,-10.80542,1.88611,0.50030,0.79831,0.58058,3.17647
11.67616,4.44743,-10.71136,1.93431,0.46514,0.75547,0.62369,3.24713
11.77595,4.40979,-10.61894,1.97924,0.43534,0.71660,0.66226,3.32106
11.87575,4.36818,-10.52824,2.02095,0.40080,0.68199,0.69708,3.39624
11.97555,4.32297,-10.43928,2.05948,0.37100,0.65106,0.72801,3.47459
12.07534,4.27450,-10.35205,2.09492,0.33913,0.62354,0.75532,3.55451
12.17514,4.22310,-10.26651,2.12733,0.31057,0.59688,0.77949,3.63677
12.27494,4.16908,-10.18260,2.15670,0.27775,0.57848,0.80075,3.72041
12.37473,4.11275,-10.10023,2.18309,0.25124,0.55997,0.81909,3.80662
12.47453,4.05438,-10.01929,2.20651,0.21841,0.53294,0.83830,3.89369
12.57433,3.99425,-9.93964,2.22690,0.18983,0.51261,0.86632,3.98304
12.67412,3.93263,-9.86115,2.24436,0.15998,0.50126,0.86562,4.07348
12.77391,3.86976,-9.78365,2.25886,0.13103,0.48438,0.88872,4.16505
12.87371,3.80588,-9.70697,2.27039,0.09966,0.47813,0.88438,4.25726
12.97351,3.74124,-9.63094,2.27899,0.07279,0.47188,0.90312,4.34998
13.07331,3.67605,-9.55537,2.28464,0.04109,0.46563,0.90938,4.44222
13.17310,3.61056,-9.48008,2.28723,0.00991,0.45313,0.90312,4.53375
13.27290,3.54498,-9.40485,2.28692,-0.01610,0.44063,0.91563,4.62365
13.37270,3.47953,-9.32951,2.28368,-0.04808,0.42813,0.92812,4.71098
13.47250,3.41444,-9.25386,2.27743,-0.07778,0.42813,0.93437,4.79451
13.57229,3.34994,-9.17771,2.26822,-0.10671,0.42813,0.94063,4.87290
13.67208,3.28626,-9.10088,2.25605,-0.13719,0.40938,0.94688,4.94454
13.77188,3.22363,-9.02318,2.24094,-0.16605,0.39688,0.96959,5.00687
13.87168,3.16230,-8.94446,2.22294,-0.19414,0.39688,0.97678,5.00533
13.97147,3.10251,-8.86456,2.20203,-0.22633,0.40313,0.95937,4.94583
14.07127,3.04452,-8.78334,2.17871,-0.24537,0.40938,0.95465,4.90761
14.17107,2.98852,-8.70074,2.15417,-0.25123,0.40938,0.94063,4.88695
14.27086,2.93459,-8.61678,2.12962,-0.24208,0.43335,0.94199,4.86620
14.37066,2.88271,-8.53153,2.10556,-0.23983,0.43029,0.93437,4.87585
14.47045,2.83288,-8.44507,2.08201,-0.23284,0.42813,0.92812,4.88704
14.57025,2.78507,-8.35747,2.05905,-0.22628,0.44806,0.94063,4.90464
14.67005,2.73926,-8.26881,2.03651,-0.22575,0.47854,0.92251,4.92660
14.76984,2.69545,-8.17915,2.01441,-0.21799,0.52139,0.87872,4.94696
