# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.48331,-9.80336,-1.57991,0.00120,0.35000,0.99000,7.39596
0.09980,0.48240,-9.90315,-1.57982,0.00200,0.35000,0.99000,7.25325
0.19959,0.48150,-10.00294,-1.57964,0.00181,0.35000,0.99000,7.10308
0.29939,0.48063,-10.10274,-1.57945,0.00196,0.35000,0.99000,6.94536
0.39918,0.47978,-10.20253,-1.57925,0.00198,0.35000,0.99000,6.78002
0.49898,0.47894,-10.30232,-1.57905,0.00205,0.34000,1.00000,6.71342
0.59878,0.47813,-10.40211,-1.57884,0.00210,0.34000,1.00000,6.64615
0.69857,0.47734,-10.50191,-1.57863,0.00216,0.34000,1.00000,6.57819
0.79837,0.47657,-10.60170,-1.57841,0.00222,0.34000,1.00000,6.50952
0.89817,0.47582,-10.70149,-1.57819,0.00228,0.34000,1.00000,6.44012
0.99796,0.47509,-10.80129,-1.57796,0.00234,0.34000,1.00000,6.36995
1.09776,0.47439,-10.90108,-1.57772,0.00240,0.34000,1.00000,6.29901
1.19755,0.47371,-11.00088,-1.57748,0.00247,0.34000,1.00000,6.22725
1.29735,0.47306,-11.10067,-1.57723,0.00253,0.34000,1.00000,6.15465
1.39715,0.47243,-11.20046,-1.57697,0.00259,0.34000,1.00000,6.08118
1.49694,0.47182,-11.30026,-1.57671,0.00265,0.34000,1.00000,6.00681
1.59674,0.47125,-11.40005,-1.57644,0.00271,0.34000,1.00000,5.93150
1.69654,0.47070,-11.49985,-1.57617,0.00277,0.34000,1.00000,5.85522
1.79633,0.47017,-11.59964,-1.57589,0.00282,0.34000,1.00000,5.77793
1.89613,0.46968,-11.69944,-1.57561,0.00288,0.34000,1.00000,5.69959
1.99592,0.46921,-11.79923,-1.57532,0.00294,0.33000,1.01000,5.62014
2.09572,0.46878,-11.89903,-1.57502,0.00300,0.33000,1.01000,5.53956
2.19552,0.46837,-11.99882,-1.57472,0.00306,0.33000,1.01000,5.45777
2.29531,0.46800,-12.09862,-1.57441,0.00311,0.33000,1.01000,5.37473
2.39511,0.46765,-12.19841,-1.57410,0.00317,0.33000,1.01000,5.29038
2.49491,0.46734,-12.29821,-1.57378,0.00323,0.33000,1.01000,5.20466
2.59470,0.46706,-12.39801,-1.57345,0.00329,0.33000,1.01000,5.11749
2.69450,0.46681,-12.49780,-1.57312,0.00335,0.33000,1.01000,5.02880
2.79429,0.46659,-12.59760,-1.57278,0.00342,0.33000,1.01000,4.93854
2.89409,0.46641,-12.69739,-1.57243,0.00351,0.33000,1.01000,4.84669
2.99389,0.46627,-12.79719,-1.57196,0.00473,0.33000,1.01000,4.75326
3.09368,0.46618,-12.89699,-1.57100,0.01210,0.33000,1.01000,4.65826
3.19348,0.46623,-12.99678,-1.56889,0.02796,0.33000,1.01000,4.56174
3.29328,0.46656,-13.09658,-1.56503,0.04866,0.33000,1.01000,4.46387
3.39307,0.46738,-13.19637,-1.55910,0.07008,0.33000,1.01000,4.36492
3.49287,0.46889,-13.29616,-1.55103,0.09126,0.33000,1.01000,4.26520
3.59266,0.47132,-13.39592,-1.54065,0.11468,0.34000,1.00000,4.16504
3.69246,0.47491,-13.49565,-1.52732,0.14995,0.34000,1.00000,4.06477
3.79226,0.48000,-13.59532,-1.51040,0.18858,0.35000,1.00000,3.96471
3.89205,0.48696,-13.69487,-1.48963,0.22762,0.35000,0.99000,3.86516
3.99185,0.49618,-13.79424,-1.46497,0.26666,0.36000,0.98000,3.76640
4.09165,0.50804,-13.89332,-1.43639,0.30600,0.38000,0.98000,3.66870
4.19144,0.52292,-13.99200,-1.40386,0.34583,0.39000,0.96000,3.57218
4.29124,0.54119,-14.09010,-1.36731,0.38641,0.42000,0.95000,3.47689
4.39103,0.56324,-14.18742,-1.32666,0.42801,0.44000,0.94000,3.38282
4.49083,0.58942,-14.28372,-1.28179,0.47092,0.48000,0.92000,3.28993
4.59063,0.62010,-14.37867,-1.23256,0.51541,0.52000,0.91000,3.19815
4.69042,0.65562,-14.47192,-1.17878,0.56187,0.56000,0.89000,3.10739
4.79022,0.69632,-14.56302,-1.12025,0.61068,0.62000,0.86000,3.01758
4.89002,0.74248,-14.65148,-1.05670,0.66231,0.70000,0.84000,2.92865
4.98981,0.79439,-14.73669,-0.98782,0.71736,0.79000,0.82000,2.84061
5.08961,0.85227,-14.81796,-0.91324,0.77653,0.91000,0.79000,2.75361
5.18940,0.91626,-14.89451,-0.83249,0.84069,1.06000,0.76000,2.66816
5.28920,0.98644,-14.96541,-0.74502,0.91098,1.26000,0.72000,2.58593
5.38900,1.06277,-15.02964,-0.65016,0.98877,1.54000,0.68000,2.51355
5.48879,1.14506,-15.08603,-0.54706,1.07573,1.80000,0.64000,2.45094
5.58859,1.23291,-15.13327,-0.43468,1.17458,1.75000,0.58000,2.40594
5.68839,1.32568,-15.16989,-0.31227,1.28586,1.63000,0.49000,2.37967
