# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,1.31012,4.08217,0.35514,-1.71058,0.30473,1.19336,1.62194
0.10779,1.41371,4.11160,0.21114,-1.08718,0.28500,1.29694,1.61450
0.21558,1.52029,4.12722,0.08173,-1.26042,0.28974,1.24268,1.84934
0.32337,1.62799,4.12915,-0.03743,-0.98370,0.31214,1.14552,1.92304
0.43116,1.73527,4.11917,-0.14424,-0.97369,0.35648,1.05407,2.07334
0.53895,1.84096,4.09822,-0.24235,-0.85599,0.41602,0.96885,2.15759
0.64674,1.94425,4.06751,-0.33189,-0.79871,0.48543,0.88998,2.26128
0.75453,2.04453,4.02806,-0.41406,-0.72707,0.55734,0.81819,2.34929
0.86232,2.14141,3.98086,-0.48934,-0.66814,0.62303,0.75240,2.44059
0.97011,2.23464,3.92681,-0.55828,-0.61059,0.68225,0.69369,2.53082
1.07790,2.32412,3.86675,-0.62121,-0.55663,0.73520,0.64007,2.62291
1.18569,2.40984,3.80142,-0.67842,-0.50451,0.78280,0.59255,2.71712
1.29348,2.49188,3.73152,-0.73007,-0.45378,0.82524,0.55067,2.81426
1.40127,2.57041,3.65770,-0.77631,-0.40404,0.86216,0.51393,2.91483
1.50906,2.64565,3.58052,-0.81722,-0.35490,0.89481,0.48079,3.01918
1.61685,2.71788,3.50053,-0.85285,-0.30614,0.92361,0.45171,3.12750
1.72464,2.78744,3.41819,-0.88323,-0.25757,0.95026,0.41540,3.23980
1.83243,2.85469,3.33395,-0.90838,-0.20905,0.98286,0.39063,3.35588
1.94022,2.92002,3.24822,-0.92829,-0.16055,1.00285,0.37330,3.47527
2.04801,2.98386,3.16137,-0.94298,-0.11189,1.02104,0.35473,3.59717
2.15580,3.04664,3.07375,-0.95243,-0.06364,1.03438,0.33751,3.72046
2.26359,3.10883,2.98571,-0.95663,-0.01342,1.05423,0.32109,3.84346
2.37138,3.17088,2.89757,-0.95558,0.02902,1.07033,0.30490,3.96406
2.47917,3.23325,2.80965,-0.94930,0.10223,1.08685,0.28438,4.07950
2.58696,3.29640,2.72230,-0.94155,0.05678,1.07087,0.30313,4.18185
2.69475,3.36012,2.63536,-0.93622,0.03857,1.05445,0.32188,4.28709
2.80254,3.42420,2.54869,-0.93340,0.01449,1.03847,0.34040,4.39038
2.91033,3.48841,2.46211,-0.93307,-0.00841,1.02266,0.35621,4.49164
3.01812,3.55255,2.37548,-0.93522,-0.03154,1.00675,0.37188,4.58991
3.12591,3.61639,2.28863,-0.93986,-0.05463,0.99048,0.38438,4.68407
3.23370,3.67972,2.20141,-0.94700,-0.07773,0.97358,0.39688,4.61400
3.34149,3.74231,2.11365,-0.95662,-0.10084,0.96162,0.40890,4.48807
3.44928,3.80395,2.02523,-0.96874,-0.12395,0.95469,0.42468,4.36473
3.55707,3.86440,1.93598,-0.98334,-0.14709,0.93433,0.44063,4.24438
3.66486,3.92343,1.84580,-1.00045,-0.17025,0.91229,0.46701,4.12731
3.77265,3.98079,1.75454,-1.02005,-0.19347,0.88831,0.49093,4.01370
3.88044,4.03624,1.66211,-1.04216,-0.21677,0.86213,0.51703,3.90362
3.98823,4.08951,1.56840,-1.06679,-0.24017,0.83351,0.54556,3.79709
4.09602,4.14034,1.47335,-1.09395,-0.26373,0.80221,0.57677,3.69404
4.20381,4.18845,1.37690,-1.12366,-0.28749,0.76799,0.61091,3.59431
4.31160,4.23354,1.27900,-1.15595,-0.31153,0.73063,0.64823,3.49771
4.41939,4.27532,1.17964,-1.19085,-0.33596,0.68994,0.68897,3.40400
4.52718,4.31348,1.07884,-1.22841,-0.36085,0.64577,0.73337,3.31284
4.63497,4.34768,0.97663,-1.26868,-0.38633,0.59765,0.78142,3.22383
4.74276,4.37760,0.87308,-1.31174,-0.41253,0.54547,0.83339,3.13644
4.85055,4.40289,0.76831,-1.35769,-0.43973,0.48946,0.88970,3.05008
4.95834,4.42318,0.66246,-1.40662,-0.46775,0.42879,0.95010,2.96355
5.06613,4.43811,0.55572,-1.45869,-0.49898,0.36439,1.01513,2.87743
5.17392,4.44728,0.44833,-1.51411,-0.52500,0.31167,1.08446,2.78994
5.28171,4.45031,0.34060,-1.57317,-0.58342,0.28493,1.15850,2.77726
5.38950,4.44677,0.23288,-1.63267,-0.53565,0.28528,1.15993,2.76452
5.49729,4.43699,0.12555,-1.68888,-0.50563,0.31503,1.09101,2.83199
5.60508,4.42139,0.01891,-1.74139,-0.46936,0.37010,1.02660,2.90070
5.71287,4.40041,-0.08681,-1.79032,-0.43735,0.42993,0.96672,2.97553
5.82066,4.37446,-0.19142,-1.83592,-0.40840,0.48574,0.90225,3.05318
5.92845,4.34394,-0.29479,-1.87843,-0.38020,0.53703,0.84244,3.13229
6.03624,4.30920,-0.39682,-1.91795,-0.35293,0.58463,0.79428,3.21316
6.14403,4.27061,-0.49746,-1.95457,-0.32630,0.62861,0.75050,3.29581
6.25182,4.22850,-0.59668,-1.98833,-0.30004,0.66904,0.71018,3.38040
6.35961,4.18320,-0.69448,-2.01928,-0.27419,0.70607,0.67296,3.46708
6.46740,4.13504,-0.79091,-2.04747,-0.24877,0.74015,0.63879,3.55591
6.57519,4.08430,-0.88601,-2.07293,-0.22365,0.77149,0.60739,3.64686
6.68298,4.03129,-0.97986,-2.09569,-0.19862,0.80036,0.57850,3.73988
6.79077,3.97628,-1.07255,-2.11576,-0.17371,0.82700,0.55186,3.83493
6.89856,3.91954,-1.16420,-2.13315,-0.14886,0.85169,0.52717,3.93185
7.00635,3.86134,-1.25492,-2.14785,-0.12403,0.87469,0.49688,4.03041
7.11414,3.80193,-1.34486,-2.15989,-0.09923,0.89628,0.48259,4.13030
7.22193,3.74157,-1.43416,-2.16924,-0.07439,0.91674,0.46213,4.23107
7.32972,3.68049,-1.52298,-2.17591,-0.04937,0.93635,0.44063,4.33217
7.43751,3.61893,-1.61146,-2.17987,-0.02423,0.95539,0.41563,4.43292
7.54530,3.55715,-1.69979,-2.18113,0.00088,0.97416,0.39063,4.53241
7.65309,3.49537,-1.78812,-2.17968,0.02599,0.99294,0.37813,4.62954
7.76088,3.43385,-1.87663,-2.17552,0.05116,1.01202,0.35938,4.72293
7.86867,3.37281,-1.96547,-2.16865,0.07638,1.03168,0.34063,4.81088
7.97646,3.31251,-2.05481,-2.15904,0.10185,1.05221,0.32188,4.89121
8.08425,3.25319,-2.14481,-2.14668,0.12737,1.07187,0.29688,4.96097
8.19204,3.19511,-2.23562,-2.13155,0.15367,1.07563,0.29982,5.01590
8.29983,3.13854,-2.32737,-2.11398,0.17690,1.06563,0.28438,5.04367
8.40762,3.08369,-2.42016,-2.09515,0.17647,1.07001,0.28438,5.02054
8.51541,3.03062,-2.51397,-2.07614,0.17603,1.05937,0.28438,5.01381
8.62320,2.97933,-2.60878,-2.05718,0.17606,1.07187,0.28438,5.01040
8.73099,2.92985,-2.70454,-2.03832,0.17418,1.08342,0.29867,5.00770
8.83878,2.88218,-2.80121,-2.01963,0.17253,1.06547,0.33478,5.01066
8.94657,2.83631,-2.89876,-2.00110,0.17126,1.01961,0.38062,5.01686
9.05436,2.79226,-2.99713,-1.98271,0.16992,0.97553,0.42462,5.02476
9.16215,2.75001,-3.09629,-1.96446,0.16868,0.93328,0.46684,5.03413
9.26994,2.70957,-3.19621,-1.94635,0.16749,0.89284,0.50727,5.04453
9.37773,2.67094,-3.29684,-1.92835,0.16636,0.85422,0.54591,5.05570
9.48552,2.63412,-3.39814,-1.91048,0.16529,0.81742,0.58274,5.06745
9.59331,2.59912,-3.50009,-1.89272,0.16427,0.78245,0.61778,5.07958
9.70110,2.56592,-3.60264,-1.87506,0.16330,0.74922,0.65092,5.09197
9.80889,2.53453,-3.70576,-1.85751,0.16239,0.71780,0.68227,5.10450
9.91668,2.50496,-3.80941,-1.84005,0.16152,0.68820,0.71182,5.11707
10.02447,2.47719,-3.91356,-1.82268,0.16071,0.66042,0.73958,5.12961
10.13226,2.45123,-4.01817,-1.80540,0.15995,0.63449,0.76556,5.14205
10.24005,2.42708,-4.12322,-1.78820,0.15923,0.60938,0.78976,5.15432
10.34784,2.40473,-4.22867,-1.77107,0.15857,0.58437,0.81208,5.16637
10.45563,2.38420,-4.33448,-1.75401,0.15795,0.56562,0.83258,5.17815
10.56342,2.36546,-4.44063,-1.73702,0.15738,0.54063,0.85132,5.18962
10.67121,2.34853,-4.54708,-1.72008,0.15685,0.52812,0.86562,5.20075
10.77900,2.33340,-4.65380,-1.70320,0.15637,0.50938,0.87813,5.21150
10.88679,2.32007,-4.76076,-1.68637,0.15593,0.49688,0.89062,5.22183
10.99458,2.30854,-4.86793,-1.66958,0.15554,0.48438,0.90312,5.23173
11.10237,2.29881,-4.97528,-1.65283,0.15519,0.47188,0.90938,5.24116
11.21016,2.29087,-5.08278,-1.63612,0.15488,0.46563,0.91563,5.25010
11.31795,2.28474,-5.19039,-1.61944,0.15462,0.45313,0.91222,5.25853
11.42574,2.28039,-5.29809,-1.60279,0.15440,0.45313,0.89687,5.26642
11.53353,2.27784,-5.40585,-1.58615,0.15423,0.44688,0.90312,5.27376
11.64132,2.27708,-5.51364,-1.56953,0.15410,0.44688,0.90312,5.28051
11.74911,2.27811,-5.62142,-1.55293,0.15402,0.44688,0.90312,5.28666
11.85690,2.28093,-5.72917,-1.53633,0.15397,0.45313,0.89687,5.29218
11.96469,2.28554,-5.83687,-1.51973,0.15397,0.45938,0.91472,5.29706
12.07248,2.29194,-5.94446,-1.50313,0.15401,0.46563,0.91563,5.30129
12.18027,2.30012,-6.05194,-1.48653,0.15410,0.47188,0.90938,5.30484
12.28806,2.31008,-6.15927,-1.46991,0.15423,0.48438,0.89687,5.30770
12.39585,2.32183,-6.26642,-1.45328,0.15439,0.49688,0.89062,5.30985
12.50364,2.33536,-6.37335,-1.43662,0.15461,0.50938,0.87813,5.31128
12.61143,2.35067,-6.48005,-1.41994,0.15486,0.52812,0.86562,5.31195
12.71922,2.36775,-6.58647,-1.40323,0.15516,0.54688,0.84688,5.31188
12.82701,2.38662,-6.69260,-1.38649,0.15553,0.56562,0.83017,5.31105
12.93480,2.40726,-6.79839,-1.36970,0.15597,0.59059,0.80958,5.30934
13.04259,2.42968,-6.90382,-1.35286,0.15645,0.61297,0.78714,5.30669
13.15038,2.45387,-7.00886,-1.33597,0.15698,0.63711,0.76291,5.30307
13.25817,2.47984,-7.11348,-1.31902,0.15756,0.66307,0.73693,5.29850
13.36596,2.50757,-7.21764,-1.30200,0.15818,0.69082,0.70921,5.29295
13.47375,2.53709,-7.32131,-1.28491,0.15886,0.72037,0.67974,5.28641
13.58154,2.56837,-7.42446,-1.26775,0.15959,0.75169,0.64851,5.27887
13.68933,2.60142,-7.52705,-1.25050,0.16037,0.78472,0.61544,5.27030
13.79712,2.63624,-7.62906,-1.23317,0.16121,0.81951,0.58059,5.26067
13.90491,2.67282,-7.73045,-1.21574,0.16211,0.85608,0.54399,5.24996
14.01270,2.71118,-7.83119,-1.19822,0.16308,0.89443,0.50563,5.23812
14.12049,2.75130,-7.93123,-1.18058,0.16408,0.93455,0.46552,5.22507
14.22828,2.79318,-8.03055,-1.16284,0.16511,0.97643,0.42365,5.21093
14.33607,2.83682,-8.12911,-1.14499,0.16619,1.02008,0.38004,5.19598
14.44386,2.88222,-8.22687,-1.12701,0.16732,1.06550,0.33472,5.18011
14.55165,2.92938,-8.32380,-1.10891,0.16846,1.08601,0.30007,5.16342
14.65944,2.97828,-8.41985,-1.09068,0.17002,1.07187,0.28438,5.14471
14.76723,3.02894,-8.51499,-1.07236,0.16990,1.06563,0.29063,5.12111
14.87502,3.08134,-8.60919,-1.05402,0.17133,1.06563,0.28438,5.11238
14.98280,3.13545,-8.70241,-1.03580,0.16645,1.07187,0.29688,5.09941
15.09059,3.19124,-8.79464,-1.01791,0.16911,1.07187,0.27813,5.10499
15.19838,3.24865,-8.88586,-1.00139,0.14243,1.08040,0.29483,5.10295
15.30617,3.30746,-8.97620,-0.98745,0.11592,1.06217,0.31712,5.13928
15.41396,3.36740,-9.06579,-0.97635,0.09009,1.04062,0.33809,5.19234
15.52175,3.42820,-9.15479,-0.96806,0.06380,1.02127,0.35802,5.18728
15.62954,3.48961,-9.24338,-0.96259,0.03762,1.00206,0.37722,5.06607
15.73733,3.55138,-9.33171,-0.95995,0.01144,0.98327,0.39598,4.93734
15.84512,3.61326,-9.41997,-0.96012,-0.01470,0.96462,0.41462,4.80533
15.95291,3.67499,-9.50833,-0.96312,-0.04082,0.94580,0.43343,4.67277
16.06070,3.73634,-9.59696,-0.96892,-0.06693,0.92651,0.44688,4.54093
16.16849,3.79705,-9.68602,-0.97754,-0.09302,0.90646,0.46563,4.41080
16.27628,3.85686,-9.77570,-0.98898,-0.11912,0.88536,0.49387,4.28310
16.38407,3.91552,-9.86613,-1.00322,-0.14524,0.86290,0.51647,4.15840
16.49186,3.97275,-9.95747,-1.02029,-0.17140,0.83881,0.54049,4.03708
16.59965,4.02829,-10.04985,-1.04018,-0.19762,0.79812,0.57301,3.91941
16.70744,4.08184,-10.14339,-1.06290,-0.22394,0.76664,0.61223,3.80552
16.81523,4.13312,-10.23820,-1.08847,-0.25042,0.73588,0.64303,3.69545
16.92302,4.18183,-10.33435,-1.11690,-0.27711,0.70236,0.67662,3.58917
17.03081,4.22763,-10.43192,-1.14823,-0.30406,0.66585,0.71329,3.48656
17.13860,4.27022,-10.53094,-1.18248,-0.33139,0.62599,0.75322,3.38743
17.24639,4.30924,-10.63141,-1.21971,-0.35925,0.58240,0.79655,3.29160
17.35418,4.34434,-10.73331,-1.25998,-0.38779,0.53511,0.84375,3.19885
17.46197,4.37515,-10.83660,-1.30339,-0.41741,0.48402,0.89508,3.10918
17.56976,4.40129,-10.94116,-1.35003,-0.44772,0.42851,0.95050,3.02216
