# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.49028,-9.80357,-1.57946,0.00051,0.36000,0.98000,7.39699
0.09992,0.48942,-9.90349,-1.57944,0.00023,0.36000,0.98000,7.25447
0.19985,0.48855,-10.00341,-1.57942,0.00027,0.35000,0.99000,7.10447
0.29977,0.48769,-10.10333,-1.57939,0.00029,0.35000,0.99000,6.94692
0.39970,0.48684,-10.20325,-1.57936,0.00030,0.35000,0.99000,6.78174
0.49962,0.48598,-10.30317,-1.57933,0.00031,0.35000,0.99000,6.71507
0.59954,0.48513,-10.40309,-1.57930,0.00032,0.35000,0.99000,6.64772
0.69947,0.48428,-10.50301,-1.57926,0.00034,0.35000,0.99000,6.57968
0.79939,0.48344,-10.60293,-1.57923,0.00035,0.35000,0.99000,6.51094
0.89932,0.48260,-10.70285,-1.57919,0.00036,0.35000,0.99000,6.44145
0.99924,0.48176,-10.80277,-1.57916,0.00036,0.35000,0.99000,6.37120
1.09916,0.48093,-10.90269,-1.57912,0.00037,0.35000,0.99000,6.30017
1.19909,0.48010,-11.00262,-1.57908,0.00038,0.35000,0.99000,6.22833
1.29901,0.47927,-11.10254,-1.57905,0.00039,0.35000,1.00000,6.15564
1.39894,0.47845,-11.20246,-1.57901,0.00040,0.34000,1.00000,6.08208
1.49886,0.47763,-11.30238,-1.57897,0.00041,0.34000,1.00000,6.00762
1.59878,0.47682,-11.40230,-1.57892,0.00042,0.34000,1.00000,5.93222
1.69871,0.47601,-11.50222,-1.57888,0.00043,0.34000,1.00000,5.85584
1.79863,0.47520,-11.60214,-1.57884,0.00044,0.34000,1.00000,5.77845
1.89856,0.47440,-11.70206,-1.57879,0.00045,0.34000,1.00000,5.70001
1.99848,0.47360,-11.80198,-1.57875,0.00048,0.34000,1.00000,5.62046
2.09841,0.47281,-11.90190,-1.57869,0.00063,0.34000,1.00000,5.53977
2.19833,0.47203,-12.00182,-1.57860,0.00102,0.34000,1.00000,5.45788
2.29825,0.47125,-12.10174,-1.57848,0.00147,0.34000,1.00000,5.37473
2.39818,0.47049,-12.20167,-1.57831,0.00192,0.34000,1.00000,5.29027
2.49810,0.46975,-12.30159,-1.57810,0.00236,0.34000,1.00000,5.20443
2.59803,0.46903,-12.40151,-1.57784,0.00281,0.33000,1.01000,5.11716
2.69795,0.46834,-12.50143,-1.57752,0.00332,0.33000,1.01000,5.02839
2.79787,0.46769,-12.60135,-1.57706,0.00503,0.33000,1.01000,4.93805
2.89780,0.46709,-12.70127,-1.57625,0.01047,0.33000,1.01000,4.84607
2.99772,0.46660,-12.80120,-1.57488,0.01682,0.33000,1.01000,4.75237
3.09765,0.46627,-12.90112,-1.57288,0.02316,0.33000,1.01000,4.65699
3.19757,0.46618,-13.00104,-1.57026,0.02949,0.33000,1.01000,4.56008
3.29749,0.46638,-13.10097,-1.56700,0.03513,0.33000,1.01000,4.46187
3.39742,0.46694,-13.20089,-1.56280,0.04472,0.33000,1.01000,4.36267
3.49734,0.46798,-13.30081,-1.55653,0.07585,0.33000,1.01000,4.26280
3.59727,0.46979,-13.40072,-1.54690,0.11547,0.34000,1.00000,4.16264
3.69719,0.47276,-13.50060,-1.53334,0.15576,0.34000,1.00000,4.06259
3.79711,0.47727,-13.60042,-1.51576,0.19605,0.34000,1.00000,3.96306
3.89704,0.48375,-13.70013,-1.49416,0.23634,0.35000,0.99000,3.86448
3.99696,0.49257,-13.79966,-1.46853,0.27658,0.36000,0.99000,3.76717
4.09689,0.50415,-13.89891,-1.43888,0.31689,0.37000,0.98000,3.67132
4.19681,0.51886,-13.99774,-1.40519,0.35745,0.39000,0.97000,3.57701
4.29673,0.53708,-14.09598,-1.36743,0.39831,0.41000,0.96000,3.48426
4.39666,0.55921,-14.19342,-1.32556,0.43956,0.44000,0.94000,3.39303
4.49658,0.58559,-14.28979,-1.27955,0.48139,0.47000,0.93000,3.30321
4.59651,0.61657,-14.38477,-1.22931,0.52406,0.51000,0.91000,3.21465
4.69643,0.65249,-14.47801,-1.17474,0.56791,0.56000,0.89000,3.12716
4.79635,0.69363,-14.56905,-1.11571,0.61335,0.62000,0.87000,3.04057
4.89628,0.74027,-14.65740,-1.05202,0.66089,0.70000,0.85000,2.95469
4.99620,0.79264,-14.74248,-0.98345,0.71118,0.79000,0.82000,2.86943
5.09613,0.85093,-14.82362,-0.90966,0.76501,0.91000,0.79000,2.78483
5.19605,0.91523,-14.90007,-0.83026,0.82337,1.06000,0.76000,2.70134
