# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.49028,-9.80357,-1.57945,0.00223,0.35938,0.99062,7.87474
0.09992,0.48942,-9.90349,-1.57945,-0.00248,0.35938,0.99062,7.77814
0.19985,0.48855,-10.00341,-1.57945,0.00170,0.35938,0.99062,7.68114
0.29977,0.48769,-10.10333,-1.57935,0.00171,0.35938,0.99062,7.58373
0.39969,0.48684,-10.20325,-1.57935,-0.00253,0.35938,0.99062,7.48590
0.49962,0.48598,-10.30317,-1.57935,0.00240,0.35938,0.99062,7.38762
0.59954,0.48513,-10.40309,-1.57930,-0.00107,0.35313,0.99687,7.28882
0.69947,0.48428,-10.50301,-1.57925,0.00187,0.35313,0.99687,7.18953
0.79939,0.48344,-10.60293,-1.57920,-0.00039,0.35313,0.99687,7.08969
0.89931,0.48260,-10.70285,-1.57920,-0.00032,0.35313,0.99687,6.98928
0.99924,0.48176,-10.80277,-1.57915,0.00166,0.35313,0.99687,6.88827
1.09916,0.48093,-10.90269,-1.57910,-0.00030,0.35313,0.99687,6.78662
1.19909,0.48010,-11.00262,-1.57910,-0.00039,0.35313,0.99687,6.68430
1.29902,0.47927,-11.10254,-1.57905,0.00183,0.35313,1.00313,6.58128
1.39894,0.47845,-11.20246,-1.57900,-0.00091,0.34688,1.00313,6.47751
1.49886,0.47763,-11.30238,-1.57895,0.00182,0.34688,1.00313,6.37294
1.59879,0.47682,-11.40230,-1.57890,-0.00037,0.34688,1.00313,6.26752
1.69871,0.47601,-11.50222,-1.57890,-0.00035,0.34688,1.00313,6.16121
1.79863,0.47520,-11.60214,-1.57885,0.00179,0.34688,1.00313,6.05396
1.89856,0.47440,-11.70206,-1.57880,-0.00078,0.34688,1.00313,5.94570
1.99848,0.47360,-11.80198,-1.57875,0.00134,0.34688,1.00313,5.83636
2.09840,0.47281,-11.90190,-1.57865,0.00143,0.34063,1.00937,5.72589
2.19833,0.47203,-12.00182,-1.57860,-0.00106,0.34063,1.00937,5.61419
2.29825,0.47125,-12.10174,-1.57850,0.00282,0.34063,1.00937,5.50120
2.39818,0.47049,-12.20167,-1.57830,0.00184,0.34063,1.00937,5.38682
2.49810,0.46975,-12.30159,-1.57810,0.00181,0.34063,1.00937,5.27095
2.59803,0.46903,-12.40151,-1.57785,0.00295,0.34063,1.00937,5.15350
2.69795,0.46834,-12.50143,-1.57750,0.00442,0.34063,1.00937,5.03434
2.79787,0.46769,-12.60135,-1.57705,0.00340,0.34063,1.00937,4.91332
2.89779,0.46709,-12.70127,-1.57625,0.01201,0.34063,1.00937,4.79046
2.99772,0.46660,-12.80120,-1.57490,0.01470,0.33438,1.01562,4.66553
3.09765,0.46627,-12.90112,-1.57290,0.02532,0.33438,1.01562,4.53872
3.19757,0.46618,-13.00104,-1.57025,0.02825,0.33438,1.01562,4.40944
3.29750,0.46638,-13.10097,-1.56699,0.03595,0.33438,1.01562,4.27778
3.39742,0.46694,-13.20089,-1.56279,0.04431,0.34063,1.00937,4.14353
3.49734,0.46798,-13.30081,-1.55654,0.07523,0.34063,1.00937,4.00874
3.59727,0.46979,-13.40072,-1.54688,0.11749,0.34063,1.00937,3.87599
3.69719,0.47276,-13.50060,-1.53336,0.15210,0.34063,1.00937,3.74493
3.79712,0.47727,-13.60042,-1.51577,0.20026,0.34688,1.00313,3.61960
3.89704,0.48375,-13.70013,-1.49415,0.23262,0.35313,0.99687,3.49619
3.99696,0.49257,-13.79966,-1.46853,0.27973,0.36563,0.99062,3.37976
4.09689,0.50415,-13.89891,-1.43884,0.31567,0.37813,0.98438,3.26643
4.19681,0.51886,-13.99774,-1.40523,0.35557,0.39688,0.97188,3.15745
