# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.47383,-9.81502,-1.56629,0.00821,0.34688,1.00313,7.94227
0.09984,0.47432,-9.91486,-1.56544,0.00847,0.34688,1.00313,7.84617
0.19969,0.47490,-10.01471,-1.56444,0.01204,0.34688,1.00313,7.74990
0.29954,0.47559,-10.11455,-1.56333,0.00961,0.34688,1.00313,7.65309
0.39938,0.47639,-10.21439,-1.56208,0.01574,0.34688,1.00313,7.55625
0.49922,0.47733,-10.31423,-1.56073,0.01168,0.34688,1.00313,7.45867
0.59907,0.47840,-10.41407,-1.55933,0.01579,0.34688,1.00313,7.36088
0.69892,0.47962,-10.51391,-1.55778,0.01542,0.35313,0.99687,7.26257
0.79876,0.48100,-10.61374,-1.55607,0.01889,0.35313,0.99687,7.16397
0.89861,0.48256,-10.71358,-1.55427,0.01726,0.35313,0.99687,7.06468
0.99845,0.48430,-10.81341,-1.55237,0.02048,0.35313,0.99687,6.96504
1.09829,0.48624,-10.91323,-1.55031,0.02129,0.35938,0.99062,6.86481
1.19815,0.48839,-11.01306,-1.54821,0.02061,0.35938,0.99062,6.76387
1.29798,0.49075,-11.11287,-1.54600,0.02289,0.35938,0.99062,6.66239
1.39783,0.49334,-11.21268,-1.54360,0.02623,0.36563,0.98438,6.56043
1.49768,0.49618,-11.31249,-1.54115,0.02259,0.36563,0.98438,6.45738
1.59752,0.49926,-11.41229,-1.53859,0.02794,0.37188,0.97813,6.35391
1.69737,0.50261,-11.51208,-1.53583,0.02824,0.37188,0.97813,6.24958
1.79721,0.50624,-11.61185,-1.53303,0.02796,0.37813,0.97188,6.14426
1.89705,0.51015,-11.71162,-1.53017,0.02835,0.37813,0.97188,6.03797
1.99690,0.51435,-11.81138,-1.52711,0.03326,0.38438,0.96562,5.93100
2.09674,0.51887,-11.91112,-1.52391,0.03153,0.39063,0.95937,5.82275
2.19659,0.52371,-12.01085,-1.52065,0.03329,0.39688,0.95937,5.71343
2.29644,0.52888,-12.11056,-1.51729,0.03428,0.40313,0.95312,5.60290
2.39628,0.53439,-12.21025,-1.51383,0.03458,0.40313,0.94688,5.49102
2.49613,0.54025,-12.30993,-1.51022,0.03805,0.40938,0.94063,5.37792
2.59597,0.54648,-12.40958,-1.50650,0.03658,0.41563,0.93437,5.26318
2.69581,0.55308,-12.50920,-1.50269,0.03902,0.42188,0.92812,5.14691
2.79566,0.56007,-12.60880,-1.49867,0.04234,0.43438,0.92188,5.02906
2.89550,0.56747,-12.70837,-1.49460,0.03904,0.44063,0.91563,4.90910
2.99535,0.57527,-12.80791,-1.49049,0.04292,0.44688,0.90938,4.78727
3.09520,0.58349,-12.90742,-1.48622,0.04269,0.45313,0.89687,4.67971
3.19504,0.59214,-13.00689,-1.48179,0.04624,0.46563,0.89062,4.57065
3.29489,0.60124,-13.10632,-1.47727,0.04428,0.47188,0.88438,4.45963
3.39474,0.61079,-13.20571,-1.47264,0.04855,0.48438,0.87187,4.34685
3.49458,0.62081,-13.30505,-1.46790,0.04597,0.49688,0.86562,4.23178
3.59442,0.63130,-13.40434,-1.46302,0.05206,0.50312,0.85313,4.11467
3.69427,0.64229,-13.50358,-1.45803,0.04820,0.51562,0.84062,3.99483
3.79411,0.65377,-13.60276,-1.45299,0.05223,0.52812,0.83437,3.87238
3.89395,0.66576,-13.70188,-1.44780,0.05196,0.54063,0.82188,3.74686
3.99380,0.67827,-13.80094,-1.44245,0.05497,0.55312,0.80937,3.61806
4.09365,0.69132,-13.89993,-1.43674,0.05588,0.56562,0.79688,3.48554
4.19349,0.70496,-13.99884,-1.42930,0.07987,0.58437,0.78438,3.34967
4.29334,0.71948,-14.09762,-1.41680,0.16006,0.59688,0.77187,3.21355
4.39319,0.73559,-14.19616,-1.39633,0.24772,0.61562,0.75313,3.07939
4.49303,0.75414,-14.29426,-1.36693,0.34143,0.63741,0.73766,2.94921
4.59287,0.77601,-14.39167,-1.32854,0.42799,0.65925,0.71577,2.82266
4.69272,0.80203,-14.48806,-1.28120,0.51942,0.68526,0.68974,2.70057
4.79256,0.83301,-14.58296,-1.22464,0.61268,0.71625,0.65878,2.58286
4.89241,0.86974,-14.67579,-1.15857,0.71020,0.75306,0.62214,2.46958
4.99225,0.91295,-14.76577,-1.08257,0.81063,0.79619,0.57883,2.35988
5.09209,0.96330,-14.85195,-0.99606,0.92097,0.84660,0.52858,2.25440
5.19194,1.02135,-14.93314,-0.89826,1.03565,0.90459,0.47569,2.15150
5.29179,1.08748,-15.00788,-0.78806,1.16978,0.97072,0.42963,2.05450
5.39164,1.16186,-15.07440,-0.66422,1.30983,1.04516,0.39210,1.96266
5.49148,1.24427,-15.13063,-0.52668,1.46904,1.12752,0.36490,1.92720
5.59132,1.33389,-15.17443,-0.38034,1.49340,1.21718,0.34961,1.91908
5.69117,1.42901,-15.20449,-0.23146,1.49823,1.30073,0.34063,1.91598
5.79102,1.52754,-15.22007,-0.08232,1.49977,1.20588,0.35773,1.91500
5.89086,1.62729,-15.22085,0.06447,1.47416,1.11624,0.37501,1.90687
5.99070,1.72612,-15.20725,0.20221,1.30722,1.03395,0.40334,1.94796
6.09055,1.82235,-15.18086,0.32635,1.17515,0.95982,0.44128,2.03159
6.19039,1.91483,-15.14338,0.43780,1.05441,0.89355,0.48718,2.11912
6.29024,2.00287,-15.09636,0.53805,0.95219,0.83604,0.53943,2.20963
6.39008,2.08605,-15.04120,0.62812,0.85116,0.78611,0.58934,2.30053
6.48993,2.16425,-14.97916,0.70866,0.76115,0.74438,0.63154,2.39423
6.58977,2.23752,-14.91136,0.78019,0.67151,0.70875,0.66651,2.48960
6.68962,2.30608,-14.83880,0.84301,0.58609,0.67983,0.69559,2.58802
6.78946,2.37028,-14.76235,0.89740,0.50298,0.65689,0.71902,2.68938
6.88930,2.43056,-14.68277,0.94361,0.42253,0.63861,0.73701,2.79376
6.98915,2.48744,-14.60071,0.98170,0.34042,0.62187,0.75112,2.90087
7.08899,2.54149,-14.51677,1.01175,0.26100,0.60313,0.75313,3.01080
7.18884,2.59334,-14.43144,1.03385,0.18200,0.59412,0.77063,3.12262
7.28869,2.64363,-14.34519,1.04797,0.10106,0.58748,0.76562,3.23538
7.38853,2.69305,-14.25843,1.05405,0.02073,0.58209,0.77812,3.34784
7.48838,2.74229,-14.17157,1.05207,-0.06006,0.55937,0.78718,3.45791
7.58822,2.79205,-14.08501,1.04204,-0.14181,0.56562,0.79319,3.56278
7.68807,2.84302,-13.99916,1.02477,-0.21712,0.56400,0.80049,3.65842
7.78791,2.89574,-13.91437,1.00353,-0.22123,0.54063,0.80945,3.74004
7.88776,2.95031,-13.83076,0.98167,-0.21875,0.54336,0.82079,3.81677
7.98761,3.00669,-13.74835,0.96023,-0.21083,0.52812,0.83448,3.89009
8.08745,3.06479,-13.66716,0.93935,-0.20717,0.52187,0.84688,3.96140
8.18729,3.12456,-13.58718,0.91905,-0.20181,0.54063,0.83622,4.03002
8.28714,3.18591,-13.50841,0.90000,-0.18341,0.54688,0.81563,4.09656
8.38698,3.24868,-13.43077,0.88315,-0.15688,0.55937,0.80312,4.16410
8.48683,3.31265,-13.35411,0.86928,-0.12161,0.57188,0.79688,4.23402
8.58667,3.37755,-13.27824,0.85866,-0.09115,0.57188,0.79063,4.30704
8.68652,3.44314,-13.20295,0.85131,-0.05624,0.57812,0.78438,4.38147
8.78636,3.50915,-13.12804,0.84726,-0.02473,0.59567,0.77187,4.45679
8.88621,3.57534,-13.05329,0.84652,0.01019,0.59688,0.75938,4.53167
8.98605,3.64146,-12.97848,0.84900,0.03946,0.60313,0.75938,4.60501
9.08590,3.70728,-12.90340,0.85475,0.07489,0.60313,0.76467,4.66376
9.18574,3.77254,-12.82783,0.86391,0.10883,0.60938,0.74687,4.54299
9.28559,3.83697,-12.75156,0.87646,0.14327,0.62187,0.74687,4.42403
9.38543,3.90031,-12.67438,0.89226,0.17275,0.63982,0.73438,4.30652
9.48528,3.96230,-12.59611,0.91141,0.21009,0.65120,0.72776,4.19230
9.58512,4.02264,-12.51656,0.93401,0.24380,0.65938,0.70937,4.08099
