# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.78592,3.15444,-1.63525,0.36114,0.65000,0.71000,3.13465
0.09978,0.77950,3.05486,-1.62164,0.27464,0.65000,0.72000,3.24292
0.19957,0.77578,2.95515,-1.59897,0.17763,0.64000,0.72000,3.35013
0.29935,0.77388,2.85539,-1.58436,0.10456,0.64000,0.73000,3.45495
0.39914,0.77308,2.75561,-1.57504,0.07224,0.64000,0.73000,3.55692
0.49892,0.77303,2.65582,-1.56830,0.05936,0.64000,0.73000,3.65519
0.59870,0.77358,2.55604,-1.56291,0.04812,0.64000,0.73000,3.75011
0.69849,0.77460,2.45626,-1.55857,0.03814,0.64000,0.72000,3.84196
0.79827,0.77602,2.35649,-1.55504,0.03185,0.64000,0.72000,3.93098
0.89805,0.77775,2.25672,-1.55212,0.02655,0.64000,0.72000,4.01738
0.99784,0.77974,2.15696,-1.54973,0.02124,0.65000,0.72000,4.10135
1.09762,0.78195,2.05720,-1.54788,0.01594,0.65000,0.72000,4.18307
1.19741,0.78432,1.95744,-1.54655,0.01064,0.65000,0.72000,4.26267
1.29719,0.78679,1.85769,-1.54577,0.00534,0.65000,0.71000,4.34029
1.39697,0.78931,1.75794,-1.54563,-0.00170,0.63000,0.71000,4.41605
1.49676,0.79181,1.65818,-1.54632,-0.01285,0.63000,0.71000,4.49006
1.59654,0.79420,1.55843,-1.54763,-0.01517,0.64000,0.71000,4.56241
1.69633,0.79643,1.45867,-1.54911,-0.01495,0.64000,0.70000,4.63320
1.79611,0.79852,1.35891,-1.55059,-0.01477,0.64000,0.70000,4.70250
1.89589,0.80047,1.25914,-1.55206,-0.01459,0.64000,0.70000,4.77039
1.99568,0.80226,1.15937,-1.55350,-0.01441,0.64000,0.70000,4.83693
2.09546,0.80392,1.05960,-1.55493,-0.01423,0.64000,0.67000,4.90220
2.19524,0.80543,0.95983,-1.55634,-0.01406,0.65000,0.67000,4.96624
2.29503,0.80680,0.86006,-1.55774,-0.01388,0.67000,0.67000,5.02911
2.39481,0.80804,0.76028,-1.55911,-0.01370,0.67000,0.67000,5.09086
2.49460,0.80913,0.66050,-1.56047,-0.01353,0.67000,0.67000,5.15155
2.59438,0.81010,0.56072,-1.56181,-0.01335,0.68000,0.66000,5.21120
2.69416,0.81093,0.46094,-1.56314,-0.01317,0.68000,0.66000,5.26987
2.79395,0.81162,0.36116,-1.56444,-0.01299,0.68000,0.66000,5.32759
2.89373,0.81219,0.26138,-1.56573,-0.01280,0.68000,0.66000,5.38439
2.99352,0.81264,0.16160,-1.56700,-0.01262,0.68000,0.66000,5.44031
3.09330,0.81295,0.06181,-1.56825,-0.01243,0.68000,0.66000,5.49539
