# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.78592,3.15444,-1.65303,0.36353,0.65938,0.72188,3.30265
0.09979,0.77950,3.05486,-1.62163,0.27115,0.65312,0.72813,3.44812
0.19957,0.77578,2.95515,-1.59896,0.18091,0.64687,0.72813,3.59807
0.29935,0.77388,2.85539,-1.58433,0.10250,0.64687,0.72813,3.74796
0.39913,0.77308,2.75561,-1.57506,0.07209,0.64687,0.72813,3.89104
0.49893,0.77303,2.65582,-1.56829,0.06108,0.64687,0.72813,4.02808
0.59871,0.77358,2.55604,-1.56293,0.04515,0.64687,0.72813,4.15971
0.69849,0.77460,2.45626,-1.55857,0.04154,0.64687,0.72813,4.28646
0.79827,0.77602,2.35649,-1.55501,0.02979,0.64687,0.72813,4.40878
0.89806,0.77775,2.25672,-1.55215,0.02609,0.64687,0.72813,4.52707
0.99784,0.77974,2.15696,-1.54975,0.02261,0.65312,0.72188,4.64164
1.09762,0.78195,2.05720,-1.54785,0.01601,0.65312,0.72188,4.75281
1.19741,0.78432,1.95744,-1.54654,0.00973,0.65312,0.72188,4.86081
1.29719,0.78679,1.85769,-1.54579,0.00547,0.65612,0.71562,4.96586
1.39697,0.78931,1.75794,-1.54564,-0.00150,0.63438,0.71562,5.06818
1.49676,0.79181,1.65818,-1.54629,-0.01168,0.64062,0.71562,5.16794
1.59654,0.79420,1.55843,-1.54764,-0.01789,0.64062,0.70937,5.26528
1.69633,0.79643,1.45867,-1.54915,-0.01329,0.64062,0.70937,5.36036
1.79611,0.79852,1.35891,-1.55055,-0.01329,0.64687,0.70312,5.45331
1.89590,0.80047,1.25914,-1.55206,-0.01803,0.64687,0.70312,5.54425
1.99568,0.80226,1.15937,-1.55351,-0.01099,0.64687,0.69110,5.63328
2.09547,0.80392,1.05960,-1.55491,-0.01633,0.64687,0.67812,5.72050
2.19525,0.80543,0.95983,-1.55636,-0.01406,0.65312,0.67188,5.80600
2.29503,0.80680,0.86006,-1.55772,-0.01181,0.66560,0.67188,5.88986
2.39482,0.80804,0.76028,-1.55912,-0.01713,0.67812,0.67188,5.97217
2.49460,0.80913,0.66050,-1.56047,-0.01005,0.67812,0.67188,6.05299
2.59439,0.81010,0.56072,-1.56178,-0.01497,0.67812,0.67188,6.13238
2.69417,0.81093,0.46094,-1.56318,-0.01444,0.68437,0.66563,6.21041
2.79395,0.81162,0.36116,-1.56448,-0.01163,0.68437,0.66563,6.28713
2.89373,0.81219,0.26138,-1.56569,-0.01134,0.68437,0.66563,6.36260
2.99352,0.81264,0.16160,-1.56699,-0.01533,0.68437,0.66563,6.43686
