# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.77846,3.15620,-1.60559,0.32462,0.64000,0.72000,3.04005
0.09993,0.77498,3.05633,-1.59494,0.21480,0.64000,0.72000,3.15207
0.19986,0.77363,2.95641,-1.57869,0.09654,0.64000,0.73000,3.26371
0.29979,0.77340,2.85648,-1.56939,0.07285,0.64000,0.73000,3.37212
0.39972,0.77391,2.75655,-1.56294,0.05430,0.64000,0.73000,3.47740
0.49966,0.77497,2.65663,-1.55802,0.04249,0.64000,0.72000,3.57869
0.59959,0.77646,2.55671,-1.55417,0.03378,0.64000,0.72000,3.67635
0.69952,0.77829,2.45679,-1.55113,0.02667,0.64000,0.72000,3.77071
0.79945,0.78039,2.35688,-1.54876,0.02050,0.65000,0.72000,3.86204
0.89938,0.78270,2.25698,-1.54701,0.01461,0.65000,0.72000,3.95059
0.99931,0.78515,2.15708,-1.54584,0.00872,0.65000,0.71000,4.03656
1.09924,0.78768,2.05718,-1.54526,0.00284,0.65000,0.71000,4.12013
1.19917,0.79025,1.95728,-1.54528,-0.00305,0.66000,0.71000,4.20147
1.29910,0.79278,1.85738,-1.54587,-0.00894,0.66000,0.71000,4.28072
1.39903,0.79523,1.75748,-1.54697,-0.01389,0.64000,0.70000,4.35802
1.49897,0.79755,1.65758,-1.54837,-0.01494,0.64000,0.70000,4.43348
1.59890,0.79971,1.55767,-1.54984,-0.01485,0.64000,0.70000,4.50720
1.69883,0.80173,1.45776,-1.55132,-0.01467,0.64000,0.70000,4.57928
1.79876,0.80361,1.35784,-1.55278,-0.01448,0.64000,0.70000,4.64981
1.89869,0.80534,1.25793,-1.55421,-0.01431,0.65000,0.69000,4.71887
1.99862,0.80692,1.15801,-1.55564,-0.01416,0.65000,0.69000,4.78653
2.09855,0.80836,1.05809,-1.55704,-0.01401,0.65000,0.67000,4.85286
2.19848,0.80967,0.95817,-1.55844,-0.01386,0.65000,0.66000,4.91792
2.29841,0.81084,0.85824,-1.55981,-0.01368,0.68000,0.66000,4.98176
2.39835,0.81186,0.75832,-1.56117,-0.01349,0.68000,0.66000,5.04445
2.49828,0.81276,0.65839,-1.56251,-0.01330,0.68000,0.66000,5.10603
2.59821,0.81352,0.55846,-1.56383,-0.01311,0.68000,0.66000,5.16654
2.69814,0.81415,0.45853,-1.56513,-0.01292,0.68000,0.66000,5.22603
2.79807,0.81465,0.35860,-1.56641,-0.01274,0.68000,0.66000,5.28454
2.89800,0.81503,0.25867,-1.56767,-0.01256,0.68000,0.66000,5.34211
2.99793,0.81528,0.15874,-1.56892,-0.01237,0.68000,0.66000,5.39877
3.09786,0.81540,0.05881,-1.57015,-0.01219,0.68000,0.66000,5.45455
3.19779,0.81541,-0.04112,-1.57136,-0.01201,0.68000,0.66000,5.50949
3.29773,0.81529,-0.14105,-1.57255,-0.01183,0.68000,0.66000,5.56362
3.39766,0.81506,-0.24098,-1.57372,-0.01165,0.68000,0.66000,5.61696
3.49759,0.81471,-0.34091,-1.57488,-0.01147,0.68000,0.66000,5.66954
3.59752,0.81424,-0.44084,-1.57601,-0.01129,0.68000,0.66000,5.72138
3.69745,0.81366,-0.54077,-1.57713,-0.01110,0.68000,0.66000,5.77251
3.79738,0.81298,-0.64070,-1.57823,-0.01092,0.68000,0.66000,5.82295
3.89731,0.81218,-0.74063,-1.57932,-0.01074,0.68000,0.66000,5.87272
3.99724,0.81127,-0.84056,-1.58038,-0.01055,0.68000,0.66000,5.92184
4.09717,0.81026,-0.94048,-1.58142,-0.01037,0.68000,0.66000,5.97033
4.19710,0.80915,-1.04041,-1.58245,-0.01019,0.67000,0.67000,6.01821
4.29704,0.80793,-1.14033,-1.58346,-0.01000,0.67000,0.67000,6.06550
4.39697,0.80662,-1.24025,-1.58445,-0.00982,0.67000,0.67000,6.11221
4.49690,0.80520,-1.34017,-1.58542,-0.00963,0.67000,0.67000,6.15835
4.59683,0.80369,-1.44009,-1.58638,-0.00945,0.67000,0.67000,6.20395
4.69676,0.80209,-1.54001,-1.58731,-0.00927,0.67000,0.67000,6.24901
4.79669,0.80039,-1.63993,-1.58823,-0.00908,0.67000,0.67000,6.29356
4.89662,0.79861,-1.73984,-1.58913,-0.00890,0.66000,0.68000,6.33760
4.99655,0.79673,-1.83976,-1.59001,-0.00871,0.66000,0.68000,6.38115
5.09648,0.79477,-1.93967,-1.59087,-0.00853,0.66000,0.68000,6.42421
5.19642,0.79272,-2.03958,-1.59171,-0.00835,0.66000,0.68000,6.46681
5.29635,0.79059,-2.13949,-1.59254,-0.00816,0.66000,0.68000,6.50895
5.39628,0.78837,-2.23939,-1.59334,-0.00798,0.65000,0.69000,6.55064
5.49621,0.78608,-2.33930,-1.59413,-0.00780,0.65000,0.69000,6.59190
5.59614,0.78371,-2.43920,-1.59490,-0.00761,0.65000,0.69000,6.63273
5.69607,0.78126,-2.53910,-1.59565,-0.00743,0.65000,0.69000,6.67314
5.79600,0.77874,-2.63900,-1.59639,-0.00725,0.64000,0.70000,6.71314
5.89593,0.77615,-2.73890,-1.59710,-0.00706,0.64000,0.70000,6.75274
5.99586,0.77349,-2.83879,-1.59780,-0.00688,0.64000,0.70000,6.79196
6.09580,0.77075,-2.93869,-1.59848,-0.00670,0.64000,0.70000,6.83079
6.19573,0.76796,-3.03858,-1.59914,-0.00652,0.63000,0.71000,6.86925
6.29566,0.76509,-3.13847,-1.59978,-0.00633,0.63000,0.71000,6.90734
6.39559,0.76216,-3.23836,-1.60040,-0.00615,0.63000,0.71000,6.94507
6.49552,0.75918,-3.33824,-1.60101,-0.00597,0.63000,0.72000,6.98245
6.59545,0.75613,-3.43813,-1.60160,-0.00579,0.62000,0.72000,7.01949
6.69538,0.75302,-3.53801,-1.60216,-0.00560,0.62000,0.72000,7.05618
6.79531,0.74986,-3.63789,-1.60272,-0.00542,0.62000,0.72000,7.09255
6.89524,0.74664,-3.73777,-1.60325,-0.00523,0.61000,0.73000,7.12859
6.99517,0.74337,-3.83765,-1.60376,-0.00505,0.61000,0.73000,7.16431
7.09511,0.74005,-3.93753,-1.60426,-0.00486,0.61000,0.73000,7.19972
7.19504,0.73669,-4.03740,-1.60473,-0.00468,0.60000,0.74000,7.23482
7.29497,0.73327,-4.13727,-1.60519,-0.00449,0.60000,0.74000,7.26963
7.39490,0.72981,-4.23714,-1.60563,-0.00431,0.60000,0.74000,7.30413
7.49483,0.72631,-4.33701,-1.60605,-0.00412,0.59000,0.75000,7.33835
7.59476,0.72277,-4.43688,-1.60646,-0.00394,0.59000,0.75000,7.37227
7.69469,0.71919,-4.53675,-1.60684,-0.00375,0.59000,0.76000,7.40592
7.79462,0.71557,-4.63661,-1.60721,-0.00357,0.58000,0.76000,7.43929
7.89455,0.71191,-4.73648,-1.60755,-0.00339,0.58000,0.76000,7.47239
7.99449,0.70822,-4.83634,-1.60788,-0.00321,0.57000,0.77000,7.50523
8.09442,0.70450,-4.93620,-1.60819,-0.00302,0.57000,0.77000,7.53780
8.19435,0.70075,-5.03606,-1.60849,-0.00284,0.57000,0.77000,7.57012
8.29428,0.69697,-5.13592,-1.60876,-0.00266,0.56000,0.78000,7.60218
8.39421,0.69316,-5.23578,-1.60902,-0.00248,0.56000,0.78000,7.63399
8.49414,0.68933,-5.33564,-1.60926,-0.00229,0.56000,0.79000,7.66556
8.59407,0.68548,-5.43550,-1.60948,-0.00211,0.55000,0.79000,7.69688
8.69400,0.68160,-5.53535,-1.60968,-0.00193,0.55000,0.79000,7.72797
8.79393,0.67771,-5.63521,-1.60986,-0.00174,0.54000,0.80000,7.75882
8.89387,0.67380,-5.73506,-1.61003,-0.00156,0.54000,0.80000,7.78944
8.99380,0.66987,-5.83492,-1.61018,-0.00138,0.54000,0.81000,7.81984
9.09373,0.66593,-5.93477,-1.61030,-0.00119,0.53000,0.81000,7.85001
9.19366,0.66198,-6.03462,-1.61041,-0.00101,0.53000,0.81000,7.87997
9.29359,0.65801,-6.13447,-1.61051,-0.00083,0.52000,0.82000,7.90668
9.39352,0.65404,-6.23433,-1.61058,-0.00064,0.52000,0.82000,7.92999
9.49345,0.65006,-6.33418,-1.61063,-0.00046,0.52000,0.82000,7.94992
9.59338,0.64608,-6.43403,-1.61067,-0.00028,0.51000,0.83000,7.96651
9.69331,0.64210,-6.53388,-1.61069,-0.00009,0.51000,0.83000,7.97976
9.79324,0.63811,-6.63373,-1.61069,0.00009,0.50000,0.84000,7.98972
9.89318,0.63413,-6.73358,-1.61067,0.00027,0.50000,0.84000,7.99639
9.99311,0.63014,-6.83344,-1.61064,0.00045,0.50000,0.84000,7.99981
10.09304,0.62616,-6.93329,-1.61058,0.00064,0.49000,0.85000,8.00000
10.19297,0.62219,-7.03314,-1.61051,0.00082,0.49000,0.85000,8.00000
10.29290,0.61823,-7.13299,-1.61042,0.00100,0.48000,0.86000,8.00000
10.39283,0.61428,-7.23285,-1.61031,0.00119,0.48000,0.86000,8.00000
10.49276,0.61034,-7.33270,-1.61018,0.00137,0.48000,0.86000,8.00000
10.59269,0.60641,-7.43255,-1.61003,0.00155,0.47000,0.87000,8.00000
10.69262,0.60250,-7.53241,-1.60987,0.00174,0.47000,0.87000,8.00000
10.79256,0.59860,-7.63226,-1.60969,0.00192,0.46000,0.88000,8.00000
10.89249,0.59472,-7.73212,-1.60948,0.00211,0.46000,0.88000,8.00000
10.99242,0.59087,-7.83198,-1.60926,0.00229,0.46000,0.88000,7.99593
11.09235,0.58704,-7.93183,-1.60903,0.00248,0.45000,0.89000,7.98557
11.19228,0.58323,-8.03169,-1.60877,0.00266,0.45000,0.89000,7.96887
11.29221,0.57945,-8.13155,-1.60849,0.00284,0.45000,0.90000,7.94578
11.39214,0.57570,-8.23141,-1.60820,0.00303,0.44000,0.90000,7.91627
11.49207,0.57198,-8.33127,-1.60789,0.00321,0.44000,0.90000,7.88027
11.59200,0.56829,-8.43114,-1.60756,0.00339,0.43000,0.91000,7.83773
11.69194,0.56463,-8.53100,-1.60721,0.00357,0.43000,0.91000,7.78862
11.79187,0.56101,-8.63087,-1.60684,0.00376,0.43000,0.91000,7.73288
11.89180,0.55743,-8.73073,-1.60646,0.00394,0.42000,0.92000,7.67451
11.99173,0.55388,-8.83060,-1.60606,0.00412,0.42000,0.92000,7.61571
12.09166,0.55038,-8.93047,-1.60564,0.00430,0.42000,0.92000,7.55644
12.19159,0.54692,-9.03034,-1.60520,0.00449,0.41000,0.93000,7.49671
12.29152,0.54351,-9.13021,-1.60474,0.00467,0.41000,0.93000,7.43649
12.39145,0.54014,-9.23009,-1.60426,0.00486,0.41000,0.93000,7.37579
12.49138,0.53682,-9.32996,-1.60377,0.00504,0.40000,0.94000,7.31459
12.59131,0.53355,-9.42984,-1.60326,0.00523,0.40000,0.94000,7.25287
12.69125,0.53033,-9.52972,-1.60272,0.00541,0.40000,0.94000,7.19062
12.79118,0.52717,-9.62960,-1.60218,0.00559,0.39000,0.95000,7.12782
12.89111,0.52406,-9.72949,-1.60161,0.00578,0.39000,0.95000,7.06447
12.99104,0.52101,-9.82937,-1.60102,0.00596,0.39000,0.95000,7.00055
13.09097,0.51802,-9.92926,-1.60042,0.00615,0.38000,0.96000,6.93603
13.19090,0.51509,-10.02914,-1.59979,0.00633,0.38000,0.96000,6.87091
13.29083,0.51223,-10.12903,-1.59915,0.00651,0.38000,0.96000,6.80517
13.39076,0.50943,-10.22893,-1.59849,0.00670,0.38000,0.97000,6.73879
13.49069,0.50670,-10.32882,-1.59781,0.00688,0.37000,0.97000,6.67174
13.59063,0.50403,-10.42872,-1.59712,0.00706,0.37000,0.97000,6.60401
13.69056,0.50144,-10.52861,-1.59640,0.00724,0.37000,0.97000,6.53558
13.79049,0.49891,-10.62851,-1.59567,0.00742,0.36000,0.98000,6.46643
13.89042,0.49647,-10.72841,-1.59492,0.00761,0.36000,0.98000,6.39652
13.99035,0.49409,-10.82832,-1.59415,0.00779,0.36000,0.98000,6.32584
14.09028,0.49180,-10.92822,-1.59336,0.00797,0.36000,0.98000,6.25435
14.19021,0.48958,-11.02813,-1.59255,0.00815,0.36000,0.98000,6.18204
14.29014,0.48745,-11.12804,-1.59173,0.00834,0.35000,0.99000,6.10887
14.39007,0.48540,-11.22795,-1.59089,0.00852,0.35000,0.99000,6.03481
14.49001,0.48343,-11.32786,-1.59003,0.00871,0.35000,0.99000,5.95982
14.58994,0.48156,-11.42777,-1.58915,0.00889,0.35000,0.99000,5.88388
14.68987,0.47977,-11.52769,-1.58825,0.00908,0.35000,0.99000,5.80693
14.78980,0.47807,-11.62760,-1.58733,0.00926,0.34000,1.00000,5.72895
14.88973,0.47646,-11.72752,-1.58640,0.00945,0.34000,1.00000,5.64988
14.98966,0.47495,-11.82744,-1.58544,0.00963,0.34000,1.00000,5.56968
15.08959,0.47353,-11.92736,-1.58447,0.00981,0.34000,1.00000,5.48830
15.18952,0.47222,-12.02728,-1.58348,0.01000,0.34000,1.00000,5.40569
15.28945,0.47100,-12.12721,-1.58248,0.01018,0.34000,1.00000,5.32179
15.38938,0.46988,-12.22713,-1.58145,0.01036,0.34000,1.00000,5.23653
15.48932,0.46887,-12.32706,-1.58040,0.01054,0.33000,1.01000,5.14985
15.58925,0.46796,-12.42698,-1.57934,0.01072,0.33000,1.01000,5.06167
15.68918,0.46716,-12.52691,-1.57826,0.01091,0.33000,1.01000,4.97191
15.78911,0.46647,-12.62684,-1.57716,0.01108,0.33000,1.01000,4.88048
15.88904,0.46589,-12.72677,-1.57605,0.01115,0.33000,1.01000,4.78728
15.98897,0.46542,-12.82670,-1.57494,0.01110,0.33000,1.01000,4.69221
16.08890,0.46506,-12.92663,-1.57383,0.01115,0.33000,1.01000,4.59517
16.18883,0.46481,-13.02656,-1.57271,0.01123,0.33000,1.01000,4.49624
16.28876,0.46468,-13.12649,-1.57161,0.01088,0.33000,1.01000,4.39576
16.38870,0.46465,-13.22642,-1.57035,0.01150,0.33000,1.01000,4.29422
16.48863,0.46477,-13.32635,-1.56791,0.02890,0.33000,1.01000,4.19198
16.58856,0.46523,-13.42628,-1.56197,0.08276,0.33000,1.01000,4.08938
16.68849,0.46653,-13.52621,-1.55044,0.14703,0.33000,1.01000,3.98678
16.78842,0.46930,-13.62610,-1.53291,0.20724,0.34000,1.01000,3.88455
16.88835,0.47410,-13.72591,-1.51020,0.25049,0.34000,1.00000,3.78308
16.98828,0.48140,-13.82557,-1.48322,0.28995,0.35000,1.00000,3.68274
17.08821,0.49158,-13.92498,-1.45224,0.33000,0.36000,0.99000,3.58372
17.18814,0.50503,-14.02400,-1.41722,0.37089,0.38000,0.98000,3.48596
17.28808,0.52215,-14.12245,-1.37805,0.41284,0.40000,0.97000,3.38923
17.38801,0.54331,-14.22010,-1.33462,0.45617,0.42000,0.96000,3.29341
17.48794,0.56890,-14.31669,-1.28677,0.50124,0.45000,0.94000,3.19841
17.58787,0.59929,-14.41188,-1.23429,0.54849,0.49000,0.93000,3.10414
17.68780,0.63486,-14.50525,-1.17696,0.59844,0.54000,0.91000,3.01046
17.78773,0.67594,-14.59633,-1.11446,0.65173,0.60000,0.89000,2.91724
17.88766,0.72287,-14.68454,-1.04643,0.70890,0.68000,0.87000,2.82444
17.98759,0.77592,-14.76919,-0.97243,0.77098,0.78000,0.85000,2.73461
18.08752,0.83534,-14.84951,-0.89194,0.83852,0.90000,0.82000,2.65520
18.18745,0.90126,-14.92456,-0.80434,0.91366,1.07000,0.80000,2.58615
18.28739,0.97375,-14.99327,-0.70834,0.99871,1.29000,0.77000,2.52920
18.38732,1.05278,-15.05435,-0.60115,1.14333,1.63000,0.75000,2.48252
18.48725,1.13822,-15.10607,-0.48353,1.22809,1.80000,0.73000,2.44761
18.58718,1.22930,-15.14704,-0.36185,1.21930,1.68000,0.70000,2.42296
18.68711,1.32468,-15.17664,-0.24041,1.21159,1.59000,0.64000,2.41013
18.78704,1.42294,-15.19451,-0.11971,1.20453,1.54000,0.47000,2.40750
18.88697,1.52263,-15.20045,0.00030,1.19787,1.52000,0.32000,2.41608
18.98690,1.62232,-15.19445,0.11965,1.19123,1.54000,0.42000,2.43211
19.08683,1.72060,-15.17665,0.23830,1.18395,1.54000,0.49000,2.45725
19.18677,1.81609,-15.14738,0.35517,1.16452,1.33000,0.53000,2.49053
19.28670,1.90759,-15.10730,0.46623,1.06944,1.16000,0.56000,2.53434
19.38663,1.99430,-15.05771,0.56780,0.96458,0.99000,0.58000,2.58761
19.48656,2.07583,-14.99998,0.65949,0.86944,0.90000,0.60000,2.65232
19.58649,2.15205,-14.93540,0.74200,0.78101,0.81000,0.62000,2.72732
19.68642,2.22301,-14.86506,0.81587,0.69697,0.76000,0.64000,2.81461
19.78635,2.28890,-14.78995,0.88146,0.61561,0.73000,0.66000,2.91051
19.88628,2.35004,-14.71093,0.93898,0.53559,0.70000,0.67000,3.01075
19.98621,2.40688,-14.62875,0.98852,0.45596,0.68000,0.69000,3.11324
20.08615,2.45992,-14.54406,1.03009,0.37610,0.66000,0.70000,3.21673
20.18608,2.50973,-14.45744,1.06365,0.29573,0.65000,0.69000,3.32028
20.28601,2.55697,-14.36938,1.08914,0.21463,0.64000,0.70000,3.42307
