# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.77846,3.15620,-1.62131,0.32252,0.65312,0.72813,3.11096
0.09993,0.77498,3.05633,-1.59497,0.21544,0.64687,0.72813,3.24155
0.19986,0.77363,2.95641,-1.57870,0.09593,0.64687,0.72813,3.36602
0.29979,0.77340,2.85648,-1.56940,0.07380,0.64687,0.72813,3.48507
0.39973,0.77391,2.75655,-1.56294,0.05348,0.64687,0.72813,3.59929
0.49965,0.77497,2.65663,-1.55804,0.04280,0.64687,0.72813,3.70915
0.59958,0.77646,2.55671,-1.55418,0.03366,0.64687,0.72813,3.81506
0.69952,0.77829,2.45679,-1.55113,0.02681,0.64687,0.72813,3.91738
0.79945,0.78039,2.35688,-1.54873,0.02139,0.65312,0.72188,4.01640
0.89938,0.78270,2.25698,-1.54698,0.01389,0.65312,0.72188,4.11237
0.99931,0.78515,2.15708,-1.54588,0.00713,0.65312,0.72188,4.20554
1.09924,0.78768,2.05718,-1.54528,0.00562,0.65938,0.71562,4.29609
1.19917,0.79025,1.95728,-1.54528,-0.00559,0.65938,0.71562,4.38421
1.29911,0.79278,1.85738,-1.54588,-0.00728,0.66196,0.70937,4.47006
1.39904,0.79523,1.75748,-1.54693,-0.01335,0.64062,0.70937,4.55377
1.49896,0.79755,1.65758,-1.54838,-0.01743,0.64062,0.70937,4.63548
1.59890,0.79971,1.55767,-1.54988,-0.01318,0.64687,0.70312,4.71530
1.69883,0.80173,1.45776,-1.55128,-0.01396,0.64687,0.70312,4.79334
1.79876,0.80361,1.35784,-1.55273,-0.01520,0.64687,0.70312,4.86969
1.89869,0.80534,1.25793,-1.55423,-0.01523,0.65312,0.69688,4.94444
1.99862,0.80692,1.15801,-1.55569,-0.01408,0.65312,0.68636,5.01767
2.09855,0.80836,1.05809,-1.55704,-0.01257,0.65312,0.67188,5.08945
2.19848,0.80967,0.95817,-1.55839,-0.01376,0.65312,0.67188,5.15986
2.29842,0.81084,0.85824,-1.55984,-0.01656,0.66971,0.66563,5.22895
2.39834,0.81186,0.75832,-1.56119,-0.01003,0.68243,0.66563,5.29678
2.49828,0.81276,0.65839,-1.56249,-0.01546,0.68437,0.66563,5.36342
2.59821,0.81352,0.55846,-1.56384,-0.01225,0.68437,0.66563,5.42890
2.69814,0.81415,0.45853,-1.56514,-0.01364,0.68437,0.66563,5.49327
2.79807,0.81465,0.35860,-1.56639,-0.01131,0.68437,0.66563,5.55658
2.89800,0.81503,0.25867,-1.56764,-0.01323,0.68437,0.66563,5.61887
2.99793,0.81528,0.15874,-1.56895,-0.01388,0.68437,0.66563,5.68018
3.09786,0.81540,0.05881,-1.57015,-0.00936,0.68437,0.66563,5.74054
3.19779,0.81541,-0.04112,-1.57135,-0.01477,0.68437,0.66563,5.79999
3.29772,0.81529,-0.14105,-1.57255,-0.00968,0.68437,0.66563,5.85856
3.39765,0.81506,-0.24098,-1.57370,-0.01259,0.68437,0.66563,5.91628
3.49758,0.81471,-0.34091,-1.57490,-0.01206,0.68437,0.66563,5.97318
3.59752,0.81424,-0.44084,-1.57605,-0.01128,0.68437,0.66563,6.02929
3.69745,0.81366,-0.54077,-1.57710,-0.00892,0.68437,0.66563,6.08463
3.79738,0.81298,-0.64070,-1.57820,-0.01311,0.68437,0.66563,6.13922
3.89731,0.81218,-0.74063,-1.57935,-0.01075,0.68437,0.66563,6.19309
3.99725,0.81127,-0.84056,-1.58040,-0.01000,0.68437,0.66563,6.24626
4.09717,0.81026,-0.94048,-1.58140,-0.00941,0.67812,0.67188,6.29875
4.19711,0.80915,-1.04041,-1.58245,-0.01237,0.67812,0.67188,6.35058
4.29704,0.80793,-1.14033,-1.58346,-0.00726,0.67812,0.67188,6.40177
4.39696,0.80662,-1.24025,-1.58446,-0.01266,0.67812,0.67188,6.45234
4.49689,0.80520,-1.34017,-1.58546,-0.00819,0.67812,0.67188,6.50230
4.59683,0.80369,-1.44009,-1.58636,-0.00865,0.67188,0.67812,6.55168
4.69676,0.80209,-1.54001,-1.58731,-0.01129,0.67188,0.67812,6.60048
4.79669,0.80039,-1.63993,-1.58821,-0.00627,0.67188,0.67812,6.64872
4.89662,0.79861,-1.73984,-1.58911,-0.01178,0.67188,0.67812,6.69642
4.99656,0.79673,-1.83976,-1.59001,-0.00656,0.66563,0.68437,6.74359
5.09649,0.79477,-1.93967,-1.59086,-0.01016,0.66563,0.68437,6.79024
5.19642,0.79272,-2.03958,-1.59171,-0.00688,0.66563,0.68437,6.83639
5.29635,0.79059,-2.13949,-1.59256,-0.01040,0.65938,0.69063,6.88204
5.39627,0.78837,-2.23939,-1.59336,-0.00574,0.65938,0.69063,6.92721
5.49621,0.78608,-2.33930,-1.59411,-0.00856,0.65938,0.69063,6.97192
