# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# profile.py from raceline/iros2026/raceline_tum_iqp.csv: a_lat 7.0 zones [4:7.5:6.5,27:31:6.5] acc 6.0 brake 5.5 v_max 8.0 v_zones [31.5:43.3:9.0,0:2:9.0] -> 9.304 s
0.00000,0.47383,-9.81502,-1.56591,0.00617,0.34000,1.00000,7.67429
0.09985,0.47432,-9.91486,-1.56543,0.01003,0.34000,1.00000,7.60264
0.19969,0.47490,-10.01471,-1.56443,0.01043,0.34000,1.00000,7.53032
0.29954,0.47559,-10.11455,-1.56332,0.01174,0.34000,1.00000,7.45736
0.39938,0.47639,-10.21439,-1.56210,0.01284,0.34000,1.00000,7.38373
0.49923,0.47733,-10.31423,-1.56076,0.01397,0.34000,1.00000,7.30940
0.59907,0.47840,-10.41407,-1.55931,0.01511,0.34000,1.00000,7.23437
0.69892,0.47962,-10.51391,-1.55774,0.01624,0.35000,0.99000,7.15860
0.79876,0.48100,-10.61374,-1.55606,0.01737,0.35000,0.99000,7.08208
0.89861,0.48256,-10.71358,-1.55427,0.01850,0.35000,0.99000,7.00477
0.99845,0.48430,-10.81341,-1.55237,0.01964,0.35000,0.99000,6.92666
1.09830,0.48624,-10.91323,-1.55035,0.02077,0.35000,0.99000,6.84769
1.19814,0.48839,-11.01306,-1.54822,0.02191,0.35000,0.99000,6.76787
1.29799,0.49075,-11.11287,-1.54598,0.02304,0.36000,0.98000,6.68712
1.39783,0.49334,-11.21268,-1.54362,0.02418,0.36000,0.98000,6.60545
1.49768,0.49618,-11.31249,-1.54115,0.02531,0.36000,0.98000,6.52278
1.59752,0.49926,-11.41229,-1.53856,0.02645,0.37000,0.98000,6.43910
1.69737,0.50261,-11.51208,-1.53587,0.02759,0.37000,0.97000,6.35434
1.79721,0.50624,-11.61185,-1.53305,0.02872,0.37000,0.97000,6.26847
1.89706,0.51015,-11.71162,-1.53013,0.02985,0.38000,0.96000,6.18143
1.99690,0.51435,-11.81138,-1.52709,0.03099,0.38000,0.96000,6.09318
2.09675,0.51887,-11.91112,-1.52394,0.03213,0.39000,0.96000,6.00363
2.19659,0.52371,-12.01085,-1.52068,0.03326,0.39000,0.95000,5.91275
2.29644,0.52888,-12.11056,-1.51730,0.03440,0.40000,0.95000,5.82044
2.39628,0.53439,-12.21025,-1.51381,0.03553,0.40000,0.94000,5.72666
2.49613,0.54025,-12.30993,-1.51020,0.03667,0.41000,0.94000,5.63130
2.59597,0.54648,-12.40958,-1.50649,0.03781,0.41000,0.93000,5.53430
2.69582,0.55308,-12.50920,-1.50265,0.03895,0.42000,0.92000,5.43554
2.79566,0.56007,-12.60880,-1.49871,0.04009,0.43000,0.92000,5.33493
