# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.86719,3.15180,-1.62023,0.36403,0.73000,0.63000,3.14854
0.09990,0.86226,3.05202,-1.60944,0.19176,0.73000,0.64000,3.26217
0.19981,0.85947,2.95217,-1.59017,0.17591,0.73000,0.64000,3.37148
0.29971,0.85839,2.85227,-1.57563,0.11952,0.72000,0.64000,3.47636
0.39961,0.85851,2.75238,-1.56576,0.07616,0.72000,0.64000,3.57765
0.49951,0.85939,2.65247,-1.55993,0.03702,0.73000,0.64000,3.67532
0.59942,0.86068,2.55257,-1.55670,0.02293,0.73000,0.64000,3.76969
0.69932,0.86221,2.45268,-1.55458,0.01815,0.73000,0.64000,3.86103
0.79922,0.86392,2.35279,-1.55293,0.01465,0.73000,0.64000,3.94958
0.89913,0.86578,2.25290,-1.55164,0.01116,0.73000,0.63000,4.03555
0.99903,0.86775,2.15302,-1.55070,0.00768,0.73000,0.63000,4.11913
1.09893,0.86979,2.05314,-1.55010,0.00421,0.74000,0.63000,4.20047
1.19883,0.87188,1.95326,-1.54986,0.00074,0.74000,0.63000,4.27973
1.29874,0.87398,1.85338,-1.54996,-0.00275,0.74000,0.63000,4.35703
1.39864,0.87604,1.75349,-1.55043,-0.00661,0.72000,0.62000,4.43249
1.49854,0.87805,1.65361,-1.55127,-0.01055,0.72000,0.62000,4.50621
1.59845,0.87995,1.55372,-1.55234,-0.01134,0.72000,0.62000,4.57830
1.69835,0.88173,1.45384,-1.55346,-0.01121,0.72000,0.62000,4.64883
1.79825,0.88341,1.35395,-1.55457,-0.01107,0.72000,0.62000,4.71789
1.89815,0.88498,1.25406,-1.55567,-0.01094,0.73000,0.61000,4.78555
1.99806,0.88643,1.15417,-1.55675,-0.01081,0.73000,0.61000,4.85188
2.09796,0.88778,1.05427,-1.55783,-0.01067,0.73000,0.59000,4.91694
2.19786,0.88902,0.95438,-1.55889,-0.01054,0.73000,0.59000,4.98078
2.29777,0.89016,0.85448,-1.55993,-0.01040,0.76000,0.58000,5.04347
2.39767,0.89119,0.75458,-1.56097,-0.01027,0.76000,0.58000,5.10504
2.49757,0.89213,0.65468,-1.56199,-0.01014,0.76000,0.58000,5.16556
2.59748,0.89296,0.55479,-1.56299,-0.01000,0.76000,0.58000,5.22505
2.69738,0.89369,0.45489,-1.56398,-0.00987,0.76000,0.58000,5.28356
2.79728,0.89432,0.35498,-1.56496,-0.00974,0.76000,0.58000,5.34113
2.89718,0.89485,0.25508,-1.56593,-0.00961,0.76000,0.58000,5.39778
2.99709,0.89529,0.15518,-1.56688,-0.00948,0.76000,0.58000,5.45357
