# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,1.13080,3.10865,-1.57410,0.00654,1.00313,0.37188,2.95475
0.09978,1.13049,3.00887,-1.57381,0.00505,1.00313,0.37188,3.09312
0.19921,1.13020,2.90944,-1.57416,-0.01532,1.00313,0.37188,3.22394
0.29880,1.12982,2.80985,-1.57465,0.00204,1.00313,0.37188,3.34879
0.39891,1.12943,2.70974,-1.57459,0.00231,1.00313,0.37188,3.46878
0.49889,1.12906,2.60976,-1.57445,0.00042,0.99687,0.37813,3.58370
0.59867,1.12870,2.50998,-1.57435,0.00158,0.99687,0.37813,3.69398
0.69845,1.12835,2.41020,-1.57430,-0.00072,0.99687,0.37813,3.80027
0.79824,1.12800,2.31041,-1.57425,0.00130,0.99687,0.37813,3.90293
0.89803,1.12766,2.21063,-1.57415,0.00150,0.99687,0.37813,4.00225
0.99781,1.12733,2.11085,-1.57410,-0.00128,0.99687,0.37813,4.09851
1.09760,1.12700,2.01106,-1.57400,0.00365,0.99687,0.37813,4.19194
1.19738,1.12669,1.91128,-1.57390,-0.00130,0.99687,0.37813,4.28274
1.29716,1.12638,1.81150,-1.57385,0.00153,0.98739,0.37813,4.37108
1.39695,1.12608,1.71171,-1.57375,0.00121,0.97188,0.37813,4.45713
1.49675,1.12579,1.61191,-1.57370,-0.00033,0.97188,0.37813,4.54105
1.59655,1.12550,1.51211,-1.57370,0.00012,0.97188,0.37813,4.62296
1.69633,1.12521,1.41233,-1.57370,-0.00018,0.97188,0.37813,4.70294
1.79611,1.12492,1.31255,-1.57370,0.00061,0.97188,0.37813,4.78114
1.89590,1.12463,1.21276,-1.57375,-0.00222,0.97188,0.37813,4.85764
1.99568,1.12433,1.11298,-1.57375,0.00225,0.97188,0.35313,4.93253
2.09546,1.12404,1.01320,-1.57370,-0.00074,0.97188,0.35313,5.00589
2.19525,1.12375,0.91341,-1.57370,0.00075,0.97188,0.35313,5.07780
2.29503,1.12346,0.81363,-1.57375,-0.00226,0.98447,0.35313,5.14832
2.39481,1.12316,0.71385,-1.57375,0.00227,0.99663,0.35313,5.21752
2.49460,1.12287,0.61406,-1.57370,-0.00077,0.99062,0.35938,5.28547
2.59438,1.12258,0.51428,-1.57370,0.00079,0.99062,0.35938,5.35220
2.69416,1.12229,0.41450,-1.57375,-0.00241,0.99062,0.35938,5.41777
2.79394,1.12199,0.31472,-1.57375,0.00280,0.99062,0.35938,5.48223
2.89373,1.12170,0.21493,-1.57375,-0.00276,0.99062,0.35938,5.54564
2.99351,1.12140,0.11515,-1.57375,0.00220,0.99062,0.35938,5.60801
3.09330,1.12111,0.01537,-1.57370,0.00000,0.99062,0.35938,5.66940
3.19309,1.12082,-0.08442,-1.57375,-0.00220,0.99062,0.35938,5.72984
3.29287,1.12052,-0.18420,-1.57375,0.00274,0.99062,0.35938,5.78936
3.39265,1.12023,-0.28398,-1.57375,-0.00273,0.99062,0.35938,5.84800
3.49244,1.11993,-0.38377,-1.57375,0.00219,0.99062,0.35938,5.90579
3.59222,1.11964,-0.48355,-1.57370,0.00000,0.99062,0.35938,5.96275
3.69200,1.11935,-0.58333,-1.57375,-0.00219,0.99062,0.35938,6.01892
3.79179,1.11905,-0.68312,-1.57375,0.00273,0.99062,0.35938,6.07432
3.89157,1.11876,-0.78290,-1.57375,-0.00274,0.99062,0.35938,6.12896
3.99135,1.11846,-0.88268,-1.57375,0.00220,0.99062,0.35938,6.18289
4.09114,1.11817,-0.98247,-1.57370,-0.00001,0.99062,0.35938,6.23612
4.19092,1.11788,-1.08225,-1.57375,-0.00219,0.99062,0.35938,6.28866
4.29070,1.11758,-1.18203,-1.57375,0.00275,0.99062,0.35938,6.34054
4.39049,1.11729,-1.28182,-1.57375,-0.00275,0.99062,0.35938,6.39178
4.49027,1.11699,-1.38160,-1.57375,0.00220,0.99062,0.35938,6.44239
4.59006,1.11670,-1.48139,-1.57370,-0.00001,0.98438,0.36563,6.49240
4.68984,1.11641,-1.58117,-1.57375,-0.00219,0.98438,0.36563,6.54182
4.78962,1.11611,-1.68095,-1.57375,0.00274,0.98438,0.36563,6.59066
4.88941,1.11582,-1.78074,-1.57375,-0.00274,0.98438,0.36563,6.63895
4.98919,1.11552,-1.88052,-1.57375,0.00219,0.98438,0.36563,6.68668
5.08897,1.11523,-1.98030,-1.57370,0.00001,0.98438,0.36563,6.73389
5.18876,1.11494,-2.08009,-1.57375,-0.00220,0.98438,0.36563,6.78058
5.28854,1.11464,-2.17987,-1.57375,0.00274,0.98438,0.36563,6.82676
5.38833,1.11435,-2.27965,-1.57375,-0.00274,0.98438,0.36563,6.87245
5.48812,1.11405,-2.37944,-1.57375,0.00220,0.98351,0.36563,6.91766
5.58790,1.11376,-2.47922,-1.57370,-0.00005,0.88652,0.36563,6.96239
5.68768,1.11347,-2.57900,-1.57375,-0.00199,0.79024,0.36563,7.00667
5.78747,1.11317,-2.67879,-1.57375,0.00200,0.69492,0.36563,7.05050
5.88725,1.11288,-2.77857,-1.57370,0.00000,0.60108,0.36563,7.09389
5.98703,1.11259,-2.87835,-1.57375,-0.00200,0.50949,0.36563,7.13684
6.08682,1.11229,-2.97814,-1.57375,0.00200,0.42163,0.36563,7.17939
6.18660,1.11200,-3.07792,-1.57370,-0.00000,0.34042,0.36563,7.22151
6.28638,1.11171,-3.17770,-1.57375,-0.00200,0.27186,0.36563,7.26324
6.38617,1.11141,-3.27749,-1.57375,0.00200,0.22769,0.36563,7.30457
6.48595,1.11112,-3.37727,-1.57370,0.00001,0.21985,0.36563,7.34552
6.58573,1.11083,-3.47705,-1.57375,-0.00206,0.24720,0.36563,7.38609
6.68552,1.11053,-3.57684,-1.57375,0.00220,0.30626,0.36563,7.42629
6.78530,1.11024,-3.67662,-1.57370,-0.00074,0.38262,0.37188,7.46612
6.88508,1.10995,-3.77640,-1.57370,0.00074,0.46788,0.37188,7.50560
6.98487,1.10966,-3.87619,-1.57375,-0.00221,0.55799,0.37188,7.54473
7.08465,1.10936,-3.97597,-1.57375,0.00206,0.65092,0.37188,7.58352
7.18443,1.10907,-4.07575,-1.57370,0.00000,0.74562,0.37188,7.62197
7.28422,1.10878,-4.17554,-1.57375,-0.00205,0.84150,0.37188,7.66009
7.38400,1.10848,-4.27532,-1.57375,0.00215,0.93819,0.37188,7.69789
7.48378,1.10819,-4.37510,-1.57370,-0.00053,0.97813,0.37188,7.73537
7.58357,1.10790,-4.47489,-1.57370,-0.00001,0.97813,0.37188,7.77254
7.68336,1.10761,-4.57467,-1.57370,0.00055,0.97813,0.37188,7.80940
7.78314,1.10732,-4.67445,-1.57375,-0.00219,0.97813,0.37188,7.84596
7.88293,1.10702,-4.77424,-1.57375,0.00220,0.97813,0.37188,7.88222
7.98271,1.10673,-4.87402,-1.57370,-0.00060,0.97813,0.37188,7.91820
8.08249,1.10644,-4.97380,-1.57370,0.00021,0.97813,0.37188,7.95388
8.18228,1.10615,-5.07359,-1.57370,-0.00021,0.97813,0.37188,7.98929
8.28206,1.10586,-5.17337,-1.57370,0.00060,0.97813,0.37188,8.02442
8.38184,1.10557,-5.27315,-1.57375,-0.00220,0.97813,0.37188,8.05928
8.48163,1.10527,-5.37294,-1.57375,0.00220,0.97813,0.37188,8.09387
8.58141,1.10498,-5.47272,-1.57370,-0.00059,0.97813,0.37188,8.12820
8.68119,1.10469,-5.57250,-1.57370,0.00016,0.97813,0.37188,8.16227
8.78098,1.10440,-5.67229,-1.57370,-0.00005,0.97813,0.37188,8.19608
8.88076,1.10411,-5.77207,-1.57370,0.00001,0.97188,0.37813,8.22965
8.98054,1.10382,-5.87185,-1.57370,0.00000,0.97188,0.37813,8.26296
9.08033,1.10353,-5.97164,-1.57370,-0.00001,0.97188,0.37813,8.29604
9.18011,1.10324,-6.07142,-1.57370,0.00001,0.97188,0.37813,8.32887
9.27989,1.10295,-6.17120,-1.57370,-0.00004,0.97188,0.37813,8.36146
9.37968,1.10266,-6.27099,-1.57370,0.00015,0.97188,0.37813,8.39383
9.47946,1.10237,-6.37077,-1.57370,-0.00059,0.97188,0.37813,8.42597
9.57924,1.10208,-6.47055,-1.57365,0.00221,0.97188,0.37813,8.45788
9.67903,1.10180,-6.57034,-1.57365,-0.00220,0.97188,0.37813,8.48957
9.77881,1.10151,-6.67012,-1.57370,0.00055,0.97188,0.37813,8.50000
9.87859,1.10122,-6.76990,-1.57370,0.00000,0.97188,0.37813,8.50000
9.97838,1.10093,-6.86969,-1.57370,-0.00054,0.97188,0.37813,8.50000
10.07817,1.10064,-6.96947,-1.57365,0.00215,0.97188,0.37813,8.50000
10.17795,1.10036,-7.06925,-1.57365,-0.00204,0.97188,0.37813,8.50000
