# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.77402,3.15610,-1.61945,0.36661,0.64000,0.73000,3.07409
0.09997,0.76916,3.05625,-1.60573,0.28117,0.64000,0.73000,3.18249
0.19995,0.76704,2.95630,-1.58354,0.15726,0.63000,0.73000,3.29177
0.29992,0.76661,2.85633,-1.56961,0.10778,0.63000,0.73000,3.39847
0.39990,0.76728,2.75636,-1.56070,0.06448,0.63000,0.73000,3.50278
0.49987,0.76863,2.65639,-1.55460,0.05167,0.63000,0.73000,3.60318
0.59985,0.77051,2.55644,-1.54980,0.04346,0.64000,0.73000,3.70004
0.69982,0.77283,2.45649,-1.54582,0.03601,0.64000,0.73000,3.79366
0.79979,0.77551,2.35655,-1.54260,0.02844,0.64000,0.72000,3.88432
0.89977,0.77847,2.25662,-1.54013,0.02091,0.64000,0.72000,3.97225
0.99974,0.78164,2.15670,-1.53842,0.01336,0.65000,0.72000,4.05764
1.09972,0.78494,2.05678,-1.53746,0.00582,0.65000,0.71000,4.14068
1.19969,0.78830,1.95686,-1.53726,-0.00173,0.65000,0.71000,4.22152
1.29967,0.79165,1.85694,-1.53780,-0.00927,0.66000,0.71000,4.30030
1.39964,0.79490,1.75702,-1.53899,-0.01558,0.64000,0.70000,4.37716
1.49961,0.79800,1.65709,-1.54056,-0.01686,0.64000,0.70000,4.45221
1.59959,0.80094,1.55716,-1.54222,-0.01672,0.64000,0.70000,4.52554
1.69956,0.80372,1.45723,-1.54388,-0.01652,0.64000,0.70000,4.59725
1.79954,0.80632,1.35729,-1.54552,-0.01632,0.65000,0.69000,4.66743
1.89951,0.80877,1.25734,-1.54715,-0.01612,0.65000,0.69000,4.73616
1.99949,0.81105,1.15739,-1.54875,-0.01591,0.65000,0.69000,4.80351
2.09946,0.81318,1.05744,-1.55033,-0.01571,0.65000,0.66000,4.86953
2.19943,0.81515,0.95749,-1.55189,-0.01550,0.66000,0.66000,4.93431
2.29941,0.81696,0.85753,-1.55343,-0.01529,0.68000,0.66000,4.99788
2.39938,0.81862,0.75757,-1.55494,-0.01509,0.68000,0.66000,5.06030
2.49936,0.82013,0.65761,-1.55644,-0.01488,0.69000,0.65000,5.12163
2.59933,0.82149,0.55764,-1.55792,-0.01468,0.69000,0.65000,5.18190
2.69931,0.82270,0.45767,-1.55938,-0.01448,0.69000,0.65000,5.24117
2.79928,0.82377,0.35771,-1.56082,-0.01428,0.69000,0.65000,5.29946
