# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.77402,3.15610,-1.63763,0.36949,0.64687,0.73438,3.12854
0.09997,0.76916,3.05625,-1.60572,0.28020,0.64062,0.73438,3.25833
0.19995,0.76704,2.95630,-1.58355,0.15589,0.64062,0.73438,3.38210
0.29992,0.76661,2.85633,-1.56960,0.11088,0.63438,0.74062,3.50053
0.39989,0.76728,2.75636,-1.56069,0.06097,0.64062,0.73438,3.61418
0.49987,0.76863,2.65639,-1.55464,0.05344,0.64062,0.73438,3.72355
0.59984,0.77051,2.55644,-1.54979,0.04360,0.64062,0.73438,3.82900
0.69982,0.77283,2.45649,-1.54579,0.03624,0.64687,0.73438,3.93091
0.79979,0.77551,2.35655,-1.54259,0.02762,0.64687,0.72813,4.02954
0.89977,0.77847,2.25662,-1.54013,0.02148,0.64687,0.72813,4.12517
0.99974,0.78164,2.15670,-1.53843,0.01266,0.65312,0.72188,4.21800
1.09971,0.78494,2.05678,-1.53748,0.00589,0.65312,0.72188,4.30825
1.19969,0.78830,1.95686,-1.53723,-0.00022,0.65938,0.71562,4.39609
1.29966,0.79165,1.85694,-1.53778,-0.01102,0.66076,0.71562,4.48167
1.39964,0.79490,1.75702,-1.53903,-0.01570,0.64062,0.70937,4.56514
1.49961,0.79800,1.65709,-1.54058,-0.01635,0.64687,0.70937,4.64662
1.59959,0.80094,1.55716,-1.54218,-0.01488,0.64687,0.70312,4.72622
1.69956,0.80372,1.45723,-1.54389,-0.02013,0.64687,0.70312,4.80405
1.79953,0.80632,1.35729,-1.54554,-0.01278,0.65312,0.69688,4.88020
1.89951,0.80877,1.25734,-1.54714,-0.01890,0.65312,0.69688,4.95477
1.99949,0.81105,1.15739,-1.54874,-0.01365,0.65938,0.68220,5.02783
2.09946,0.81318,1.05744,-1.55029,-0.01654,0.65938,0.66563,5.09945
2.19943,0.81515,0.95749,-1.55189,-0.01623,0.65938,0.66563,5.16969
2.29940,0.81696,0.85753,-1.55344,-0.01467,0.67585,0.65938,5.23863
2.39938,0.81862,0.75757,-1.55494,-0.01511,0.68921,0.65938,5.30632
2.49935,0.82013,0.65761,-1.55644,-0.01492,0.69063,0.65938,5.37281
2.59933,0.82149,0.55764,-1.55794,-0.01533,0.69063,0.65938,5.43816
2.69931,0.82270,0.45767,-1.55939,-0.01378,0.69063,0.65938,5.50241
2.79927,0.82377,0.35771,-1.56079,-0.01353,0.69688,0.65312,5.56560
2.89925,0.82470,0.25774,-1.56224,-0.01622,0.69688,0.65312,5.62777
2.99923,0.82548,0.15776,-1.56364,-0.01167,0.69688,0.65312,5.68897
3.09920,0.82613,0.05779,-1.56499,-0.01509,0.69688,0.65312,5.74923
3.19917,0.82664,-0.04218,-1.56635,-0.01201,0.69688,0.65312,5.80857
3.29914,0.82702,-0.14215,-1.56770,-0.01492,0.69688,0.65312,5.86704
3.39912,0.82726,-0.24213,-1.56905,-0.01237,0.69688,0.65312,5.92467
3.49909,0.82737,-0.34210,-1.57035,-0.01363,0.69688,0.65312,5.98147
3.59907,0.82735,-0.44208,-1.57160,-0.01116,0.69688,0.65312,6.03749
3.69904,0.82721,-0.54205,-1.57285,-0.01379,0.69688,0.65312,6.09274
3.79902,0.82694,-0.64203,-1.57410,-0.01172,0.69688,0.65312,6.14725
3.89899,0.82655,-0.74200,-1.57530,-0.01137,0.69688,0.65312,6.20103
3.99897,0.82604,-0.84197,-1.57655,-0.01483,0.69688,0.65312,6.25412
4.09894,0.82540,-0.94194,-1.57770,-0.00735,0.69688,0.65312,6.30653
4.19892,0.82466,-1.04192,-1.57885,-0.01575,0.69688,0.65312,6.35830
4.29889,0.82379,-1.14189,-1.58000,-0.00772,0.69688,0.65312,6.40941
4.39887,0.82282,-1.24186,-1.58110,-0.01339,0.69063,0.65938,6.45991
4.49883,0.82173,-1.34182,-1.58225,-0.01082,0.69063,0.65938,6.50980
4.59881,0.82053,-1.44179,-1.58330,-0.00931,0.69063,0.65938,6.55911
