# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.71041,3.16066,-1.80211,0.26437,0.59364,0.80636,3.65839
0.10359,0.68808,3.05951,-1.77537,0.24582,0.57131,0.82870,3.81325
0.20682,0.66840,2.95818,-1.75069,0.23186,0.54688,0.84688,3.95997
0.30939,0.65126,2.85705,-1.72752,0.21922,0.52812,0.86553,4.09866
0.41133,0.63648,2.75619,-1.70567,0.20847,0.50938,0.87813,4.23039
0.51286,0.62390,2.65545,-1.68498,0.19859,0.49688,0.88438,4.35606
0.61408,0.61338,2.55478,-1.66528,0.19029,0.48438,0.89687,4.47647
0.71504,0.60483,2.45418,-1.64646,0.18213,0.47813,0.90312,4.59200
0.81576,0.59814,2.35368,-1.62843,0.17545,0.47188,0.90938,4.70329
0.91629,0.59323,2.25328,-1.61111,0.16931,0.46563,0.90938,4.81050
1.01665,0.59004,2.15297,-1.59444,0.16129,0.45938,0.91563,4.91399
1.11687,0.58849,2.05276,-1.57835,0.16507,0.45938,0.91563,5.01483
1.21694,0.58853,1.95269,-1.56281,0.12481,0.45938,0.91563,5.10934
1.31687,0.59009,1.85277,-1.54776,0.25264,0.45938,0.91563,5.21211
1.41669,0.59313,1.75300,-1.54725,-0.24579,0.44063,0.90938,5.22078
1.51636,0.59479,1.65335,-1.56008,-0.10027,0.44063,0.90938,5.24178
1.61588,0.59526,1.55382,-1.56905,-0.06713,0.44063,0.90938,5.34520
1.71540,0.59513,1.45431,-1.57259,0.00231,0.44063,0.90938,5.44738
1.81492,0.59491,1.35479,-1.57316,-0.00268,0.44063,0.90938,5.54719
1.91443,0.59466,1.25528,-1.57321,0.00110,0.44063,0.90840,5.64473
2.01393,0.59442,1.15578,-1.57321,-0.00052,0.44063,0.89839,5.74015
2.11344,0.59418,1.05627,-1.57323,-0.00023,0.44063,0.88438,5.83358
2.21293,0.59394,0.95678,-1.57326,-0.00041,0.44063,0.88438,5.92508
2.31244,0.59369,0.85727,-1.57328,0.00008,0.45293,0.88438,6.01480
2.41194,0.59345,0.75777,-1.57330,-0.00053,0.46563,0.88438,6.10279
2.51144,0.59319,0.65827,-1.57332,0.00022,0.46563,0.88438,6.18914
2.61095,0.59294,0.55876,-1.57333,-0.00036,0.46563,0.88438,6.27394
2.71043,0.59269,0.45928,-1.57334,-0.00003,0.46563,0.88438,6.35723
2.80994,0.59244,0.35978,-1.57335,-0.00011,0.46563,0.88438,6.43910
2.90945,0.59218,0.26026,-1.57336,-0.00011,0.46563,0.88438,6.51962
3.00895,0.59193,0.16076,-1.57337,-0.00010,0.46563,0.88438,6.59880
3.10846,0.59167,0.06125,-1.57338,-0.00009,0.45938,0.89062,6.67673
3.20798,0.59141,-0.03827,-1.57339,-0.00011,0.45938,0.89062,6.75346
3.30749,0.59115,-0.13778,-1.57340,-0.00011,0.45938,0.89062,6.82902
3.40701,0.59089,-0.23730,-1.57341,-0.00005,0.45938,0.89062,6.90345
3.50652,0.59063,-0.33681,-1.57343,-0.00031,0.45938,0.89062,6.97680
3.60606,0.59037,-0.43634,-1.57344,0.00010,0.45938,0.89062,7.04912
3.70559,0.59010,-0.53588,-1.57344,-0.00011,0.45938,0.89062,7.12042
3.80512,0.58984,-0.63540,-1.57346,-0.00029,0.45938,0.89062,7.19075
3.90467,0.58957,-0.73495,-1.57347,0.00009,0.45938,0.89062,7.26015
4.00421,0.58931,-0.83449,-1.57347,-0.00009,0.45938,0.89062,7.32862
4.10376,0.58904,-0.93404,-1.57349,-0.00032,0.45938,0.89062,7.39622
4.20331,0.58877,-1.03360,-1.57350,0.00016,0.45938,0.89062,7.46296
4.30287,0.58850,-1.13315,-1.57351,-0.00033,0.45938,0.89062,7.52887
4.40244,0.58823,-1.23273,-1.57352,-0.00002,0.45938,0.89062,7.59399
4.50202,0.58796,-1.33230,-1.57353,-0.00019,0.45938,0.89062,7.65832
4.60159,0.58769,-1.43188,-1.57354,0.00018,0.45938,0.89062,7.72189
4.70118,0.58741,-1.53146,-1.57355,-0.00054,0.45938,0.89062,7.78472
4.80077,0.58714,-1.63105,-1.57357,0.00017,0.45938,0.89062,7.84684
4.90035,0.58686,-1.73063,-1.57357,-0.00018,0.45938,0.89062,7.90824
4.99995,0.58659,-1.83024,-1.57358,-0.00003,0.45938,0.89062,7.96898
5.09959,0.58631,-1.92987,-1.57360,-0.00028,0.45938,0.89062,8.02907
5.19920,0.58603,-2.02948,-1.57361,-0.00011,0.45938,0.89062,8.08850
5.29882,0.58575,-2.12910,-1.57362,0.00011,0.45938,0.89062,8.14731
5.39845,0.58547,-2.22873,-1.57363,-0.00032,0.45313,0.89687,8.20550
5.49808,0.58518,-2.32836,-1.57364,-0.00005,0.45313,0.89687,8.26309
5.59772,0.58490,-2.42800,-1.57365,-0.00005,0.45313,0.89687,8.32010
5.69738,0.58461,-2.52765,-1.57367,-0.00033,0.45313,0.86614,8.37655
5.79704,0.58433,-2.62732,-1.57368,0.00016,0.45313,0.77388,8.43244
5.89670,0.58404,-2.72697,-1.57369,-0.00031,0.45313,0.68370,8.48778
5.99637,0.58375,-2.82664,-1.57370,-0.00010,0.45313,0.59653,8.54259
6.09604,0.58346,-2.92632,-1.57371,0.00012,0.45313,0.51393,8.59689
6.19573,0.58317,-3.02601,-1.57372,-0.00036,0.45313,0.43847,8.65068
6.29543,0.58288,-3.12571,-1.57373,0.00012,0.45313,0.37453,8.70397
6.39511,0.58259,-3.22539,-1.57373,-0.00016,0.45313,0.32888,8.75676
6.49481,0.58229,-3.32508,-1.57374,-0.00007,0.45313,0.29688,8.80908
6.59453,0.58200,-3.42480,-1.57375,-0.00011,0.45313,0.31597,8.86095
6.69424,0.58170,-3.52452,-1.57376,-0.00010,0.45313,0.34984,8.91235
6.79396,0.58141,-3.62424,-1.57377,-0.00008,0.45313,0.40599,8.96330
6.89370,0.58111,-3.72397,-1.57378,-0.00017,0.45313,0.47662,9.01382
6.99343,0.58081,-3.82370,-1.57378,0.00013,0.45313,0.55624,9.06390
7.09317,0.58052,-3.92344,-1.57379,-0.00033,0.45313,0.64151,9.11357
7.19292,0.58022,-4.02319,-1.57381,-0.00000,0.45313,0.73047,9.16282
7.29267,0.57991,-4.12294,-1.57382,-0.00027,0.45313,0.82190,9.21167
7.39243,0.57961,-4.22270,-1.57384,-0.00012,0.45313,0.89687,9.26011
7.49219,0.57931,-4.32246,-1.57384,0.00017,0.45313,0.89687,9.30816
7.59196,0.57900,-4.42223,-1.57386,-0.00056,0.44688,0.90312,9.35584
7.69173,0.57870,-4.52200,-1.57387,0.00023,0.44688,0.90312,9.40312
7.79151,0.57839,-4.62178,-1.57388,-0.00035,0.44688,0.90312,9.45005
7.89130,0.57808,-4.72157,-1.57390,-0.00005,0.44688,0.90312,9.49661
7.99109,0.57777,-4.82136,-1.57391,-0.00005,0.44688,0.90312,9.54281
8.09089,0.57746,-4.92115,-1.57392,-0.00034,0.44688,0.90312,9.58372
8.19068,0.57715,-5.02095,-1.57393,0.00022,0.44688,0.90312,9.62399
8.29048,0.57683,-5.12075,-1.57395,-0.00055,0.44688,0.90312,9.66383
8.39030,0.57652,-5.22056,-1.57396,0.00021,0.44688,0.90312,9.70324
8.49011,0.57620,-5.32037,-1.57397,-0.00031,0.44688,0.90312,9.74222
8.58992,0.57588,-5.42019,-1.57399,-0.00017,0.44688,0.90312,9.78079
8.68974,0.57556,-5.52000,-1.57401,-0.00021,0.44688,0.90312,9.81894
8.78956,0.57524,-5.61982,-1.57403,-0.00019,0.44688,0.90312,9.85669
8.88939,0.57492,-5.71965,-1.57405,-0.00024,0.44688,0.90312,9.89405
8.98922,0.57459,-5.81948,-1.57407,-0.00007,0.44688,0.90312,9.93101
9.08905,0.57426,-5.91931,-1.57408,-0.00007,0.44688,0.90312,9.96759
9.18889,0.57394,-6.01915,-1.57409,-0.00027,0.44688,0.90312,10.00000
9.28872,0.57361,-6.11898,-1.57411,-0.00007,0.44688,0.90312,10.00000
9.38856,0.57327,-6.21882,-1.57412,-0.00006,0.44688,0.90312,10.00000
9.48841,0.57294,-6.31867,-1.57413,-0.00027,0.44063,0.90938,10.00000
9.58825,0.57261,-6.41851,-1.57415,-0.00007,0.44063,0.90938,10.00000
9.68809,0.57227,-6.51835,-1.57416,-0.00007,0.44063,0.90938,10.00000
9.78794,0.57194,-6.61820,-1.57417,-0.00022,0.44063,0.90938,10.00000
9.88778,0.57160,-6.71804,-1.57419,-0.00028,0.44063,0.90938,10.00000
9.98764,0.57126,-6.81790,-1.57420,0.00015,0.44063,0.90938,10.00000
10.08749,0.57092,-6.91775,-1.57421,-0.00033,0.44063,0.90938,10.00000
10.18734,0.57058,-7.01759,-1.57423,-0.00005,0.44063,0.90938,10.00000
10.28719,0.57024,-7.11745,-1.57423,-0.00005,0.44063,0.90938,10.00000
